time,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 5,T + SeTr + St 5,T + SeTr + St 5,T + SeTr ,T + SeTr ,T + SeTr ,T ,T ,T ,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + To + SeTr,Se + To + SeTr,Se + To + SeTr,Se + To ,Se + To ,Se + To ,Se + ST 15,Se + ST 15,Se + ST 15,Se + ST 10,Se + ST 10,Se + ST 10,Se + ST 7,Se + ST 7,Se + ST 7,Se + ST 5,Se + ST 5,Se + ST 5,Se ,Se ,Se ,Negative ,Negative ,Negative 
4 h 6 min,84927,86059,83011,72254,63172,68522,51513,53241,53033,48778,45331,44691,41744,41270,41192,37932,39769,37220,144256,136222,135058,99756,96764,128622,101510,102971,93280,101460,103829,96928,45598,49766,47783,48367,42318,43032,57495,40817,52897,41155,36091,37652,40078,40299,39154,38181,44234,42544,31065,31957,30895,13057,13484,16532
4 h 8 min,85671,86997,83284,73147,63846,69681,52061,54060,53878,49410,45492,45113,41791,41048,41561,38055,40383,37144,143581,138110,136381,100997,96947,129257,102693,103993,93828,102414,105293,97314,46294,49378,47651,48917,42722,43447,57743,41104,52881,41402,36271,37004,40355,40681,38894,38734,44235,42812,31036,31752,31350,13167,13548,16350
4 h 10 min,86550,87940,83960,73068,64806,69647,52892,54725,54004,49939,45682,45904,42287,41583,41962,38700,40816,37707,144504,139124,137154,100937,98358,130681,103770,105047,94495,103393,104972,98178,46148,49830,48180,48828,42969,43403,58044,41319,53005,41009,36618,37503,40824,40725,39289,38867,44627,42959,30809,31650,31380,13299,13197,16379
4 h 12 min,87071,88983,84891,74275,64738,70208,52641,54769,54644,49994,46555,45656,42538,41874,42156,38517,40755,37791,146032,139945,138051,101746,98082,131614,103866,105210,95043,104120,105958,99574,45960,50083,48435,48893,42729,43572,58677,41517,53208,41364,36479,37447,40638,41122,38927,38591,44727,43194,31183,32145,31327,13272,13414,16513
4 h 14 min,88155,88667,85283,74862,65534,70802,53472,55827,55114,50394,46580,46166,42510,42282,42241,39046,41172,37668,146048,140495,138767,102111,99795,132111,105114,105664,96112,104276,106782,99957,46216,50468,48388,49014,43268,43770,58012,41488,53518,41600,36557,37665,40737,41415,39253,38771,45260,43356,31431,32316,31393,13235,13109,16220
4 h 16 min,88628,90141,86266,74855,66958,71390,53592,56053,54953,50676,46833,46541,42892,42245,42520,38959,41384,38032,146615,141457,140247,102913,100315,133356,105367,107013,96616,105373,107657,100251,46686,51122,48863,49508,43147,44321,58444,41538,54045,41979,36994,37959,41096,41452,39469,39095,45008,43401,31242,32304,31494,13265,13408,16530
4 h 18 min,89644,90375,87277,76300,66679,72336,53799,56788,55617,50963,47376,47196,43077,42455,42919,39637,41334,38204,148280,142809,140771,102831,101538,134373,106841,107161,96567,106154,108085,100483,46964,51124,49113,49202,43855,44127,58678,42184,53891,41732,36987,37933,41198,41146,39694,39503,45380,43744,31006,32233,31587,13230,13367,16529
4 h 20 min,90133,90633,87473,76869,67058,72970,54676,57160,55984,51587,47954,47745,42762,42366,42974,40031,41670,38715,148347,144002,142399,104082,101423,134963,106651,107873,98120,106133,108965,101459,46584,51281,49061,50298,43800,44448,59012,42116,54375,42242,37108,38397,41609,41434,39640,39313,45465,43700,31658,32431,31702,13251,13482,16477
4 h 22 min,90868,92072,88491,77482,67996,72886,55055,57869,56227,51675,48183,47375,43937,43219,42971,40116,41420,38840,149058,144620,142769,104270,102703,136048,107932,108288,99086,107630,109596,102666,46977,51417,49192,50218,43862,44724,59555,42684,54071,42412,37182,38262,41549,41713,40337,39065,45725,43747,31327,32550,31903,13336,13269,16470
4 h 24 min,92000,92631,89785,77809,68344,73532,55210,58285,56539,52048,48509,48041,43940,43030,43319,39797,41813,38984,149512,145216,143105,105553,103159,136965,108725,108848,98987,107716,109210,102664,47059,51609,49727,50990,44162,44362,59824,42621,55125,42393,37387,38518,41201,41672,40227,39799,45645,44188,31585,32310,32181,13241,13473,16564
4 h 26 min,92266,93023,89890,78877,69497,74525,55378,58603,56918,52272,48648,48256,44504,43401,43920,40561,42458,38969,150025,146910,144604,105451,103868,137188,109161,110224,99696,108577,110919,103099,47598,51954,49697,50615,44235,44562,59788,42471,54938,42692,37501,38848,41787,42366,39622,39519,45765,44030,31295,32709,31807,13323,13575,16660
4 h 28 min,92972,93997,90558,80046,69979,75150,56628,59475,57444,52785,49224,48825,44319,43494,43847,40961,42522,38967,151110,147034,145825,106118,105523,138689,109845,110658,100157,108988,111083,103519,47735,52147,49856,50847,44735,44577,60207,43032,54743,42939,37623,38839,41725,42148,40324,39948,45844,44449,32036,32699,31831,13289,13525,16445
4 h 30 min,93885,94538,91449,80200,70743,75240,56247,59430,57370,52901,49363,49414,45134,43856,43963,40996,43165,39384,152052,147551,146237,106268,105338,138999,110443,111773,100939,109918,112235,104538,47938,52072,50640,50855,44600,45434,60592,43533,55181,42846,37693,39266,41954,42242,40256,40122,46083,44429,31377,32699,31938,13411,13319,16609
4 h 32 min,95136,95363,92063,81244,70405,75958,56943,59840,58167,53127,49272,49600,44792,44183,44262,41096,43044,39562,152803,149260,147526,106714,106290,140238,111151,111936,101477,110354,112205,104820,48439,52285,50671,50785,44315,45239,60505,43187,54921,43073,37845,39159,41881,42229,40298,40456,46164,45233,31808,32790,32317,13518,13413,16587
4 h 34 min,94661,96314,93232,82402,71804,76653,56995,60426,58862,53693,50257,49899,44791,44120,44249,41326,43160,39536,153512,149937,148389,108093,107631,140493,111607,112862,102298,110966,113206,105233,48240,52183,51294,51414,45028,45912,60741,43317,55525,43418,38124,39541,42104,43025,40656,40234,46278,45090,31315,32367,32151,13267,13496,16787
4 h 36 min,95603,96551,93712,82805,71972,77294,57789,60700,58585,54069,50616,50319,45347,43781,44879,41623,43264,39741,153641,150711,148268,107474,108113,141633,113687,113457,102854,111467,113692,106057,48256,52992,50838,51331,45403,45945,60577,43592,55593,43324,37951,39718,42519,42854,40547,40955,46852,44971,31510,32334,32200,13581,13669,16627
4 h 38 min,96403,97482,94932,83713,72511,77436,58318,61392,59165,54161,51031,50922,45611,44502,44544,41453,42953,39938,154904,151029,149508,108911,108380,142502,113329,114022,103247,112674,114478,106625,48360,53054,51258,52003,45216,45835,60787,43844,55926,43505,38112,40209,42378,42829,40906,41023,46926,45367,31694,32921,32046,13419,13464,16987
4 h 40 min,96762,98620,95201,84768,73348,78424,58816,61830,59460,54917,51511,51099,45793,44914,45022,42131,43771,40372,154997,151998,150828,109707,108974,143515,114173,115330,104482,113217,114770,107115,48450,52811,51747,51979,45672,46031,61587,43880,55730,43138,38260,39600,43236,42791,40886,40931,46798,45720,31462,32857,32727,13493,13278,16919
4 h 42 min,97759,99000,96412,84864,73632,78869,59252,61925,59443,55112,51688,51897,46170,44820,45864,41780,43996,40512,155487,152768,151541,109467,110021,144086,114840,116325,105096,113427,115647,107250,48637,53341,51286,52106,45672,46546,61400,44065,56334,43902,38652,39658,42930,42793,41150,40973,47004,46083,31615,33257,32403,13459,13617,16852
4 h 44 min,98831,99303,96421,85630,74287,79898,59663,62956,59943,55218,52226,52075,46699,45570,46003,42443,44452,40895,155959,152865,152505,110584,110296,145540,115696,116186,104977,114302,116071,107969,49244,53797,51411,51940,45792,46381,61619,44137,55984,43719,38741,39588,43326,43523,41308,41254,47004,45769,31781,33121,32355,13486,13404,16817
4 h 46 min,99247,100868,98460,86122,74843,80035,59840,63053,59854,55561,52320,52291,46326,45301,45729,42743,44169,40812,156384,154305,153180,110809,111439,145106,115702,116890,105734,114866,116724,107974,49271,53648,51921,52820,45970,46661,61768,44255,56979,43880,38507,40182,43444,43545,41420,41276,47481,46105,31731,33092,32891,13585,13422,16876
4 h 48 min,99510,101283,98548,86829,75372,79806,60141,63627,60698,55908,52888,52338,46954,45978,46267,42490,45020,40812,156592,154294,154144,111173,111995,146005,116927,117794,106071,115253,117450,108599,49136,53590,52269,52656,46661,46932,61938,44603,57125,43662,38910,40486,43141,43799,41625,41798,47061,46833,31914,33008,32928,13598,13643,17137
4 h 50 min,100374,101308,99078,87437,76043,80648,60373,64297,61097,56396,53520,53225,47367,46188,46332,43231,44889,41605,158148,154605,155235,111116,112779,146558,117590,117777,106739,115144,117735,109092,49439,54379,52184,52970,46368,46906,62061,45222,57145,44360,39039,40943,43551,43620,41873,41522,46919,46333,32000,33224,32747,13592,13552,16871
4 h 52 min,100444,101979,100302,87670,76841,81411,60854,64378,61864,56818,53508,53387,47361,46485,46550,43549,45143,41488,157215,155575,155778,112054,113393,147547,118099,119479,107176,116691,117586,109326,49833,54033,52353,53002,46605,47329,62496,44831,56966,44593,38721,40816,43536,43626,42045,41898,47465,46458,31928,33216,32718,13695,13517,17139
4 h 54 min,101709,102315,100895,88777,77401,81874,60920,64761,61639,57272,53666,53585,47780,46454,46426,43436,45232,41417,158700,156238,156694,112289,113787,148575,118639,119826,108264,116964,118902,109188,49501,54588,52518,53750,46907,47107,63023,44978,57310,44181,39215,40808,43575,43768,41842,42241,47898,46395,31877,33369,33018,13780,13581,17172
4 h 56 min,102168,103408,101790,89073,77897,81972,61919,65525,62522,57324,54220,53574,47837,46677,47095,43301,45959,41740,158662,156507,157907,112878,114735,148784,119240,119919,108899,117937,119506,109853,49881,54531,53081,53421,46871,47219,62772,45443,57386,44534,39056,41312,43845,44237,41794,42034,48259,47116,32152,33164,33404,13686,13557,17070
4 h 58 min,102803,104237,102972,89758,78493,82617,61956,65275,62484,58069,54442,54539,48255,46973,47201,43585,45875,42169,159216,157884,158365,113330,115560,149577,119680,120260,108860,118462,120252,110748,50078,54589,53374,53589,46954,47280,63101,44938,57305,44473,38984,41697,44050,44219,42151,42369,48034,47014,32112,33139,33221,13647,13702,16969
5 h ,103342,104670,103731,90468,78808,83302,62472,66149,63476,57468,54934,54726,48146,47003,47814,43423,45761,41970,159759,158030,158677,114142,115942,150447,119968,121226,109418,118979,120539,111318,50349,55471,53110,54063,47051,47136,63022,45177,57499,44968,39645,41404,43952,44269,42205,42766,48275,47635,32256,33622,33032,13729,13470,17036
5 h 2 min,103768,105316,104450,91170,79814,83966,62994,66628,63555,58461,54867,55215,48540,47507,47526,44154,46471,42012,160399,158949,159369,114512,117098,151566,121286,122003,110427,119015,121481,111846,50526,55467,53734,54160,47693,47653,63671,45606,57823,45103,39400,41610,44219,44531,42332,42752,48850,47849,32288,33640,33162,13666,13692,16952
5 h 4 min,104793,105580,104611,91447,79884,83732,62787,66556,64231,58651,55354,54881,48432,47522,47909,43878,46363,42650,160322,158292,160137,114070,117770,151494,122476,123149,111228,120047,121563,112126,50658,55068,53658,53876,48070,48149,63185,45719,57991,45042,39557,41565,44504,44800,42569,42684,48799,47945,32433,33524,33034,13679,13733,17296
5 h 6 min,105644,106946,105670,91568,80335,85315,63868,67450,64248,59279,55768,55859,49005,47739,47878,44618,46601,42830,161154,158366,161254,114415,118246,152402,122450,123250,111912,120697,122018,111818,50484,55264,53947,54525,47735,48158,63804,46204,58184,45037,39973,42140,44605,44338,42105,43025,49167,47885,32175,33756,33459,13716,13438,17126
5 h 8 min,105927,106791,106744,92706,80940,85450,63422,68067,64553,59248,56370,56096,48854,48220,48247,44394,47248,42740,160422,159445,161646,115091,117900,152979,122983,123443,111529,120838,123390,112627,50937,55502,54511,55059,47774,48392,63467,46445,57899,45308,39872,41907,44287,44474,42696,43290,49023,48047,32354,33836,33249,13677,13698,17045
5 h 10 min,106849,107319,106685,92624,81500,85229,63990,68304,64896,58984,56378,56249,49956,48361,48657,44471,46853,43088,161329,160333,162668,116169,119071,153736,124262,124653,112869,121286,123007,112746,50943,55725,54442,55037,47546,48531,64210,46692,58408,45664,40387,42165,44603,44654,42604,43367,49592,48662,32456,33616,33484,13698,13573,17113
5 h 12 min,107200,108238,107427,93408,81705,86394,64513,68596,64963,59853,57005,56814,49306,48009,49011,44842,47278,42932,161268,159978,163745,116245,119980,153624,124098,125394,112962,120770,124086,114145,51020,56038,54358,54476,48243,48788,63951,46315,58638,45619,40039,42173,44787,45098,42626,43739,49531,48808,32512,34065,33387,13847,13607,17272
5 h 14 min,107635,108579,108846,93821,82502,86562,64387,69277,65604,60047,57398,56747,50095,48517,49235,44852,47222,43439,161954,160080,163252,116900,120183,152373,125288,126431,113374,121595,125068,113538,51459,56192,54914,55182,48376,48760,64512,46341,58965,45514,40646,43243,45240,45220,43000,43903,49866,48714,32418,34127,33341,13652,13847,17353
5 h 16 min,107963,109107,109076,94878,83168,86602,64984,69206,66099,60409,57622,58011,49873,49169,49130,44950,47733,43732,162609,160612,165117,117379,121080,152294,125227,126402,113738,122497,124454,114145,51529,56648,55007,55589,48304,48609,64668,46589,59169,45568,40932,42179,45251,45643,43432,43866,50187,49027,32772,34118,33255,13832,13854,17366
5 h 18 min,108689,109532,109508,95743,83691,87536,65458,70044,66621,60772,57772,57449,50148,49005,49091,45208,47919,43684,163003,160452,165103,117511,121677,151488,126391,126829,113935,122064,124688,114879,51230,56688,54969,55619,48660,49043,64689,46625,59093,45653,40690,42713,45551,45686,43131,44186,50087,49041,32706,33815,33631,13792,13925,17491
5 h 20 min,108738,109850,110472,95759,83984,87595,65304,70519,66728,61156,58207,57591,50186,49322,49623,45861,48039,43831,162687,160761,166532,117610,122333,150667,126946,127545,115106,122516,124804,114879,51587,57052,55249,55740,48432,49304,64788,47068,59308,46138,40764,42639,45482,45327,43127,43674,50561,49752,32354,33943,33229,13823,13877,17374
5 h 22 min,109943,110945,110949,96215,84884,88559,66380,70897,67345,61607,58816,58222,50713,49455,49663,46228,48502,44211,163496,161157,166434,118200,123490,151058,127652,128301,115729,122784,125642,114748,51901,57069,55389,55872,49358,49486,64794,46808,59686,46311,40584,43669,45615,45589,43298,44090,50213,49732,32692,33778,33934,13718,13861,17658
5 h 24 min,110069,110942,112099,97513,84700,88343,66432,71253,67195,61503,59320,59350,50946,49812,50125,46362,48785,44537,163467,162118,167194,118842,123629,149559,127285,128508,115984,123344,126659,115365,51960,57045,55629,56307,48926,50008,65768,47290,59747,46151,40977,42976,45289,45904,43954,44419,50728,49867,32691,34210,33454,13557,13977,17663
5 h 26 min,110797,111996,112306,97385,85084,88576,66715,71696,67949,62172,59489,58596,51111,50034,50224,46621,49084,44777,162927,161619,166464,118505,124024,149140,128301,128611,115721,123303,126593,115933,51796,57020,55638,56159,49472,49918,65557,47674,59322,46613,40493,43421,46072,46098,44121,44572,50622,50299,32726,34035,33488,13947,13999,17598
5 h 28 min,110953,111878,113127,98202,86191,89805,67096,72177,68530,62655,59984,59443,51281,49898,50008,46418,49502,44717,163857,162667,167539,119617,124642,148720,128616,129666,116272,124231,127285,115977,52383,57582,55868,56066,49845,49950,65507,47739,60004,46071,40947,44024,46138,45937,44078,45005,50820,50127,32664,33988,33669,13725,13717,17310
5 h 30 min,111904,112938,113723,97877,86457,90174,67086,72733,68410,62225,60217,60149,51528,50310,50713,46679,49363,44896,163362,162347,167447,119645,125522,147359,129286,130418,116693,124384,127129,116242,52542,57673,56108,56577,50234,49956,66068,47782,60136,46435,41323,43747,45960,45993,44021,44820,50947,50471,33038,34216,33604,13798,13625,17694
5 h 32 min,112658,113148,114788,98874,87009,90235,67761,73419,69233,63471,59741,60282,51505,50594,50881,46815,49593,45332,164258,163306,167671,119525,125583,146877,130048,130801,116717,124408,128230,117036,52523,58074,56200,56312,49867,49820,66104,47821,60537,46929,41332,44141,46116,46137,44195,45220,51607,50495,32629,34227,33585,13911,13756,17602
5 h 34 min,112935,112629,115410,99940,87673,91052,67813,73333,69651,63159,60513,61051,52173,50783,51022,47203,49967,45411,164708,163199,167617,120611,126292,146893,130091,131224,116985,124477,128362,116234,52631,57593,56578,56909,50407,50405,66741,48207,60461,46358,41413,44092,46437,46633,44428,45127,51289,50619,32743,34519,33820,13886,13763,17710
5 h 36 min,113284,114015,116640,99639,87905,91272,67852,73809,69771,63816,61325,60601,52172,51301,51599,47145,49851,45541,165329,163780,167355,120243,126586,145754,129928,131718,117931,124809,128342,117517,52606,58191,56345,56900,50200,50547,66802,48159,60451,47021,41343,44729,46562,46413,44558,45547,51409,51135,32958,34624,33908,13891,13724,17852
5 h 38 min,114134,114509,116641,100737,88788,91869,68225,74008,70039,63849,61481,61217,52273,51045,51364,47220,49807,45656,164723,164040,166617,121327,128054,146220,130673,131748,118383,125179,128494,117414,52967,58001,56983,56866,50416,51202,66534,48164,60409,47443,41870,44680,46204,47091,44430,45216,51473,51427,33112,34358,33853,13971,14060,17836
5 h 40 min,113968,114947,116985,101150,89491,92319,68071,74342,70310,64029,61510,61768,53010,51229,51825,47403,50250,45689,165228,164341,167211,121322,128140,145025,129536,131864,118020,125283,129627,118215,52686,57984,57192,57414,50380,50637,66819,48377,60457,47075,42156,44419,46878,46671,44655,45621,51975,51301,32766,34544,33947,13922,14039,18108
5 h 42 min,115138,114530,117393,101974,89698,93212,68600,75259,70498,64386,62104,62301,52714,51391,51230,47379,50391,46245,165433,163889,167021,121976,128606,144674,127683,131194,119276,125143,130391,118200,53389,58205,56938,57511,50259,50662,66634,48728,60980,47156,42257,44892,46760,47308,44892,45660,52200,51726,33331,34552,34150,13857,13999,18089
5 h 44 min,115659,115413,118305,102611,90131,93053,69027,75115,70990,64404,62193,62264,52549,51080,52035,47660,50253,46068,164573,164297,166175,122473,129290,144508,126757,130059,119463,124756,130260,118469,53375,58470,57352,57563,50610,50504,67432,48462,60796,47443,41771,45024,46971,47076,44747,46092,52078,51539,33096,34467,34386,13941,14107,18023
5 h 46 min,116034,115200,119361,102878,90869,93929,69380,75576,71527,65783,62710,62599,53449,51513,52098,47378,50535,46217,165794,164628,165845,122505,130185,144640,127419,130133,119870,125400,130905,118351,53342,58548,58067,57745,50720,51304,67141,49134,60854,47927,41983,44994,46556,47227,45536,45555,52458,52117,33071,34469,33946,14049,13971,18030
5 h 48 min,116100,115192,120118,103323,91094,94418,69448,76145,72061,65320,62797,62990,53740,52261,52403,47838,50554,46513,165845,164584,164954,123084,129810,144175,128259,129542,119639,125421,130718,118662,53439,59128,57684,57906,50955,51322,67900,48767,61314,47611,42258,45328,47020,47678,45281,46556,52643,51884,33514,34735,33869,14146,14101,18170
5 h 50 min,117032,115844,120698,104342,91664,95057,69826,76541,71824,65780,63083,62711,53516,52355,52650,48369,50717,46212,166011,164830,164534,122927,131494,144098,126945,130048,120155,126081,130778,118630,53194,59023,57946,58403,51226,51586,67764,48753,61359,47612,42643,45723,46939,47913,45925,46950,52635,52252,33000,34761,33803,13805,13962,18321
5 h 52 min,117223,116842,121015,104745,92202,94448,70379,76961,73182,65933,63706,64208,54310,52175,52892,48193,51407,46602,166311,165168,163841,122762,131248,144185,127351,129995,120318,126400,130874,118767,53493,59512,57695,58200,51254,51494,67717,49470,61712,47431,42610,45670,46979,47912,45352,46698,53171,52489,33607,34342,33955,14006,13756,18019
5 h 54 min,116872,117619,121473,105012,92649,95487,70797,77177,72503,66349,63730,64313,54210,52194,52854,48376,51400,46859,167259,166029,163594,123070,132303,143933,127102,129692,120919,126537,130803,119093,53162,59442,58069,58301,51146,51366,68265,49102,61368,47850,42478,46044,47340,47605,45852,46645,52859,51891,33315,34638,34160,14009,13975,18321
5 h 56 min,117525,117721,123066,106066,92990,95843,70876,77422,72975,66944,63738,64406,54522,52826,53039,48654,51414,47114,166335,166293,163148,124221,132871,144201,127370,129563,121235,126497,131834,119490,53472,59797,58172,58758,51619,51596,68402,49944,61678,48540,42700,45984,47519,48335,45605,46685,52978,52593,32980,34572,34029,13871,13782,18224
5 h 58 min,117777,117926,122473,106352,93667,95985,71363,78273,73377,66745,64706,64674,54790,52313,53211,48559,51618,47293,166464,166271,162233,124572,133012,143687,127114,129725,122168,126955,131896,119979,54007,59787,58240,59269,51592,52221,68699,49805,61777,47629,43050,46009,47634,47774,46032,46953,53027,53264,32957,34767,34368,14039,13958,18378
6 h ,117105,118259,123393,106819,93427,96626,71402,77720,73465,67166,64756,64976,54737,53245,53850,48905,51827,47478,166802,166440,162495,124497,133280,143992,127130,129130,121971,126854,132085,119239,53816,59613,58783,59284,51516,52237,68852,49922,61677,48068,43048,46670,47727,48470,45803,46868,53354,52896,33047,34487,34114,14039,14283,18416
6 h 2 min,118002,118830,123837,106846,94264,96773,72100,78098,74253,67594,65356,65321,54975,52462,53745,48647,51753,47604,166081,167321,161758,124638,133827,144308,126788,129117,122316,127424,132015,119636,53729,59229,58790,58612,52425,51869,68695,50146,62123,48338,43166,46321,47710,48160,45942,47507,53518,53306,33363,34901,34317,14225,13961,18595
6 h 4 min,117849,118851,124357,108034,94974,97362,72372,78950,74118,67666,65508,65956,55116,53003,53758,48925,52153,47637,167665,166733,160947,125546,134955,144316,127257,128470,122443,126611,132196,120353,53861,59985,58859,59117,52012,52117,69358,50042,62666,48313,43200,46759,48162,48655,46190,47120,53581,53323,33399,34639,34524,13935,14402,18475
6 h 6 min,118748,119994,125663,108415,95034,98063,72475,78773,74742,67872,66443,66192,55683,53535,53718,48974,52508,47901,166933,167650,161009,125652,135391,143639,127507,129310,122753,127602,132691,120204,54018,60321,58771,59111,51998,52503,69498,50190,62286,48313,43221,46937,47998,49017,46127,47476,53765,53341,33579,34967,34525,14257,14046,18651
6 h 8 min,119024,119782,126315,109670,95970,97816,73092,79062,74946,68439,66296,66461,55576,53419,54345,49656,52163,47777,167165,167004,162239,126130,135363,144102,127495,128716,123035,127443,132653,120395,53967,60525,58895,59799,52693,52496,69366,50136,62583,48473,43595,47477,48508,49035,46433,47382,54044,53958,33515,35010,34081,14066,14025,18604
6 h 10 min,119579,119881,126025,109688,95881,98289,73546,79322,74992,68963,66456,66920,55524,53359,54494,49262,52950,48212,167580,167387,160382,125947,136387,144267,128096,128717,123531,127735,132645,120212,54583,60680,59112,59935,52498,52662,69575,50415,62744,48799,44048,47054,48225,48812,46876,47921,54083,53836,33740,35012,34119,14063,14201,19072
6 h 12 min,119876,120024,126804,110430,97159,99281,74125,79798,75255,68306,67083,66829,56183,53743,54401,49643,52838,48061,167904,167482,160908,125882,136552,144507,127366,128665,123055,127338,132430,120809,54437,60552,59329,60215,52367,52712,69725,50930,62930,48489,43587,47496,49115,48890,46868,47663,54535,53729,33458,35018,34172,14214,14032,19073
6 h 14 min,120064,120795,127291,110805,97484,98996,74033,79984,76145,68853,66796,67019,56791,53884,54712,49761,53007,48247,168062,167890,160391,126027,137625,144128,127640,128198,122952,128014,132202,120878,54668,60471,58795,60614,52975,53053,70191,50860,63460,49154,44049,47605,48784,49308,47017,48381,54637,54031,33698,35185,34513,14206,14295,19068
6 h 16 min,120698,121551,127839,111536,97477,100106,73410,81124,76973,69577,67889,67823,56311,53739,54796,49734,52814,48513,168893,168682,160267,126904,137068,144704,127432,128334,123609,127810,133151,121450,54652,60359,59380,60167,53174,53148,70424,50879,63096,49241,44472,47987,48712,49260,46897,48144,54359,54478,33518,35275,34342,14305,14379,19062
6 h 18 min,120812,122144,128640,111850,98409,100729,74687,80876,76533,69474,67790,67898,56576,54601,55001,50122,52878,48636,169217,168244,159750,127125,137881,145028,127551,127817,122864,127785,133601,120984,54769,60466,59981,60252,52925,53140,70122,51285,62672,48883,44147,47860,48687,49168,46916,48391,54564,54560,33705,35176,34320,14326,14079,19085
6 h 20 min,121129,122441,129265,112319,97755,100821,74968,81294,76322,69922,68163,68004,56759,54554,55433,50232,53458,48502,167754,168648,160723,127204,138450,144599,128048,128333,122418,127107,133372,121533,54590,61471,59553,61112,53298,53829,71000,51206,63717,49496,44122,47808,49041,49320,47057,48473,54759,54450,33644,34736,34355,14218,14060,19059
6 h 22 min,121578,122973,129715,112557,98968,100729,75222,81310,77119,69548,68804,68523,56867,54477,55725,50497,53817,48628,169366,169354,161137,127510,139332,145033,127294,128616,122378,127792,132775,121207,54790,60655,60197,60418,53211,53211,70992,51119,64168,49513,44339,47898,48962,49428,47493,48327,54376,54940,33799,34988,34576,14284,14100,18920
6 h 24 min,122063,122660,130111,113456,99307,101863,75129,81549,77775,70489,69227,68542,57267,54360,56053,50390,53906,49104,169451,169077,161256,127519,139310,145137,128028,127561,121831,128307,132247,122447,54794,61221,60537,60531,53449,53424,70985,51289,64062,49542,44280,48440,49502,48955,47553,48843,55128,54877,33898,35125,34404,14682,14392,19035
6 h 26 min,122095,123766,130879,114917,99562,101815,75968,82811,77930,70534,69434,69223,56928,54628,55806,50598,54137,49344,168719,168793,160876,127694,140060,145286,127992,127795,121248,128252,133120,121408,55083,61521,60126,61005,53778,53570,71161,51221,63851,49656,44374,48750,49676,49494,47774,48599,55373,55046,33692,35242,34761,14712,14181,19014
6 h 28 min,122723,123560,131875,114829,100355,102557,76758,82761,78481,70885,69802,69212,57298,54928,56283,50789,54086,49038,168194,169348,160992,128749,140060,145461,127937,127622,121036,129056,132885,121892,55105,61489,60128,61433,53691,54006,71653,51150,63663,49736,44746,49082,49800,50006,47505,48813,55348,55277,33585,35205,34574,14579,14228,19203
6 h 30 min,123177,123899,131918,115222,100608,102809,76601,83791,79148,71628,69561,69611,57475,55410,56247,50846,55000,49505,169712,169889,161392,128651,140030,145239,128310,128806,120661,128589,132137,121946,55064,61079,59855,61250,53645,54190,71926,51518,64316,49787,44953,49215,49366,50244,47757,49087,55636,55642,33968,34789,34700,14602,14232,19240
6 h 32 min,123305,124205,132137,114953,101265,103638,76933,83364,79039,71553,70697,69651,57642,55524,56071,51037,54479,49780,169338,170078,161580,128979,139897,145588,127960,127454,119881,129260,131504,122910,54917,61609,61124,61139,53689,54757,71700,51538,63954,49915,44692,49369,49938,50118,47942,48584,55882,55625,33716,34782,34643,14593,14508,19194
6 h 34 min,124117,124977,132507,116664,102064,103727,77336,83858,79867,72020,70920,69710,57891,55815,56671,51283,55325,49811,169317,170273,161804,129105,139617,145766,127859,127663,119963,129522,131486,122188,55089,61122,60647,61462,54291,54039,72360,51915,64547,50643,44889,49372,50178,50566,48192,49301,56028,55562,33520,34796,34640,14570,14302,19343
6 h 36 min,124292,124973,133478,117138,102091,104305,77490,85025,79904,72259,71502,70653,57850,55513,56723,50945,55124,49798,169075,170192,161484,129071,139487,145898,128035,128721,119680,129792,131356,122950,55105,61742,60445,61645,54262,53974,72631,51855,64970,50027,44976,49515,50161,50646,48331,48930,55740,55964,33952,35459,34558,14559,14424,19344
6 h 38 min,124282,125712,134145,117483,101854,104467,77607,84668,79888,72233,71861,70798,58202,56098,56493,51348,55093,50020,168828,169954,162222,128935,140316,146298,128055,127914,119956,129351,131508,123629,55254,61649,60529,61760,54172,54462,72391,52113,65187,50370,45354,49653,50157,50526,48227,49361,55938,55775,33847,35071,34707,14787,14337,19286
6 h 40 min,124832,125259,134711,117946,102522,104400,78326,84846,80394,72145,72210,71156,58141,56017,57270,51995,55056,50234,170132,170728,162558,129182,139097,146294,128128,128152,120056,129485,131223,123626,55769,61651,60883,62405,54371,54816,72654,52244,64433,50601,45423,49544,50135,50612,48482,49292,55721,55944,33726,35127,34641,14647,14315,19577
6 h 42 min,125139,126564,135042,118097,103034,104824,78762,85508,80275,72494,72629,71436,58797,55913,57226,51631,55616,50310,170619,170044,163196,129306,138490,146169,127829,129039,119272,128899,130933,123253,55917,62343,61376,62539,54501,54672,72838,52516,64680,50614,45083,49964,50815,50459,48184,49624,56206,55835,33705,35083,34768,14617,14408,19133
