time,Se1 3 nM,Se1 3 nM,Se1 3 nM,Se1 3 nM + St1 15 nM,Se1 3 nM + St1 15 nM,Se1 3 nM + St1 15 nM
12 h 12 min,15121,15093,14517,121125,124984,108554
12 h 18 min,14703,14984,14694,121337,124907,108136
12 h 24 min,14840,15169,14687,121404,124867,108277
12 h 30 min,14660,14725,13886,121264,125142,108268
12 h 36 min,14514,14628,14554,121990,124355,108083
12 h 42 min,14459,15224,14405,121929,125325,108859
12 h 48 min,14478,14849,14141,122356,125663,108332
12 h 54 min,14238,14509,13723,121219,125375,107757
13 h,14804,14418,13988,122191,124811,108031
13 h 6 min,14190,14960,14170,121245,124685,108212
13 h 12 min,14434,14411,13958,122601,125225,109269
13 h 18 min,14296,14623,13900,122326,125562,108638
13 h 24 min,13930,14262,13868,122309,125241,108469
13 h 30 min,13964,14295,14040,121694,124551,108814
13 h 36 min,14231,14189,14025,121676,125132,108690
13 h 42 min,14250,14532,13781,122185,125599,108747
13 h 48 min,14006,14599,13712,121983,126353,108587
13 h 54 min,13759,13993,14194,122106,125967,109464
14 h,14372,14294,13727,122519,125883,108929
14 h 6 min,13850,14099,13834,122335,125732,109192
14 h 12 min,13998,14419,13673,122212,126096,108640
14 h 18 min,13568,14488,13849,121834,126290,109300
14 h 24 min,14119,14545,13813,122587,125674,108956
14 h 30 min,14247,14409,13929,122129,125739,109264
14 h 36 min,14145,14069,13920,121859,125109,108926
14 h 42 min,14274,13878,13934,122798,126015,109235
14 h 48 min,14284,14323,13916,122944,126138,109377
14 h 54 min,13693,13847,13684,122469,126095,109115
15 h,13985,14403,13849,122734,126743,109196
15 h 6 min,13719,13955,13969,123106,126440,109392
15 h 12 min,14163,14536,13715,122418,126845,110308
15 h 18 min,13818,14441,13545,122578,125629,108808
15 h 24 min,13887,13846,13675,122818,125786,108927
15 h 30 min,13924,14253,13837,121561,126106,108752
15 h 36 min,13706,14271,13454,123015,126214,108544
15 h 42 min,14087,13926,14210,122680,126041,109281
15 h 48 min,14012,13918,13997,122856,126273,109329
15 h 54 min,13909,13874,13584,122911,126793,109764
16 h,13910,14244,13933,122104,126055,109031
16 h 6 min,13784,14475,14144,121706,126677,109461
16 h 12 min,,,,123113,126360,109900
