time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
0 h 26 min,-8.5,169.5,335.5,336.5,-1529.5,-1479.5,-1413.5,-1332.5,-1397.25,-1630.25,-1720.25,-1264.25,-1587.5,-2036.5,-2057.5,-1624.5,-1794.5,-1671.5,-1799.5,-1774.5,-906.5,-1932.5,-1385.5,-1173.5,-1317.75,-1634.75,-1792.75,-1657.75,-1359.25,-1151.25,-728.25,-1613.25,-1756.75,-1676.75,-1653.75,-1479.75
0 h 28 min,711.5,870.5,1248.5,1333.5,-1446.5,-1700.5,-1388.5,-1532.5,-1232.25,-1581.25,-1691.25,-1946.25,-2214.5,-1874.5,-2428.5,-1801.5,-1915.5,-1685.5,-1700.5,-1718.5,-845.5,-1957.5,-1173.5,-1260.5,-1649.75,-1437.75,-2120.75,-1617.75,-1637.25,-1839.25,-831.25,-1631.25,-1583.75,-1532.75,-1557.75,-1392.75
0 h 31 min,1757.5,1446.5,2065.5,1702.5,-1915.5,-1585.5,-1606.5,-1257.5,-1390.25,-1234.25,-1827.25,-1346.25,-2121.5,-1521.5,-2286.5,-1435.5,-1694.5,-1702.5,-1676.5,-1637.5,-964.5,-1341.5,-1288.5,-1200.5,-1709.75,-1142.75,-1719.75,-1488.75,-1476.25,-2067.25,-868.25,-1424.25,-2057.75,-1711.75,-1474.75,-1692.75
0 h 33 min,2532.5,2214.5,2761.5,2438.5,-1586.5,-1286.5,-1322.5,-1681.5,-904.25,-1450.25,-1593.25,-1626.25,-2044.5,-2048.5,-2042.5,-1748.5,-1666.5,-1903.5,-1508.5,-1553.5,-630.5,-1864.5,-1618.5,-1594.5,-1752.75,-1752.75,-1713.75,-1905.75,-1397.25,-1671.25,-558.25,-1614.25,-1192.75,-1302.75,-1500.75,-1348.75
0 h 36 min,3295.5,2861.5,3741.5,3311.5,-1243.5,-1577.5,-1749.5,-1908.5,-995.25,-1489.25,-2006.25,-1413.25,-1553.5,-1712.5,-1927.5,-1549.5,-1747.5,-2067.5,-1893.5,-2142.5,-699.5,-1597.5,-1161.5,-1361.5,-1381.75,-1646.75,-1977.75,-1188.75,-1502.25,-1275.25,-860.25,-1506.25,-1497.75,-1749.75,-1615.75,-1259.75
0 h 38 min,4371.5,3471.5,4043.5,3760.5,-1497.5,-1266.5,-1273.5,-1260.5,-1155.25,-1635.25,-1535.25,-1338.25,-1576.5,-1348.5,-2050.5,-1737.5,-1371.5,-1535.5,-1859.5,-1394.5,-358.5,-1508.5,-1476.5,-1584.5,-1076.75,-1382.75,-1356.75,-1608.75,-1020.25,-1044.25,-62.25,-1497.25,-1664.75,-1420.75,-1616.75,-1379.75
0 h 40 min,5637.5,4568.5,5520.5,5134.5,-1501.5,-1526.5,-1451.5,-1624.5,-1075.25,-1433.25,-1397.25,-1499.25,-1612.5,-1854.5,-1836.5,-1314.5,-1449.5,-1641.5,-1511.5,-1713.5,-763.5,-1399.5,-1227.5,-1304.5,-1567.75,-1419.75,-1389.75,-1078.75,-1021.25,-1650.25,-212.25,-1317.25,-1723.75,-1107.75,-1473.75,-943.75
0 h 43 min,6708.5,5710.5,6701.5,5878.5,-1362.5,-1107.5,-1737.5,-1337.5,-1350.25,-1126.25,-1635.25,-1229.25,-1820.5,-2061.5,-1739.5,-1669.5,-1152.5,-1606.5,-1690.5,-1842.5,-489.5,-1572.5,-1176.5,-1012.5,-1082.75,-1750.75,-1696.75,-1569.75,-1223.25,-1077.25,309.75,-1133.25,-1462.75,-1712.75,-1331.75,-1079.75
0 h 45 min,7889.5,6713.5,7710.5,7036.5,-1498.5,-1481.5,-1297.5,-1141.5,-1007.25,-1194.25,-1535.25,-1020.25,-1611.5,-1478.5,-1869.5,-1285.5,-1184.5,-1121.5,-1679.5,-1271.5,-371.5,-1167.5,-1104.5,-935.5,-1141.75,-1465.75,-1839.75,-1571.75,-1445.25,-866.25,-225.25,-1592.25,-1299.75,-1248.75,-1539.75,-1000.75
0 h 47 min,9460.5,7584.5,9168.5,7868.5,-1417.5,-1486.5,-1146.5,-1221.5,-1313.25,-1107.25,-1237.25,-1317.25,-1552.5,-1369.5,-1616.5,-1666.5,-1034.5,-1466.5,-1788.5,-1183.5,-313.5,-1008.5,-1001.5,-779.5,-1086.75,-1055.75,-1363.75,-1476.75,-932.25,-1317.25,-354.25,-750.25,-1228.75,-1440.75,-1206.75,-1058.75
