time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
2 h 1 min,70425.5,67903.5,61029.5,59208.5,597.5,1175.5,536.5,533.5,1705.75,2012.75,1665.75,2604.75,2351.5,2348.5,2356.5,2637.5,3903.5,3618.5,3125.5,5494.5,9965.5,8665.5,6368.5,8641.5,3437.25,2516.25,1645.25,1599.25,7817.75,4895.75,7636.75,5890.75,5189.25,5084.25,4323.25,6593.25
2 h 3 min,73191.5,70025.5,63055.5,60295.5,590.5,1052.5,632.5,934.5,2015.75,2228.75,1644.75,2492.75,2569.5,2954.5,2774.5,3103.5,3595.5,3708.5,3920.5,5754.5,10097.5,9683.5,6712.5,9449.5,4183.25,2746.25,2267.25,1828.25,8288.75,5100.75,7073.75,6237.75,6067.25,5351.25,5096.25,6638.25
2 h 5 min,74758.5,71752.5,64883.5,62182.5,555.5,956.5,579.5,674.5,2001.75,1811.75,1680.75,2651.75,2910.5,3225.5,3011.5,3567.5,4325.5,3789.5,3883.5,6291.5,10801.5,10446.5,7202.5,9994.5,4126.25,2618.25,2317.25,2171.25,8722.75,5443.75,8535.75,7019.75,6350.25,5868.25,5543.25,7669.25
2 h 8 min,76772.5,73417.5,67483.5,64048.5,749.5,1279.5,881.5,782.5,2290.75,2328.75,1602.75,3191.75,2478.5,3184.5,3465.5,3647.5,4700.5,4456.5,4000.5,6444.5,11262.5,11046.5,7565.5,10442.5,4418.25,3136.25,2141.25,2504.25,9366.75,5693.75,8067.75,7143.75,6642.25,6315.25,5841.25,7888.25
2 h 10 min,79031.5,75855.5,68798.5,66068.5,529.5,1496.5,658.5,549.5,2618.75,2226.75,2218.75,3635.75,3086.5,3682.5,3083.5,4029.5,4093.5,4568.5,4410.5,6534.5,11545.5,12097.5,8463.5,11456.5,4467.25,3553.25,2478.25,2638.25,9705.75,5720.75,9241.75,8194.75,7157.25,7012.25,5901.25,8179.25
2 h 13 min,80777.5,77376.5,70606.5,68448.5,1156.5,1389.5,746.5,1041.5,2654.75,2189.75,2218.75,3485.75,3303.5,3402.5,3318.5,4251.5,4865.5,4968.5,4408.5,6907.5,12469.5,12571.5,8722.5,12563.5,5000.25,3489.25,2588.25,2304.25,10192.75,6849.75,9897.75,8843.75,7411.25,7028.25,6495.25,9089.25
2 h 15 min,83124.5,79756.5,73324.5,70025.5,1065.5,1233.5,990.5,615.5,2923.75,2762.75,2257.75,4108.75,3170.5,4043.5,3807.5,4865.5,5229.5,5327.5,4613.5,7860.5,13124.5,12854.5,9308.5,12389.5,5211.25,3554.25,3312.25,2762.25,10905.75,6852.75,9814.75,9162.75,7990.25,7576.25,6332.25,9364.25
2 h 17 min,85230.5,81864.5,74824.5,71861.5,847.5,1344.5,1257.5,1185.5,2838.75,3015.75,2356.75,3984.75,3552.5,4254.5,3897.5,4628.5,5716.5,4990.5,4830.5,7649.5,13707.5,13573.5,9969.5,13417.5,5462.25,4240.25,3185.25,3325.25,11653.75,7395.75,10131.75,9917.75,8309.25,7742.25,6776.25,9469.25
2 h 20 min,86212.5,83277.5,76804.5,73842.5,1066.5,1426.5,935.5,666.5,2988.75,2849.75,3005.75,4226.75,3902.5,4368.5,4758.5,4975.5,5468.5,5743.5,5369.5,8662.5,14126.5,14228.5,10290.5,14425.5,5388.25,3572.25,3057.25,3497.25,12424.75,7869.75,9986.75,10556.75,8823.25,7832.25,6924.25,9907.25
2 h 22 min,89059.5,85056.5,78637.5,75983.5,1038.5,1241.5,854.5,1471.5,3156.75,2857.75,3125.75,4219.75,3866.5,4620.5,4085.5,4902.5,5663.5,6273.5,5758.5,8835.5,14962.5,15290.5,11497.5,15251.5,5586.25,4231.25,3308.25,3608.25,12361.75,8662.75,10471.75,11070.75,9431.25,8311.25,7232.25,10338.25
2 h 24 min,90831.5,86811.5,80754.5,78384.5,1368.5,1476.5,779.5,1405.5,3191.75,3505.75,2454.75,4184.75,3827.5,4780.5,4768.5,5663.5,5923.5,6372.5,5433.5,9176.5,15053.5,15891.5,12177.5,15868.5,5858.25,4387.25,3247.25,3817.25,12601.75,8446.75,11763.75,11389.75,9505.25,8570.25,8119.25,10757.25
2 h 27 min,92525.5,89366.5,82155.5,79908.5,1059.5,1277.5,1171.5,1354.5,3616.75,3343.75,3294.75,4565.75,4350.5,4834.5,5059.5,5471.5,6652.5,6202.5,6217.5,8870.5,15934.5,16950.5,12579.5,16929.5,6522.25,4698.25,3828.25,3945.25,13950.75,8934.75,12654.75,11960.75,10346.25,8888.25,8424.25,11413.25
2 h 29 min,94540.5,91190.5,83320.5,82451.5,1348.5,1613.5,997.5,1302.5,3224.75,3522.75,3441.75,4444.75,4581.5,5459.5,5054.5,5978.5,6699.5,6889.5,6446.5,9632.5,16452.5,17569.5,13573.5,17813.5,6511.25,4915.25,3934.25,4271.25,14220.75,9230.75,12807.75,12870.75,10389.25,9781.25,8726.25,11834.25
2 h 31 min,96803.5,92775.5,86465.5,84185.5,894.5,1550.5,1305.5,948.5,3928.75,3820.75,3519.75,4854.75,4506.5,5095.5,5389.5,5783.5,6758.5,6486.5,6982.5,10077.5,17327.5,18594.5,14082.5,18768.5,6608.25,5217.25,3914.25,4392.25,14776.75,9886.75,13217.75,13558.75,11252.25,9963.25,9144.25,12303.25
2 h 34 min,98291.5,95338.5,87318.5,86547.5,892.5,1528.5,1304.5,1356.5,3943.75,3760.75,3708.75,5079.75,4872.5,5611.5,5249.5,6426.5,6921.5,7692.5,7182.5,10748.5,18751.5,19059.5,14848.5,18954.5,7393.25,5095.25,3985.25,4808.25,15507.75,10726.75,14215.75,14182.75,11250.25,10244.25,9428.25,13115.25
2 h 36 min,100388.5,96746.5,89612.5,88008.5,834.5,1801.5,1651.5,1436.5,3764.75,3842.75,3899.75,5261.75,4968.5,5853.5,5862.5,6502.5,7512.5,7409.5,7428.5,10817.5,18880.5,20215.5,15173.5,20296.5,7700.25,5731.25,4357.25,4750.25,16391.75,11144.75,14160.75,14971.75,11756.25,10411.25,10055.25,13183.25
2 h 39 min,102577.5,99930.5,91724.5,89970.5,1794.5,1969.5,1499.5,1344.5,4022.75,4233.75,3679.75,4794.75,4775.5,6396.5,6028.5,6698.5,7296.5,7765.5,7845.5,11492.5,19826.5,20620.5,16340.5,21360.5,7574.25,5929.25,4296.25,5020.25,16486.75,11666.75,14395.75,15079.75,12107.25,10733.25,10271.25,13466.25
2 h 41 min,104641.5,101952.5,93615.5,92107.5,1256.5,1748.5,1370.5,1651.5,4365.75,4131.75,3860.75,5427.75,5260.5,6663.5,6001.5,7052.5,7495.5,8162.5,7684.5,11485.5,20452.5,21583.5,17024.5,22410.5,7601.25,6064.25,5420.25,5096.25,17629.75,11915.75,15499.75,16218.75,13001.25,11696.25,10672.25,14043.25
2 h 43 min,105632.5,102780.5,95530.5,94222.5,1510.5,1839.5,1629.5,1543.5,4383.75,3853.75,4037.75,5451.75,5695.5,6507.5,6321.5,7338.5,8429.5,8721.5,8271.5,12278.5,20343.5,22254.5,17638.5,23074.5,7888.25,6260.25,4855.25,5678.25,17875.75,12201.75,16274.75,16572.75,13737.25,11931.25,11301.25,14890.25
2 h 46 min,107832.5,105440.5,97290.5,96393.5,1118.5,2302.5,1380.5,1285.5,4616.75,4624.75,4481.75,5923.75,5695.5,6584.5,6782.5,7855.5,8274.5,8269.5,8188.5,12470.5,21558.5,24145.5,18420.5,23502.5,8073.25,6538.25,5639.25,5368.25,18443.75,12962.75,16204.75,17069.75,13626.25,12305.25,11692.25,15466.25
2 h 48 min,109974.5,106660.5,98087.5,98591.5,1572.5,1757.5,1503.5,1670.5,4282.75,5064.75,4314.75,5966.75,5856.5,7127.5,6768.5,7395.5,8686.5,8926.5,8726.5,12598.5,22325.5,24566.5,19422.5,25046.5,8893.25,7063.25,5420.25,5856.25,19377.75,13242.75,17218.75,18233.75,14279.25,12882.25,11925.25,15599.25
2 h 50 min,111084.5,108359.5,100623.5,100324.5,1684.5,2067.5,2028.5,1698.5,4749.75,4461.75,4349.75,5818.75,6168.5,7433.5,6981.5,8094.5,8396.5,9339.5,8926.5,12938.5,22806.5,25073.5,20597.5,25403.5,8797.25,7090.25,5567.25,6294.25,19490.75,13832.75,16907.75,18813.75,15202.25,13081.25,12323.25,15895.25
2 h 53 min,112960.5,109498.5,102565.5,102373.5,1664.5,2213.5,2128.5,1991.5,5104.75,5077.75,4538.75,6388.75,6582.5,7557.5,7529.5,8087.5,8903.5,9670.5,9874.5,13301.5,23809.5,26032.5,20844.5,26305.5,9247.25,7251.25,5842.25,5851.25,20419.75,14282.75,18241.75,19371.75,15180.25,13777.25,12969.25,16532.25
2 h 55 min,114604.5,112831.5,104246.5,104021.5,1763.5,1969.5,2142.5,1813.5,5213.75,5156.75,5068.75,6595.75,6434.5,7867.5,7539.5,8560.5,9374.5,9832.5,9905.5,13146.5,24236.5,27603.5,21876.5,26992.5,9049.25,7417.25,5925.25,6618.25,21098.75,14702.75,18577.75,19798.75,15413.25,14112.25,13507.25,17153.25
2 h 58 min,116239.5,114275.5,107139.5,106117.5,1500.5,2084.5,1996.5,1753.5,5500.75,5294.75,4855.75,6838.75,6680.5,8100.5,8165.5,8918.5,9426.5,9998.5,10194.5,13838.5,25264.5,28043.5,22303.5,28528.5,9490.25,7689.25,6027.25,6718.25,22057.75,15529.75,18896.75,20198.75,15952.25,14158.25,13415.25,18040.25
2 h 60 min,118005.5,115260.5,107365.5,108488.5,1484.5,2159.5,1742.5,1631.5,5132.75,5862.75,5191.75,6589.75,7011.5,7950.5,7790.5,9149.5,9378.5,10499.5,10653.5,14504.5,25521.5,28815.5,23226.5,29387.5,10010.25,8239.25,6365.25,7292.25,21989.75,15805.75,19484.75,21045.75,16408.25,14472.25,14014.25,18831.25
3 h 2 min,120049.5,117977.5,110202.5,109577.5,1528.5,1999.5,1768.5,2083.5,5434.75,5617.75,5738.75,6973.75,6812.5,8733.5,7739.5,8911.5,9975.5,10920.5,10460.5,14632.5,26680.5,30252.5,24292.5,30169.5,9930.25,7977.25,6831.25,7048.25,22994.75,16104.75,20655.75,21728.75,17403.25,14980.25,14317.25,18344.25
3 h 5 min,121497.5,119695.5,112172.5,112015.5,1696.5,2119.5,1965.5,2222.5,5892.75,5342.75,5327.75,7424.75,7276.5,8983.5,8205.5,9396.5,9799.5,10647.5,11072.5,15441.5,27340.5,31014.5,24980.5,31499.5,10193.25,8431.25,6982.25,7126.25,23170.75,17142.75,20537.75,22533.75,17149.25,15433.25,14521.25,18796.25
3 h 7 min,123530.5,121894.5,113606.5,113651.5,2025.5,2415.5,2008.5,2280.5,5682.75,5746.75,5665.75,7063.75,7299.5,8981.5,8622.5,9880.5,10120.5,11296.5,10856.5,15690.5,28003.5,31840.5,25794.5,32330.5,10577.25,8348.25,7162.25,7617.25,24818.75,17155.75,21740.75,23477.75,17685.25,15565.25,14574.25,19544.25
3 h 9 min,124620.5,122261.5,115022.5,116120.5,1615.5,2581.5,1953.5,1971.5,6009.75,5776.75,5009.75,7350.75,7666.5,9175.5,9045.5,9788.5,10291.5,11862.5,11413.5,15462.5,28710.5,32995.5,26580.5,33650.5,10963.25,8255.25,7441.25,7990.25,24501.75,18110.75,21762.75,23620.75,18648.25,16267.25,15428.25,19642.25
3 h 12 min,126792.5,125136.5,117076.5,117715.5,1831.5,2491.5,2149.5,2296.5,5860.75,6605.75,6073.75,7477.75,7538.5,9415.5,9088.5,9946.5,10288.5,11805.5,12005.5,16129.5,28864.5,33617.5,27528.5,34094.5,11231.25,8552.25,7819.25,7839.25,25293.75,18556.75,22569.75,24555.75,18902.25,16335.25,15764.25,20398.25
3 h 14 min,127828.5,126828.5,118586.5,119562.5,1907.5,2800.5,2282.5,2164.5,6442.75,6548.75,5675.75,7599.75,7687.5,9934.5,9703.5,10636.5,10838.5,12051.5,12270.5,16766.5,29833.5,34209.5,27801.5,34696.5,11177.25,9013.25,7635.25,8170.25,26007.75,19250.75,22662.75,24813.75,19305.25,17334.25,16369.25,20785.25
3 h 16 min,130495.5,128656.5,120113.5,120773.5,1923.5,2552.5,2036.5,2381.5,6367.75,6325.75,6470.75,7809.75,8150.5,9506.5,9711.5,10874.5,10595.5,12448.5,12609.5,16769.5,30870.5,35930.5,29208.5,35679.5,11740.25,9345.25,7764.25,8250.25,26362.75,19474.75,22735.75,25829.75,19435.25,17535.25,16888.25,21721.25
3 h 19 min,130695.5,130475.5,122988.5,123139.5,1846.5,2254.5,2374.5,2403.5,6833.75,6468.75,6373.75,8235.75,8033.5,10438.5,9681.5,10963.5,11167.5,12602.5,12578.5,17461.5,31247.5,36065.5,29426.5,36552.5,11974.25,9292.25,8316.25,9013.25,27118.75,19597.75,23288.75,26712.75,20633.25,17819.25,17376.25,21609.25
3 h 21 min,133290.5,131995.5,124910.5,124746.5,2103.5,2351.5,1807.5,2180.5,6718.75,7010.75,6054.75,8708.75,8234.5,10432.5,10350.5,11229.5,11544.5,12897.5,12879.5,17669.5,31820.5,37432.5,31217.5,37849.5,12459.25,9535.25,8432.25,9151.25,28052.75,20167.75,23826.75,27042.75,20930.25,18322.25,17258.25,21944.25
3 h 24 min,134911.5,133797.5,126888.5,126549.5,1939.5,2551.5,2169.5,2342.5,6919.75,6899.75,6553.75,8370.75,8411.5,10525.5,10178.5,11327.5,11746.5,13308.5,12898.5,17806.5,32620.5,37971.5,31727.5,38651.5,12580.25,9667.25,8153.25,9557.25,28721.75,20885.75,24976.75,28300.75,20815.25,18461.25,17910.25,22705.25
3 h 26 min,136315.5,135876.5,127485.5,128245.5,2372.5,2924.5,2347.5,2088.5,7113.75,6936.75,6622.75,8393.75,8591.5,10413.5,10155.5,11592.5,12101.5,13886.5,13128.5,18300.5,33740.5,39511.5,32483.5,39675.5,12739.25,9933.25,8573.25,9551.25,28699.75,21690.75,25549.75,28410.75,21940.25,18845.25,18040.25,23146.25
3 h 28 min,137929.5,137318.5,129516.5,130845.5,2411.5,2405.5,2395.5,2276.5,7297.75,7220.75,6508.75,8959.75,8606.5,11162.5,10339.5,11859.5,12277.5,14228.5,13767.5,18266.5,34016.5,40205.5,32870.5,40372.5,12912.25,10510.25,9225.25,9496.25,29588.75,22260.75,26436.75,29061.75,22372.25,19260.25,19215.25,23268.25
3 h 31 min,140210.5,138925.5,131415.5,132764.5,2682.5,2852.5,2617.5,2610.5,6756.75,7415.75,7046.75,8903.75,8695.5,11385.5,10458.5,12656.5,12323.5,14279.5,14142.5,18484.5,35252.5,40993.5,34412.5,41345.5,13287.25,10544.25,8986.25,9929.25,30419.75,22160.75,26957.75,30222.75,22547.25,19159.25,18605.25,24176.25
3 h 33 min,142014.5,140932.5,132390.5,135000.5,2590.5,2783.5,2817.5,2389.5,7433.75,7549.75,6960.75,9137.75,9183.5,11701.5,10791.5,12823.5,12657.5,14558.5,14557.5,19643.5,36201.5,42440.5,34787.5,42419.5,13566.25,10690.25,9532.25,10122.25,31267.75,22900.75,27679.75,30635.75,23110.25,19694.25,18970.25,24490.25
3 h 35 min,143453.5,142147.5,135326.5,137077.5,2267.5,2719.5,2352.5,2357.5,7343.75,7670.75,6912.75,8787.75,9188.5,11795.5,11159.5,12700.5,12723.5,14657.5,14445.5,19366.5,36543.5,43188.5,35287.5,43101.5,14039.25,10860.25,9137.25,10463.25,31504.75,23425.75,28323.75,31374.75,23094.25,20353.25,19402.25,24700.25
3 h 38 min,144125.5,144027.5,136839.5,139236.5,2533.5,3103.5,2384.5,2767.5,7587.75,7830.75,7221.75,9320.75,9481.5,11547.5,11338.5,12955.5,12872.5,15273.5,15014.5,19621.5,36995.5,44093.5,36924.5,44718.5,14017.25,11153.25,9718.25,10725.25,32603.75,23998.75,28363.75,32232.75,23902.25,21307.25,19562.25,25234.25
3 h 40 min,146249.5,145359.5,137982.5,140023.5,2248.5,2867.5,2630.5,2583.5,7768.75,7818.75,7544.75,9415.75,9742.5,12222.5,11538.5,13439.5,13636.5,15032.5,15289.5,19668.5,38079.5,45167.5,37711.5,45453.5,14101.25,11242.25,9466.25,10895.25,33014.75,24845.75,29197.75,32645.75,24265.25,21129.25,20816.25,25612.25
3 h 42 min,147811.5,147513.5,139566.5,142107.5,2304.5,3472.5,2564.5,2913.5,8188.75,7860.75,7016.75,9396.75,9680.5,12400.5,11899.5,13958.5,13038.5,15675.5,15555.5,20404.5,38043.5,45524.5,38572.5,45847.5,14208.25,11513.25,9721.25,11256.25,33915.75,24616.75,29259.75,33123.75,24330.25,21402.25,21110.25,25885.25
3 h 45 min,149480.5,148581.5,140640.5,143513.5,2168.5,2808.5,2848.5,3127.5,8051.75,8455.75,7722.75,9781.75,9799.5,12634.5,11827.5,13668.5,13848.5,16076.5,16115.5,20158.5,39517.5,47067.5,39822.5,47331.5,14754.25,12090.25,10000.25,11458.25,34142.75,25793.75,30437.75,33946.75,24762.25,21763.25,20706.25,26475.25
3 h 47 min,150183.5,150447.5,143407.5,146658.5,2609.5,3401.5,2800.5,3000.5,8156.75,7962.75,7688.75,9634.75,9867.5,12510.5,12104.5,13888.5,13503.5,16302.5,16307.5,20615.5,40396.5,47675.5,40336.5,47629.5,15133.25,11777.25,10838.25,12169.25,34510.75,25711.75,30213.75,33907.75,25215.25,21701.25,21803.25,26819.25
3 h 50 min,151533.5,152526.5,144115.5,148656.5,2860.5,3365.5,2769.5,2954.5,8650.75,7826.75,7644.75,9814.75,10262.5,13157.5,12488.5,14511.5,14102.5,16482.5,16731.5,21753.5,40589.5,48910.5,41338.5,48903.5,15128.25,12207.25,10944.25,11947.25,35301.75,26795.75,30724.75,35573.75,25623.25,22836.25,21723.25,28099.25
3 h 52 min,154312.5,153539.5,146505.5,149565.5,2779.5,3193.5,2685.5,3009.5,8734.75,8073.75,7719.75,10492.75,10244.5,13159.5,12549.5,14531.5,14152.5,16769.5,16638.5,21164.5,41026.5,49705.5,41871.5,49921.5,15233.25,12218.25,10845.25,12221.25,35361.75,27566.75,31541.75,35908.75,26023.25,22814.25,21529.25,28239.25
3 h 54 min,155373.5,154721.5,147384.5,151228.5,2437.5,3151.5,2982.5,2819.5,8583.75,8302.75,7902.75,10399.75,10515.5,13444.5,12779.5,14942.5,14063.5,17050.5,16774.5,21668.5,42060.5,50440.5,42604.5,50952.5,15712.25,12794.25,11020.25,11961.25,36713.75,27860.75,32438.75,36345.75,26779.25,23617.25,23260.25,28274.25
3 h 57 min,156224.5,156456.5,149166.5,153764.5,2469.5,3402.5,2513.5,3222.5,8938.75,8286.75,7990.75,10168.75,10500.5,13875.5,13126.5,15288.5,14506.5,16929.5,16773.5,21804.5,43165.5,51234.5,44011.5,51447.5,15826.25,12780.25,11205.25,12382.25,37334.75,28299.75,32443.75,36861.75,27106.25,23628.25,23325.25,29312.25
3 h 59 min,158422.5,158017.5,151216.5,154075.5,2744.5,3326.5,2505.5,3234.5,8708.75,8700.75,8410.75,10658.75,10802.5,13564.5,13301.5,15090.5,14511.5,17083.5,17629.5,22232.5,43822.5,52247.5,44223.5,52548.5,16173.25,12994.25,11556.25,12689.25,37393.75,28582.75,32783.75,37746.75,27510.25,23989.25,23175.25,29167.25
4 h 1 min,160334.5,161198.5,152654.5,155611.5,2844.5,3890.5,2907.5,3113.5,8995.75,8917.75,8053.75,10566.75,10568.5,13962.5,13375.5,15472.5,14789.5,17654.5,17276.5,22450.5,44503.5,53850.5,45140.5,53491.5,16527.25,13016.25,11700.25,13002.25,37836.75,29314.75,33009.75,38401.75,28171.25,24584.25,23850.25,29418.25
4 h 4 min,161650.5,161547.5,153767.5,157698.5,3074.5,3329.5,2932.5,3387.5,9035.75,9328.75,8806.75,10723.75,10711.5,13674.5,13676.5,15609.5,14597.5,18690.5,17807.5,22592.5,44560.5,54729.5,46157.5,54333.5,16538.25,12721.25,12043.25,13405.25,38007.75,30010.75,34393.75,38670.75,28242.25,24243.25,24176.25,29929.25
4 h 6 min,162727.5,163457.5,155639.5,160340.5,3001.5,3710.5,3277.5,2915.5,9206.75,8882.75,8137.75,10715.75,10860.5,14160.5,13564.5,16066.5,15046.5,18662.5,18192.5,22691.5,45595.5,55361.5,46980.5,54869.5,17047.25,13775.25,11738.25,13418.25,38724.75,30349.75,34527.75,39623.75,28758.25,25014.25,24310.25,30455.25
4 h 8 min,164476.5,164415.5,156981.5,161596.5,3022.5,3727.5,3112.5,3066.5,8981.75,8812.75,8941.75,11023.75,10775.5,14559.5,13972.5,16316.5,14938.5,18951.5,18720.5,23596.5,46208.5,55725.5,47783.5,56170.5,17032.25,13754.25,12218.25,13810.25,39909.75,30762.75,35272.75,39819.75,29586.25,25329.25,24522.25,30376.25
4 h 11 min,166235.5,166160.5,158786.5,162703.5,2863.5,3623.5,3075.5,3194.5,9749.75,9091.75,8800.75,11103.75,11234.5,14638.5,13733.5,16186.5,15364.5,19287.5,18564.5,23655.5,46726.5,57431.5,48476.5,56864.5,16701.25,14078.25,11726.25,14158.25,40603.75,31008.75,35819.75,40669.75,30002.25,25934.25,24888.25,31064.25
4 h 13 min,167274.5,168359.5,159823.5,165272.5,3077.5,3932.5,3268.5,3394.5,9438.75,9733.75,8880.75,11531.75,10859.5,14577.5,13931.5,16573.5,15772.5,19649.5,19138.5,23041.5,46812.5,57890.5,49494.5,57934.5,17244.25,13867.25,12583.25,13872.25,41032.75,31928.75,36366.75,40531.75,30056.25,26065.25,25123.25,31589.25
4 h 16 min,169289.5,169938.5,163197.5,167639.5,2973.5,3532.5,3402.5,3452.5,9680.75,9709.75,8507.75,11561.75,11277.5,14914.5,14547.5,17261.5,16018.5,19198.5,19492.5,23286.5,48517.5,58451.5,49903.5,58193.5,17280.25,14810.25,12329.25,14347.25,41785.75,32734.75,36744.75,41435.75,30063.25,25949.25,25711.25,32026.25
4 h 18 min,170890.5,170829.5,162928.5,168930.5,3086.5,3618.5,3020.5,3570.5,10135.75,9692.75,8954.75,11376.75,11445.5,14646.5,14668.5,16891.5,16095.5,19680.5,19378.5,24279.5,49127.5,59057.5,51091.5,59260.5,17986.25,14476.25,12911.25,14744.25,41964.75,32431.75,37669.75,41929.75,30766.25,26407.25,25737.25,32469.25
4 h 20 min,173803.5,173036.5,165832.5,172037.5,3126.5,4173.5,3499.5,3678.5,10226.75,9744.75,9363.75,12166.75,11494.5,14713.5,14437.5,17571.5,15794.5,19593.5,19141.5,24347.5,50227.5,60271.5,52302.5,60040.5,18169.25,15154.25,13043.25,15057.25,42716.75,32697.75,37558.75,42801.75,31213.25,26780.25,25991.25,32877.25
4 h 23 min,175824.5,176800.5,166692.5,174545.5,3109.5,4032.5,3442.5,3942.5,10310.75,9662.75,9383.75,11575.75,11533.5,15391.5,14928.5,17813.5,15676.5,19857.5,19930.5,24931.5,50443.5,61252.5,53101.5,61665.5,18121.25,14851.25,13077.25,15134.25,42842.75,33294.75,38052.75,43650.75,32131.25,26739.25,26691.25,33612.25
4 h 25 min,177048.5,178973.5,168021.5,176388.5,2531.5,3955.5,3199.5,3610.5,10138.75,10481.75,9617.75,12146.75,11851.5,15395.5,15055.5,17263.5,16302.5,20356.5,19982.5,25002.5,50997.5,61643.5,53824.5,63072.5,18338.25,15059.25,13257.25,15084.25,43433.75,33957.75,38718.75,44048.75,32328.25,27322.25,27115.25,33271.25
4 h 27 min,178822.5,179647.5,169780.5,177942.5,3075.5,3767.5,3152.5,4140.5,10969.75,10002.75,9761.75,11816.75,11920.5,16149.5,15062.5,17704.5,16560.5,20422.5,20023.5,24859.5,51672.5,63382.5,54340.5,62954.5,18802.25,15520.25,13331.25,15272.25,44155.75,34583.75,39295.75,44815.75,32738.25,28223.25,27304.25,33809.25
4 h 30 min,179702.5,181242.5,170380.5,179276.5,2930.5,3913.5,3280.5,3725.5,10539.75,9993.75,9582.75,12057.75,11554.5,16023.5,15583.5,18243.5,16982.5,20729.5,20669.5,24937.5,52067.5,64678.5,55412.5,63898.5,18929.25,15147.25,13792.25,15552.25,44436.75,34421.75,39548.75,44878.75,32835.25,28030.25,27987.25,34474.25
4 h 32 min,181187.5,183346.5,173532.5,179262.5,3515.5,3886.5,3388.5,4221.5,10885.75,9977.75,9456.75,12177.75,12266.5,16155.5,15343.5,18256.5,17075.5,20853.5,20816.5,25960.5,52434.5,64491.5,55772.5,64212.5,18975.25,15362.25,13788.25,16001.25,44890.75,35150.75,39850.75,45697.75,33260.25,28244.25,28384.25,35060.25
4 h 35 min,182315.5,183965.5,177186.5,182301.5,3253.5,3963.5,3138.5,4151.5,11143.75,10736.75,9991.75,12202.75,12424.5,16625.5,15759.5,18831.5,17057.5,21296.5,20991.5,25735.5,53527.5,65562.5,56193.5,65729.5,19114.25,15514.25,13278.25,15901.25,45608.75,35393.75,40142.75,45894.75,33566.25,28642.25,28431.25,35031.25
4 h 37 min,183992.5,185697.5,177928.5,185120.5,3427.5,3660.5,3780.5,4252.5,11388.75,10513.75,9858.75,12654.75,12576.5,16789.5,15572.5,18412.5,17096.5,21528.5,21585.5,25908.5,53798.5,65891.5,58374.5,65936.5,19523.25,15949.25,13703.25,15690.25,45469.75,36158.75,40695.75,46852.75,33691.25,28990.25,29035.25,35017.25
4 h 39 min,185354.5,186742.5,177365.5,187059.5,3550.5,4118.5,3515.5,4333.5,10854.75,10530.75,9479.75,12457.75,12355.5,16755.5,16191.5,19627.5,16986.5,21694.5,21662.5,26298.5,54539.5,66761.5,58856.5,66716.5,19577.25,15833.25,13507.25,16597.25,46878.75,36713.75,41118.75,46848.75,34329.25,28806.25,29094.25,35331.25
4 h 42 min,186467.5,188379.5,180059.5,187746.5,3413.5,4071.5,3819.5,3968.5,10805.75,11037.75,9786.75,12645.75,12586.5,17223.5,16495.5,18856.5,17666.5,22137.5,21871.5,26574.5,54787.5,67784.5,58792.5,67729.5,19532.25,16031.25,14321.25,16476.25,47168.75,36822.75,40928.75,47116.75,34121.25,29580.25,29137.25,35762.25
4 h 44 min,186907.5,189960.5,181792.5,188915.5,3393.5,4238.5,3551.5,4422.5,11136.75,10720.75,10152.75,12500.75,12121.5,16862.5,16275.5,18933.5,17080.5,22350.5,21899.5,26563.5,55555.5,68600.5,59677.5,68187.5,20282.25,16428.25,13756.25,17083.25,47585.75,37635.75,41765.75,47781.75,34904.25,29747.25,29286.25,36401.25
