time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
2 h 30 min,570646,459910,502593,477305,402459,422536,211173,222887,224083,467391,539858,511696,488003,461258,431419,238219,253400,226352,621222,685741,572516,569353,471104,450134,213055,228690,205453,52046,50661,46746,43792,48291,46290,47528,49068,44380,21956,20175,20077,23163,23107,23181,22216,24618,19844
2 h 40 min,644846,517747,580299,537672,454671,468326,235717,250801,251736,519273,588082,556634,536819,487701,486890,272610,289427,256590,699643,764588,650511,623367,529999,497203,233544,251970,231413,57155,56471,51949,47808,52976,50737,51445,53656,47102,22927,21178,20731,23440,23573,23847,22440,24969,20736
2 h 50 min,705721,569807,640102,587848,498949,515244,255532,273050,272720,574056,643787,609093,588508,524141,537947,297375,314646,283006,780690,840782,714452,683224,577673,547847,254569,272693,254321,60743,60751,54649,51020,55739,53871,55250,56688,50433,23504,21500,21102,23945,23694,24518,23035,25299,21620
3 h ,761494,619544,696411,632429,540628,554901,275360,293443,295409,624261,693647,656960,636155,561859,585456,321164,341309,305268,859139,909453,772715,734900,619847,589155,274907,292563,276048,63023,64173,57141,52744,58557,56101,58394,60325,52518,23482,22471,21509,23992,24357,24582,22972,25654,21794
3 h 10 min,809581,665706,745199,677353,578773,593101,294213,313065,314303,668951,745529,701802,679127,592111,634010,343303,367230,327160,931950,973051,834621,778421,666627,631122,293525,312006,294391,66674,67910,60370,55610,61732,59232,60966,63452,55289,24170,22978,22248,24279,24766,25053,23647,26499,22516
3 h 20 min,858658,710327,794565,720269,613122,629486,314234,330542,331381,707109,797233,747991,718083,621180,676775,360698,391926,345916,998710,1023805,885266,815466,709103,679594,308844,328975,311814,68964,70731,62929,57692,64866,60951,63512,66248,57477,24699,23152,22370,25022,25041,25627,24345,26578,23042
3 h 30 min,874746,735670,813582,742257,629101,652546,330584,343014,341021,742422,844302,786686,752199,662777,698089,373060,408634,356367,1056450,1068441,928278,850792,744457,714480,323887,342959,327105,69363,71547,62637,58226,67224,61361,65246,67569,58897,24510,22761,22360,25351,25400,26143,24939,27457,22749
3 h 40 min,930808,782505,875434,789092,663836,689247,347428,364590,362087,774324,871391,819523,782602,688628,762663,403642,434760,382658,1126098,1123925,982580,869521,784513,753464,334558,355638,343083,73177,75879,66026,61111,69268,64077,67764,71913,60355,25205,23761,23053,25928,25673,26361,24705,27469,23461
3 h 50 min,958805,811698,905782,821214,682262,715154,360451,377213,373514,798429,907542,847794,808151,719705,802045,422783,451605,397275,1180139,1167185,1026459,885376,813184,778105,346108,367340,355060,74958,79028,67688,62331,71347,65755,70074,74359,61779,25081,24271,23277,26430,25802,26212,25221,27729,24042
4 h ,962793,817171,897655,827704,682152,727186,371960,381283,374366,818134,939994,874526,821957,758345,811712,429590,460818,403147,1217239,1190768,1046756,902798,843958,810488,356477,375769,366363,74176,78174,67564,61719,72910,65073,71999,75054,62524,25154,23319,22545,26083,26036,27053,25579,28383,23615
