time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
9 h 20 min,1068812,934700,1015871,940104,739685,834511,422632,429576,425533,908243,1045312,966519,922792,1130677,1004953,503212,530934,472396,1453698,1319421,1237631,935222,965887,945137,404948,424860,429659,94018,98502,85074,80188,89015,82616,86804,89604,78306,33602,32492,31152,31034,30877,31576,29419,31676,29904
9 h 30 min,1070173,934315,1015789,940131,737650,835240,421587,431542,425423,906799,1042286,967454,924112,1132630,1004458,503336,530947,471654,1452103,1317427,1237384,935470,967523,948492,405993,426400,429177,93687,98635,85831,79568,88606,83218,87434,89727,78734,33685,32800,31512,31904,31510,32392,29717,31687,30499
9 h 40 min,1051142,919849,997376,927591,723501,823854,418397,424585,420019,907982,1045559,966836,919629,1151950,975182,494054,523247,463073,1428782,1299221,1227290,943610,961885,948602,405416,425960,430745,93718,97742,86032,78943,90120,82246,87143,89023,79333,34920,31812,31738,32033,31772,32590,30859,32958,30405
9 h 50 min,1048749,916301,998380,925624,721919,821448,420693,424089,418617,911282,1048406,966409,918501,1149433,976062,493435,523412,463843,1431119,1303099,1228212,942909,964800,948643,407217,425341,430181,91853,97509,84759,78451,88904,82681,87263,89009,79417,33318,32363,32186,32988,32435,33862,30842,32977,30715
10 h ,1071590,933779,1019350,938344,735175,830963,422701,433289,428435,909453,1050152,971676,924634,1136975,1009312,503776,534564,474390,1454564,1315598,1242499,940640,969366,948712,407327,428765,431694,97434,102387,90035,83475,94016,87617,89002,91236,83012,36956,34120,34120,33515,33524,33905,30986,33655,32506
10 h 10 min,1072456,938069,1015115,939059,734432,830537,423636,434004,427458,912671,1047966,971195,927316,1139698,1012447,507241,533409,476095,1457026,1320122,1246432,940021,967688,949564,409459,428572,431845,98645,103151,90629,84109,93053,87341,89276,91922,83236,37635,34929,35333,34063,32830,33951,31777,33634,33016
10 h 20 min,1076952,938316,1013258,940791,733552,831843,423594,434540,427747,915710,1048598,970796,928966,1137112,1011526,507282,535499,478777,1454729,1319504,1245387,939031,969338,949551,409074,430002,432423,99577,104550,92142,85646,94572,89239,89960,93202,84489,39067,35677,36569,34545,33780,34458,32045,34457,34063
10 h 30 min,1060520,918323,996015,924579,722277,821214,422247,426386,421339,914720,1051527,966052,917388,1153503,980834,495718,526437,465727,1431106,1304708,1228913,944944,964223,953085,410696,427651,431047,96398,100914,88622,81883,93143,86107,90118,91270,84545,36779,33321,35224,35350,35123,36259,32669,34433,32511
10 h 40 min,1079469,938165,1015610,939664,734872,832462,426716,436080,428256,917044,1053328,969792,931853,1144070,1014083,509290,536544,478694,1454482,1317303,1245565,942703,971043,951833,410531,431047,433468,102013,106479,93989,87858,95823,91479,91251,93390,85921,40538,37147,38433,36045,35571,36285,33421,35035,35106
10 h 50 min,1061524,918240,995355,925404,719595,821599,423044,429260,422976,918460,1053535,964525,922420,1157917,984134,496034,528060,471117,1432439,1303085,1231223,944518,966753,954089,411384,430140,434444,97948,104500,91553,84043,95663,87722,91398,93450,85641,39431,36071,37166,36861,36271,37746,34471,36210,35393
11 h ,1080101,938344,1017659,940214,734240,837564,425877,434994,428297,920880,1056959,965901,930107,1146477,1014262,509386,537273,481678,1458030,1317400,1246033,942235,971758,952947,412608,433248,434059,103319,108291,95030,89744,97589,93544,92626,95539,89021,41190,36642,39990,38140,37028,38060,34380,36062,35875
11 h 10 min,1080225,940998,1016311,937312,735189,836491,424750,438652,431254,921527,1054291,963453,930561,1151551,1013767,510940,537878,481884,1455087,1319834,1244603,938990,968431,952122,413721,432161,436864,102523,107378,94417,90016,98064,94300,93439,96939,89642,41042,36679,39936,39218,37746,38573,34803,35876,37100
11 h 20 min,1081765,940516,1015995,938206,733937,839393,427417,438927,431226,923699,1058251,954625,933490,1149447,1016311,513030,540037,484043,1453423,1316973,1250186,941176,970865,952136,413611,433206,435833,105552,110174,97095,91807,100140,94593,94635,97423,90701,43549,38874,41751,39889,38616,39378,35288,37298,39050
11 h 30 min,1064315,924277,998091,925212,724436,831211,426001,433165,425918,923452,1052627,944490,926188,1163624,986018,502318,532061,471695,1433691,1301201,1236944,947846,967606,958695,414450,433756,436341,103743,108310,96100,90222,101499,93670,93081,97024,91789,44716,37845,41114,39312,38058,39976,37018,38231,39000
11 h 40 min,1064522,924840,1001818,926037,724628,833700,425080,433715,427816,925047,1053163,1010330,923438,1169111,989566,502978,532102,472066,1432082,1300816,1230261,948918,966093,957898,414973,432134,434664,101886,108445,96336,88401,100445,92551,94821,98130,91349,43281,37678,41146,41631,40446,41624,36873,38286,39590
11 h 50 min,1065209,923795,996427,925734,727351,833521,426867,432931,426977,924194,1052490,1134293,924442,1167557,984313,501864,533230,472520,1435671,1299455,1235885,948932,967812,958324,413831,434719,437689,104995,108815,95838,92584,102409,96992,95514,97347,95674,44062,37828,43250,41817,40951,41463,37891,38411,39453
12 h ,1079991,938811,1017562,938853,738640,845924,428050,440769,434678,925693,1052545,1172686,934054,1156116,1016641,514928,543763,485652,1456806,1318184,1242403,942799,971525,956041,417915,435915,438404,108328,113078,100736,94573,103919,97746,97652,101307,94848,47431,40422,44040,43411,42260,42799,38272,39316,42108
12 h 10 min,1081669,941506,1017122,942785,741514,845319,430525,440769,433853,927879,1050853,1215478,931675,1157079,1016999,513841,544574,485240,1458731,1315777,1245304,945824,971181,958145,417970,435998,439312,109647,113589,100308,97112,103822,101464,97541,101144,98810,46775,39681,45797,44325,42779,43504,38281,39092,41578
12 h 20 min,1065319,925734,1002395,932362,728795,838073,427692,434939,427706,927178,1037845,1207929,927714,1172425,989181,505096,535788,476700,1434172,1301614,1234785,952548,970700,958613,417187,435915,439050,108562,111916,100235,93202,106217,97286,98020,101997,95991,47916,40324,44638,44762,43695,45581,39633,40382,43087
12 h 30 min,1080253,943679,1022375,950156,740840,849871,431666,443891,436864,928498,1030585,1211656,935346,1156089,1022994,520249,547586,489997,1459886,1315571,1248714,948959,975127,958173,418163,440398,441003,112805,116961,104481,99969,107843,102264,99439,105418,100722,51766,42660,47698,45885,43422,45405,40737,41076,45319
12 h 40 min,1076100,941506,1023090,952012,739218,850311,434568,444303,437194,932568,1028329,1205647,938289,1156859,1021041,521624,547723,492527,1459487,1315681,1249938,948574,976846,960483,421009,441306,442021,112567,116924,105030,99781,108444,102797,101399,105383,99864,51932,42701,48741,47735,45209,46291,41046,41390,46102
12 h 50 min,1077186,945480,1028481,956041,742119,850778,432931,446572,437689,933242,1240739,1197314,937986,1160503,1024080,518723,546445,491427,1461660,1312037,1249058,951421,972308,960620,420748,440549,442158,114520,117849,105131,101606,109770,104488,100962,102677,102620,51755,42197,49646,48633,46668,46918,41101,41164,47024
13 h ,1064549,943528,1025785,958241,742339,851067,434279,446352,438390,936157,1301380,1187715,939169,1161438,1022650,519740,547146,492335,1461990,1314966,1246280,949730,975609,959988,421518,442131,443712,115223,118892,106619,102124,109417,105186,101944,103341,104125,52813,43541,50505,49094,47558,48286,41981,42544,47768
13 h 10 min,1068922,941451,1023654,959781,738255,852277,433605,446201,438927,934617,1306275,1177897,937230,1161328,1023118,520029,548672,493518,1463888,1314127,1252592,951228,976145,963027,422852,441979,443918,114587,118490,105885,102177,110438,106239,103899,107114,104177,51480,42283,50402,51034,48548,49630,42196,42358,46538
13 h 20 min,1048887,931221,1008927,946484,728698,842335,434100,444124,434251,934865,1317276,1161328,932348,1182408,996716,513346,541315,483383,1437678,1300500,1236586,958241,970590,965557,420184,443781,445431,113925,117934,105706,101090,113030,104596,105256,108483,104541,54344,43794,50998,53058,49854,51440,44933,43487,49130
13 h 30 min,1183728,931771,1007566,949867,726608,840245,433344,445197,434444,934480,1304281,1150684,930300,1179066,994489,512274,542168,484112,1437321,1298534,1237686,958846,973766,965639,423842,446531,445018,114907,118030,106023,101620,112749,105150,105116,107820,105019,53997,43873,50631,53234,49854,51292,45970,44593,48952
13 h 40 min,1165577,943720,1019611,961280,736220,848427,437084,448566,442131,937629,1289018,1150354,938385,1167103,1024232,523948,551546,495264,1464809,1315928,1248467,953153,977781,961968,425231,444207,445953,116741,119706,108716,103307,113177,107697,107950,111075,106254,54209,45240,51889,54087,51904,53046,45152,44305,49782
13 h 50 min,1154507,943225,1019694,961789,734515,844728,437153,449694,442529,936474,1283490,1140481,937973,1168891,1024562,522793,551560,493586,1460876,1314388,1246542,954639,974770,964154,424337,444124,446380,116058,120549,108831,103541,112298,106932,109123,111633,107275,54103,44526,51508,55517,53016,54056,45463,44439,48626
14 h ,1144675,946017,1018993,964127,729991,841593,439325,452031,441883,939801,1267677,1135476,937161,1167515,1023764,525461,552577,498550,1462457,1316781,1253307,955147,977809,965199,426936,447466,447493,119601,123311,110729,106875,116819,110097,109444,113758,107415,57166,46769,54745,55756,54045,54543,47407,44984,52070
14 h 10 min,1140894,945439,1020161,964622,728850,832682,438610,451880,444496,939458,1255232,1124640,936446,1170967,1025538,524526,552880,497409,1459927,1314100,1252647,957636,976007,966203,427293,448745,446338,122155,124933,113036,107812,118129,112316,111752,115318,110113,60384,47649,55373,59444,55482,56082,48775,45752,53960
14 h 20 min,1138501,947543,1017975,966368,719719,825532,438047,452567,444578,940778,1240766,1129274,936721,1171118,1023682,524168,553086,498647,1463186,1311982,1249237,957691,977822,965158,427802,449322,449254,122462,124312,112776,108972,117417,111940,110210,111769,110623,59403,47870,56569,57467,54914,55569,48578,46320,54223
14 h 30 min,1139381,948272,1018126,963700,718605,718220,441718,454259,446930,942235,1230563,1126882,935717,1171764,1025923,524443,549772,497588,1464053,1309232,1251533,961390,976530,963865,429205,449020,448538,123047,125116,112400,109380,117831,113309,109864,111463,111983,59235,48183,56517,58077,55892,55796,50323,46237,55272
14 h 40 min,1134568,950871,1013547,966341,705061,671949,440783,454671,448098,941603,1213443,1135779,937189,1170994,1027408,525640,550776,499912,1461289,1311624,1250213,962009,978043,964003,429246,448841,448250,123593,125619,113925,110106,119252,113969,111214,111778,112480,60023,48777,57040,60318,57019,56916,49954,47120,55180
14 h 50 min,1203116,949152,1021866,961830,606137,523591,441168,451742,446283,939568,1268488,1208452,924442,1153311,1020423,523247,552206,496625,1449697,1306784,1243118,955244,972267,960606,426743,448621,445857,123337,125391,113592,107383,121135,109771,116244,118649,107089,60993,49441,56348,62045,60511,61509,52902,48599,55662
15 h ,1117545,951875,999150,961761,531360,507007,439710,456335,452911,941685,1196695,1154205,930616,1178489,1029278,526451,554516,500847,1466885,1311913,1252317,962697,977809,964113,432546,452004,450601,125802,127287,116035,111843,121550,116101,113996,115076,113364,62147,49971,58494,61695,58853,58868,51723,48562,57244
15 h 10 min,1106200,956344,984877,960304,489420,527688,442653,457972,454025,944215,1181954,1166883,930781,1176976,1028742,527936,554393,500874,1465441,1311418,1247848,965914,981274,964429,432106,451935,451811,126451,127639,116645,113076,122294,116246,113228,114783,114276,62246,51066,59211,61298,58744,59011,53094,49201,57196
15 h 20 min,1099243,952892,948877,958613,497010,549951,442708,458288,454479,946429,1185254,1176797,929585,1176825,1028219,528073,555905,503831,1466885,1311198,1249759,966409,981425,968307,432711,455029,451756,127526,128349,117747,112357,124006,117527,116300,116981,115129,63771,51658,60146,64290,61019,61376,54619,50142,59028
15 h 30 min,1091295,956069,1067011,951710,501576,551299,444413,459512,454438,947034,1188252,1196626,929585,1182036,1026514,530026,556538,503624,1463393,1313109,1251437,965997,981769,968293,435530,455318,455235,127994,128621,118243,114550,124338,118813,117928,118920,115109,63005,53926,61064,64852,62128,62343,54823,51891,58866
15 h 40 min,1080321,952920,1145377,942675,519960,553678,444867,458522,454273,946842,1193683,1207558,928883,1181156,1021179,532377,557363,503982,1462677,1317441,1249553,968871,982484,972432,434183,455318,454176,127664,128435,118426,112688,124915,117360,120998,123456,114758,63994,54976,60488,65341,64975,65122,56386,53725,58418
15 h 50 min,1076939,955656,1170774,881223,533436,552784,447246,457958,454960,945659,1200820,1220319,926999,1178461,1026143,528486,556826,502676,1462870,1310689,1255150,969778,981136,967551,434856,455029,455208,128323,129275,118762,116035,125547,121059,117721,119039,115534,63991,55749,61432,65178,62253,62727,55810,55593,58550
16 h ,1071315,955780,1154232,733154,530700,545207,447040,460089,451935,946319,1208809,1231044,928883,1182903,1028591,533257,557913,504862,1457768,1316093,1259289,969269,983997,971648,436369,456280,454864,130412,131618,120905,116602,128195,120567,122238,124048,116314,66393,56264,62747,67575,64984,64420,57083,57088,60357
16 h 10 min,1068936,953786,1140399,618705,547586,538290,449034,462001,454011,947777,1224073,1242774,928993,1182806,1030172,532845,557541,506196,1461990,1312367,1253087,971511,981233,972611,436988,458219,456927,131255,131295,120369,117913,128163,122039,121244,122280,116749,66354,56734,63418,68060,64928,64922,57859,59193,60271
16 h 20 min,1070654,956179,1132217,550474,552509,531690,448635,463664,454781,948382,1244616,1257790,929351,1181899,1027133,534220,559838,507035,1461632,1315048,1257336,970686,981398,972460,435791,457875,458838,131318,132272,122030,118681,128751,122986,122206,123727,117593,67381,56855,63644,68527,65628,66275,58521,60546,60636
16 h 30 min,1066103,951668,1127954,503226,549250,532130,449336,462867,454685,948519,1236614,1258587,927701,1186285,1026280,532322,559205,505453,1461990,1311088,1253857,972570,980916,972047,435461,457848,458453,132468,132132,121515,119153,129003,123463,121967,123257,118517,66880,56512,64028,68877,65762,65815,58890,61951,60659
