time,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,Negative,Negative,Negative
1 h 14 min,26807,28149,30066,28322,27585,27081,25496,24567,27687,23885,23277,25362,23275,23531,24046,24191,22864,25744,15552,16394,16232
1 h 16 min,27887,28715,30865,28575,28507,27419,25772,25252,28248,24412,23621,25625,23543,23654,24204,24301,23456,26343,15678,16810,16445
1 h 18 min,28042,29704,31736,29364,28946,28094,26153,25240,28575,25022,23669,26016,23911,23717,24792,24748,23457,26610,15641,16544,16476
1 h 20 min,28945,30122,32267,29755,29623,28722,26590,25760,29008,25097,24132,26235,24438,24183,24791,25104,23760,26846,15551,16532,16274
1 h 22 min,29292,30570,32522,30493,30147,29241,26652,26391,29671,25153,24396,26573,24692,24761,24900,25087,24432,26907,15669,16730,16237
1 h 24 min,30226,31343,33627,30876,30587,29578,26994,26440,30026,25753,24710,26938,24648,24834,25994,25822,24216,27467,15635,16728,16694
1 h 26 min,30926,32270,34030,31387,30829,30545,27564,26893,30131,26071,25130,27694,25597,25421,25809,26090,24758,27920,15774,16511,16301
1 h 28 min,31646,33052,35400,32253,31841,31128,27756,26999,31121,26603,25378,27798,25843,25371,26392,26420,25105,28204,15690,16719,16323
1 h 30 min,32458,33471,36038,33228,32035,31840,28290,27614,31146,26933,25750,28058,25952,26032,26953,26512,25357,28175,15681,16629,16558
1 h 32 min,32718,34290,36729,33345,32451,32109,28848,28037,31935,27419,26021,28638,26135,26216,26902,27173,25740,28865,15612,16792,16570
1 h 34 min,33819,35453,37893,34658,33155,33356,29474,29184,31951,27567,26618,28826,26907,26419,27025,27432,26274,29164,15794,16703,16364
1 h 36 min,34615,35553,38663,35150,33774,33917,29444,28966,32730,27626,26742,29093,26773,26817,27244,27685,26408,29553,15739,16747,16763
1 h 38 min,35222,36783,39895,35616,34587,34468,29773,29589,33663,28291,26703,29721,27209,27316,27328,28006,26628,29668,15924,17034,16720
1 h 40 min,36223,37592,40785,36541,35162,35072,30532,29995,33830,28700,27992,29964,27525,27533,27823,28563,26826,29847,15939,16712,16654
1 h 42 min,36814,38145,41775,37405,35511,35785,30598,30261,34052,28958,27886,30246,27952,27694,28299,28471,27337,30552,15942,16831,16624
1 h 44 min,37285,38575,42271,37656,36244,36614,31219,30430,34656,29677,28194,30875,28193,27935,28876,28731,27468,30857,15818,17049,16987
1 h 46 min,37982,39785,43659,38153,37021,37084,31662,31304,35264,30059,28574,31341,28633,28431,29010,29378,27795,30865,16044,16869,16820
1 h 48 min,39141,40482,44150,38819,37527,38084,32246,31594,35617,30496,28797,31841,28936,28632,29396,29564,28028,31592,15906,16978,16659
1 h 50 min,39881,41400,44778,39898,38501,38757,32772,32012,36399,30623,29402,31966,29376,28690,29408,29889,28294,31933,16160,16920,16905
1 h 52 min,40581,41778,45710,40627,39123,39341,33221,32670,36813,30969,29829,32860,29672,28889,30306,29964,28487,32250,16025,16879,16788
1 h 54 min,41187,43176,47116,41326,39581,40180,33589,33095,37929,31453,29887,32462,30012,29186,30416,30522,29002,32766,15907,16852,16838
1 h 56 min,41619,43793,47912,41928,40280,40666,33656,33697,38204,31553,30205,33123,30393,29565,30560,30750,28917,32929,16031,16960,16938
1 h 58 min,42664,44853,48643,42842,40904,41402,34732,33941,38846,32296,30777,33655,30909,29689,30759,31070,29474,33700,16035,17078,16832
2 h ,43567,46174,49720,43500,41397,42451,35074,34106,39167,32348,30825,34096,31541,30602,31367,31355,30108,33871,16182,17070,16900
2 h 2 min,44394,46816,51063,44153,42363,43286,35250,35110,39344,32968,31574,34374,31463,30455,31666,31987,30063,34176,16036,17332,17125
2 h 4 min,44752,47838,52043,44755,42801,43936,36173,35581,40290,33384,31798,34929,31442,31200,31731,32482,30422,34481,16201,17156,17081
2 h 6 min,45739,48977,52271,45694,43818,44961,36325,36173,40946,33649,32226,35346,32312,31215,32180,32468,30403,34871,16296,17171,16910
2 h 8 min,46643,49682,54381,47145,45256,46005,36844,36121,41601,34165,32572,36187,32546,31714,32680,32769,31202,34964,16122,17258,16867
2 h 10 min,47343,50726,55780,47436,45418,46584,37740,37048,41939,34831,32931,36516,32698,31764,32648,33272,31067,35382,16241,17331,17148
2 h 12 min,48152,51892,57175,48535,46073,47308,38011,37335,42379,34443,33394,36686,33350,32294,33508,33283,31447,35560,16189,17306,17130
2 h 14 min,49336,52596,57269,49559,46891,48283,38200,38234,43095,35866,33693,37287,33448,32655,33144,33700,31730,35985,16277,17079,17255
2 h 16 min,49829,53622,58289,50034,47905,49253,39358,38555,43687,35690,34258,37615,33864,32629,33664,33908,32005,36884,16426,17166,17101
2 h 18 min,50700,54270,59289,51341,48748,50478,39366,39288,44061,36381,34630,38030,34175,33363,33941,34389,32330,37165,16466,17468,16953
2 h 20 min,51317,55079,60919,52135,49370,51370,40040,39344,45068,36560,34606,38025,34413,33170,34194,34812,32433,37180,16042,17388,17063
2 h 22 min,52143,56535,62463,53186,50762,51837,41152,40202,45676,36978,35124,38451,34861,33325,34531,35063,32781,37842,16463,17313,17116
2 h 24 min,53651,57681,63741,53770,51116,52564,41225,40751,46837,37727,35612,39265,34868,33654,34893,35387,32966,37820,16523,17529,16868
2 h 26 min,53667,58656,63739,54230,52000,53777,41959,41707,46895,37456,36506,39666,35688,34299,35283,35379,33431,38355,16743,17496,17009
2 h 28 min,54444,59630,65123,55482,52395,54723,42196,41818,47483,38032,36524,40033,35571,34333,35457,36147,33318,38811,16370,17410,17040
2 h 30 min,55397,60382,66406,56518,53469,56058,42997,42634,48211,38422,36802,40675,36084,35168,35888,36063,33860,39213,16396,17466,16821
2 h 32 min,56236,61605,67939,57334,54412,57107,44144,42690,49203,39093,37673,40868,36447,35345,36365,36677,34211,39649,16303,17624,17117
2 h 34 min,57167,62444,68960,58566,55396,58616,44203,43539,49868,39557,38049,41617,37127,35466,36463,37085,34841,40242,16627,17391,16964
2 h 36 min,57592,63629,70436,59189,56335,58793,44898,44428,49838,39896,38111,42149,37165,36100,37315,37720,35154,40701,16547,17583,17085
2 h 38 min,58583,64871,71360,60667,57585,60509,45630,45324,50888,40369,38646,42420,38200,36056,37614,37846,35415,40850,16602,17457,17023
2 h 40 min,59569,65836,71835,61063,58257,61309,46066,45544,51543,40983,39357,42857,38085,36360,37333,38305,35584,40799,16602,17419,17031
2 h 42 min,60345,67113,73200,61860,58865,62053,47004,46046,52518,41000,39644,42985,38311,37251,38039,38677,36288,41597,16602,17719,17087
2 h 44 min,60733,67604,74084,62641,59431,62756,47105,46452,53072,42108,40012,43708,38452,37213,38289,38918,36338,41877,16530,17574,17014
2 h 46 min,61502,68835,74441,64128,60854,63293,48479,47102,53347,42270,40801,44567,39515,37431,38904,39378,36794,42581,16724,17469,17072
2 h 48 min,62406,69976,76423,64652,62203,64219,49351,48171,54496,42342,40974,45168,39739,38151,38916,39551,37450,42924,16685,17589,17063
2 h 50 min,63378,71580,77597,65874,63014,65417,49494,48360,55045,43245,41592,45981,40306,37950,39472,39788,37337,43136,16873,17765,17133
2 h 52 min,64530,72343,78193,66953,63989,66688,50082,48942,56215,43780,42007,45712,40056,38493,39460,40480,38009,43660,16456,17624,17025
2 h 54 min,65196,73428,79213,68027,64844,67894,50573,49942,56475,44422,42095,46659,40612,38725,40007,40617,38382,43615,16652,17599,17159
2 h 56 min,66145,74135,81469,69073,65691,69178,51048,50543,57310,44577,42624,47064,40700,39464,40527,40868,38681,44292,16878,17839,17122
2 h 58 min,66708,75215,81983,70058,66855,69487,52210,51184,58580,45431,43106,47665,41570,39828,40771,41054,38773,44799,16724,17734,17210
3 h ,67645,76344,83137,71267,67796,70646,53219,51957,58875,45295,44201,48481,41600,40003,41221,41798,39255,45578,16872,17803,17194
3 h 2 min,68259,77403,83893,71734,68676,71670,53434,52632,59737,46117,44379,48924,41883,40379,41836,42369,39878,45342,16999,17931,17121
3 h 4 min,69756,78308,85020,73227,70111,72703,54017,53424,60541,46903,44994,49364,42641,40830,41862,42429,40006,46100,17173,17692,17159
3 h 6 min,69703,79769,87117,74544,70756,74377,54803,53687,60978,46993,45023,49633,43194,41181,42912,43326,39797,46604,16726,17828,17250
3 h 8 min,70728,81122,87514,75116,71691,75004,55589,54728,61996,47877,46262,50216,43490,41238,42977,43352,40363,47246,16739,17966,17285
3 h 10 min,71714,82143,88927,76195,72426,76061,56100,55506,62753,47471,46159,51045,44246,41912,42987,43767,40849,47633,17109,18017,17252
3 h 12 min,72897,83262,90077,77315,73959,76915,57012,55793,63817,48638,46769,51181,44320,42155,43543,44076,41394,48341,16917,18003,17527
3 h 14 min,73517,84461,90949,78591,75356,78595,58024,56904,64547,49197,47586,51793,44873,42292,43645,44707,41202,48585,17102,18054,17103
3 h 16 min,74602,84798,92198,79954,75614,79195,58267,58134,64695,49535,47938,52428,45020,42956,44352,44775,41520,48944,17172,18219,17293
3 h 18 min,75800,85592,93802,80898,77302,80748,59285,58053,65450,49930,48297,52733,45562,43200,44806,45354,41791,49858,17216,18031,17545
3 h 20 min,75799,87044,94983,81412,78453,81261,60096,58499,67043,51050,48485,53356,46172,43743,44898,45316,41709,50297,17228,17988,17435
3 h 22 min,76762,88101,95318,83124,79771,82382,60344,60337,67900,51293,49512,54358,46314,43951,45166,46310,42218,50030,17273,18109,17423
