time,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,Negative,Negative,Negative
5 h 32 min,125017,153764,169650,158153,157224,144411,115084,111456,125747,88045,86547,93839,71857,68664,70823,68217,46715,58828,19056,20204,18557
5 h 34 min,125823,156103,171695,158894,158585,145248,116641,112221,126002,88857,87504,93920,72722,68273,70692,69106,47105,58702,19104,20220,18822
5 h 36 min,127332,156598,172847,160071,159388,146040,116978,114165,126508,89156,87946,95016,72536,68862,71684,69000,46732,58841,19396,20344,18965
5 h 38 min,127161,157871,173064,160645,160237,146546,118018,114024,129078,89815,88025,95839,73472,69285,71520,68809,47016,58495,19205,20227,19035
5 h 40 min,128034,158139,175239,161784,161442,148133,118810,115238,129861,89607,89180,96048,73897,69482,71710,69126,46753,58930,19198,20166,18700
5 h 42 min,128957,158403,175757,162252,162634,149444,119887,116879,130515,90747,90016,97040,74035,70184,72649,69030,47123,59076,19143,20238,18975
5 h 44 min,129294,160070,176327,163648,163866,149486,120896,117054,132136,90766,90096,98192,74679,69935,72708,69466,47126,58816,19309,20244,18565
5 h 46 min,129317,161087,177418,164394,164684,150584,121990,118974,132333,91915,91005,98320,75157,70895,73077,69436,47201,58592,19593,20415,18845
5 h 48 min,129563,162511,177773,165034,164740,150892,122606,119524,134132,93099,90926,99489,75077,70399,73091,69787,47164,59311,19225,20261,18698
5 h 50 min,130393,163393,179516,166390,166216,152712,124202,120225,134668,93244,92205,100372,75798,70722,73374,69440,46729,58842,19442,20274,18547
5 h 52 min,130807,163433,179931,166818,167999,153220,125377,121066,134937,94016,93393,100457,75814,71112,73519,70131,46862,58916,19603,20397,19014
5 h 54 min,131256,163756,181481,168021,168590,153364,125346,121897,136567,94532,93206,100463,76315,71030,74024,70227,46663,58657,19412,20064,18961
5 h 56 min,131529,164924,181806,168920,168953,155071,127005,122657,137210,94437,94286,101892,76964,71483,73857,70279,47041,58982,19269,20201,19173
5 h 58 min,131719,166074,182482,169885,169613,155565,127695,123559,138846,95165,95359,102898,77290,71692,74358,70675,46776,58746,19350,20323,18902
6 h ,132367,166044,183829,170232,171016,156450,128817,124515,140092,96990,95608,103267,77156,72083,74450,70414,46661,58777,19427,20283,18875
6 h 2 min,132499,167526,184761,171403,172491,156441,130181,126030,140461,97171,96786,104578,78191,71686,74808,70907,47146,58661,19395,20355,18891
6 h 4 min,132993,168418,184912,171870,172461,156938,130573,126535,141646,97835,97258,105037,78652,72950,74568,70903,46839,59205,19392,20065,19027
6 h 6 min,133254,169336,186025,171631,174241,158680,131759,127674,143450,97749,97571,105341,78624,72934,75476,70995,47488,58883,19512,20200,18809
6 h 8 min,134482,170423,187781,173714,174695,159869,133000,128687,143775,98832,98131,106066,79850,72773,75524,71062,47123,59195,19332,20243,18882
6 h 10 min,134332,170760,188418,173778,175332,160313,133212,128991,144503,98502,99468,106662,78932,73198,75866,71116,47193,58588,19403,20512,18789
6 h 12 min,134760,170969,188998,174067,176777,160786,134846,130041,145562,99603,99759,107431,79698,72935,75429,71356,47257,58806,19278,20397,18841
6 h 14 min,134950,172235,189992,175046,176971,162699,135112,130318,146991,100225,100179,108060,79798,73431,76199,71425,47196,59229,19483,20403,18816
6 h 16 min,135675,172643,190669,175779,178327,162820,136634,132464,148368,101383,101046,109298,80342,73840,76214,71510,47314,59133,19581,20563,19038
6 h 18 min,136547,173389,191896,176382,178628,164221,136916,133116,148507,102645,101921,109609,81171,73552,76184,71528,47571,58986,19734,20437,19044
6 h 20 min,136002,174950,191659,177051,180076,164647,137869,133339,149695,102526,101979,109848,80977,73819,76339,71726,47384,59377,19679,20365,18850
6 h 22 min,136658,175445,192951,176908,180781,165011,139077,134754,150289,103121,103173,111406,80865,74088,76806,71872,47392,59032,19661,20406,19062
6 h 24 min,136712,175822,194211,178843,181373,166158,140017,135948,152143,104066,103732,112569,81475,74160,77044,71944,47405,59141,19483,20584,18945
6 h 26 min,137162,176277,193812,178981,182896,167156,140888,137104,153494,104769,104273,112753,82631,74595,77495,71871,47525,59674,19714,20239,19035
6 h 28 min,137378,177726,195014,178952,183489,167641,141992,138104,154022,104717,105029,112838,81774,74307,76719,72025,47528,59247,19775,20408,18783
6 h 30 min,138060,178587,196080,179522,183414,168359,142992,138700,154540,105891,105506,114229,82465,74741,77477,72081,47618,59543,19634,20109,18892
6 h 32 min,137270,178836,197534,180154,184428,168981,142829,139171,156983,106402,106262,114996,83237,74915,77450,71858,47580,59137,19487,20617,18963
6 h 34 min,138021,178611,198143,181038,185765,169727,144986,140715,157598,106552,106315,115361,83476,75281,78037,72612,47937,59511,19563,20416,19136
6 h 36 min,138078,179940,198864,180390,186695,170802,144984,140705,158540,107458,107270,115910,83454,74935,78373,72507,47693,59081,19663,20277,18944
6 h 38 min,138501,180797,199387,182105,187096,171729,146355,142826,159790,108592,108087,116390,83706,75577,78427,72480,47754,59151,19557,20590,18920
6 h 40 min,138265,181841,200585,182302,188338,171940,147638,142585,160921,108610,109484,117076,84023,75191,77975,73086,47764,59172,19691,20395,19060
6 h 42 min,138408,182016,200670,181427,188453,172184,148168,143714,161942,109577,109560,118111,84359,75251,78233,72446,47599,59440,19363,20286,18703
6 h 44 min,138741,182498,201941,181887,189090,173747,148688,145642,162734,109685,110300,119000,84661,75903,78517,72729,47757,59253,19486,20354,18903
6 h 46 min,139400,184418,202115,181728,190408,174568,149813,145996,163201,110558,111236,119820,84114,76036,78584,72719,47965,59463,19721,20324,18872
6 h 48 min,139224,184472,203383,182610,190031,174959,150454,146717,165383,111547,111345,119785,85121,75710,78999,72801,47885,59243,19694,20337,18802
6 h 50 min,139928,185344,203312,183264,190932,175530,151198,148081,165315,112309,112290,121340,85596,76106,78898,72518,48347,59188,19665,20440,18980
6 h 52 min,139907,185541,204732,183499,191302,176009,152763,147759,166271,112620,113238,121580,85731,75974,79443,73201,47940,59680,19833,20266,18914
6 h 54 min,139973,185917,204800,183244,191780,176577,153208,149539,167915,113771,113965,121414,85585,75753,78885,73180,48002,59415,19576,20192,18884
6 h 56 min,140062,186122,206029,184086,192895,177397,154128,149741,168507,113881,113874,122659,85867,76386,79116,73502,47944,59411,19460,20215,18849
6 h 58 min,141187,187548,207048,183702,192886,177903,154996,151570,169433,114146,115078,123636,86372,76796,79861,73133,47685,59491,19802,20051,18703
7 h ,140878,186992,206307,184622,193982,179121,155647,151971,171126,115184,114777,123749,86409,76824,80080,73493,48335,59366,19477,20128,19010
7 h 2 min,140693,188944,207333,184482,193746,179688,156339,153041,171302,115500,116814,125251,86860,76984,79568,73617,47758,59659,19551,20312,18970
7 h 4 min,141274,189233,208330,185079,194180,179848,156885,153520,172708,116816,116428,125766,86830,77130,79219,73393,47832,59879,19871,20180,18853
7 h 6 min,140943,189031,209480,184874,195257,180430,158482,154692,172870,116987,117560,126143,87388,76984,79896,74123,48082,59615,19733,19942,18923
7 h 8 min,140416,189368,210017,186067,195987,180566,159005,155058,174840,117073,117838,127286,87495,77294,79410,74074,48715,60016,19684,20312,18853
7 h 10 min,140785,190140,209710,185782,196042,182276,159718,156429,175222,117466,118777,127972,87272,77404,79981,73883,48041,60149,19863,20287,18850
7 h 12 min,140875,190532,210882,184668,195847,181796,160077,156898,175783,118292,119447,128711,87424,77307,80321,73523,48441,59861,19468,19976,18956
7 h 14 min,141220,191645,211899,185937,197791,182525,161260,157353,176774,118436,120620,129780,87909,77415,80686,74077,48265,60217,19847,20172,18701
7 h 16 min,141653,192424,211151,185522,197252,183568,162701,158056,178085,119691,121125,129576,88527,77201,81035,74193,48611,59968,19777,19825,18861
7 h 18 min,141634,193211,212326,186010,198322,184293,162504,159186,179241,120569,120521,130427,88416,77446,80510,73809,48029,59832,19705,19969,18692
7 h 20 min,141188,193447,214568,186358,197659,184916,163941,160176,180337,121195,121801,130878,88863,77987,80819,74100,48409,60006,19793,20082,18809
7 h 22 min,140971,194328,216122,185853,197212,185269,163795,160561,180989,121151,122333,132128,88456,77646,80585,73862,48339,59782,19546,19989,18734
7 h 24 min,141484,193891,216245,186692,198320,185541,164730,161825,182731,121919,122990,133061,89251,78204,81387,73958,48225,59988,19738,19933,18626
7 h 26 min,141560,194205,216974,186248,198904,186357,165855,162572,183410,123033,123741,133179,89306,78332,81563,73992,48530,59897,19546,20024,18749
7 h 28 min,141869,194930,216135,186485,198544,186380,166420,162541,184202,123412,124278,133633,89215,78340,80998,74696,48668,60001,19563,19846,18459
7 h 30 min,141810,195303,214520,186810,199581,187650,167760,163603,184955,123404,124495,134934,89477,78410,81399,74446,48390,59694,19799,19938,18538
7 h 32 min,141847,195368,217840,185974,199265,188523,168031,164460,186555,123558,125063,135513,89348,78524,81247,74294,48542,60262,19674,19675,18564
7 h 34 min,142254,196007,219216,186847,199459,188699,169605,164822,186165,124892,124985,135716,89614,78417,80968,74597,48555,59758,19705,19812,18644
7 h 36 min,142280,196497,218569,186849,199337,188833,169537,165581,187520,125743,126414,136546,90208,79272,81227,74692,48252,60108,19586,19896,18505
7 h 38 min,142706,196897,219188,186586,200055,189595,170054,166501,188008,125613,126840,137161,90578,78530,82743,74435,49036,59932,19846,20035,18611
7 h 40 min,142627,196946,219766,187377,200272,189613,171578,167164,189549,126499,128148,138419,90580,78424,81735,74747,48882,60139,19659,19588,18325
7 h 42 min,142832,197616,219051,187933,200454,191302,172634,168473,190455,126959,127787,137869,91342,78983,82665,74482,48923,60178,19673,19478,18671
7 h 44 min,142350,197601,220632,186792,200245,191983,171262,168636,190606,127437,128620,138442,90984,78711,82109,74414,48468,59690,19646,19601,18262
7 h 46 min,141951,197442,220371,186327,200361,191834,173231,169720,190979,127612,129022,139060,90847,79386,82110,74565,48463,60426,19637,19628,18234
7 h 48 min,141919,198376,221581,186631,200625,191327,174176,170485,191943,128409,129805,140667,91265,78886,82130,74369,48544,60625,19856,19578,18118
7 h 50 min,143230,198468,221663,186770,200671,192983,173989,171373,192708,128469,130298,140387,91644,79062,82538,74955,48572,59941,19561,19611,18360
7 h 52 min,142979,198757,222530,186795,200966,193362,175113,172239,193878,129493,131894,141549,91484,79942,82462,74834,48536,60577,19820,19627,18141
7 h 54 min,142449,198932,221897,188094,201514,193747,176298,172454,194384,129448,132010,141645,91290,79334,83073,74893,48692,60356,19532,19464,18111
7 h 56 min,142925,199728,221814,187465,200661,193876,175608,174051,195364,131088,132880,142647,91014,79632,82449,74729,48539,60664,19642,19585,18192
7 h 58 min,142974,198695,222103,188441,200820,194320,177238,174259,197138,130854,133333,143373,91281,79885,82995,74719,48306,60399,19493,19232,17990
8 h ,143427,199600,222268,187261,201302,195880,177271,175605,197689,131900,133312,144824,92117,80159,82567,75531,48717,60728,19598,19243,17993
8 h 2 min,143189,199708,222571,187006,201181,194268,178150,176033,198695,131309,134549,144700,92277,80093,82983,75036,49323,60501,19279,19389,18085
8 h 4 min,142859,199139,222598,187338,201165,195979,178809,176380,198854,132006,134578,145248,92095,80342,82339,74834,48942,60304,19363,19430,17897
8 h 6 min,143642,200018,222131,187657,201343,196664,179481,176604,199492,132747,134974,145586,92477,80053,82653,74866,48769,59907,19648,19523,17832
8 h 8 min,142358,199532,222103,188138,200729,197293,180091,178000,200093,132906,136208,147049,92077,80304,83150,74978,49119,60089,19512,19197,17898
8 h 10 min,143717,200031,222791,187518,201888,197546,181042,179504,200896,134252,136896,146794,93090,80068,83229,75472,48780,60659,19535,19327,17971
8 h 12 min,143664,199929,222722,188927,201813,197889,180998,178930,202185,134646,137017,147887,92968,80460,82989,75076,48829,59664,19343,19120,17708
8 h 14 min,143474,199561,224647,187475,201115,197994,182328,179215,203176,135374,137666,148563,92362,80352,82994,74750,49173,60748,19400,19238,17864
8 h 16 min,143035,199759,222860,187233,201312,198247,182609,180930,204028,135806,138251,148207,93279,80607,83258,75242,49279,60238,19285,19232,17623
8 h 18 min,144372,200378,223698,188193,200870,199719,182546,181879,204746,136703,139108,149962,92947,80320,83553,74684,49392,60930,19117,19276,17626
8 h 20 min,144037,200833,224455,188815,202227,200117,184261,181733,204966,136961,140216,150857,93785,80602,83480,75313,49330,60499,19278,19031,17734
8 h 22 min,144372,199936,224798,188692,202044,199563,183712,182602,205739,137391,140432,151330,93619,80427,83876,74444,48936,60681,19077,18995,17595
8 h 24 min,144161,200447,224455,188097,202086,200567,184998,183252,206064,136915,140989,151990,93608,80886,83368,75002,49189,60793,19163,19070,17546
8 h 26 min,144088,201108,223987,188861,201945,201182,185117,184506,207098,138339,141961,152116,93949,80887,83743,74535,49473,60896,19178,18979,17444
8 h 28 min,143272,200976,224702,188478,202315,202175,184343,184122,209659,138701,142179,153245,94039,81026,83808,74975,49111,60484,19109,19110,17521
8 h 30 min,144023,200777,223795,189838,202299,202453,185983,185670,208992,139318,142403,154045,94144,80396,83908,74664,49104,60581,19080,19253,17524
8 h 32 min,144634,201503,224262,188741,202510,202668,186983,186681,209983,140336,143446,153485,94134,80877,84069,74600,49455,61092,19024,18832,17269
8 h 34 min,144741,201328,224620,188971,201483,202433,186473,186685,210621,139758,144067,154957,94188,80667,83959,75020,49421,61045,19057,19004,17428
8 h 36 min,144339,200843,224716,189111,202768,203453,186913,187219,211101,140598,144414,155442,94068,81269,84270,74880,49173,60624,18874,19006,17139
8 h 38 min,144672,201498,223960,188409,202564,203551,187738,188916,213853,140901,144952,156088,94123,81226,84091,74997,49489,61086,18910,19044,17114
8 h 40 min,143838,201303,224743,189605,201950,204241,188088,189246,214870,141691,145785,157097,94506,81241,84125,74751,48881,61436,18829,18978,17095
8 h 42 min,145015,201705,224592,189486,201764,204328,188299,189514,212746,142463,146521,157224,94697,81367,83921,74648,49427,60839,18679,18612,17242
8 h 44 min,144717,201734,224565,188996,202118,205120,188132,189429,213642,142728,146542,158003,95129,81507,84384,74547,49336,60879,18590,19071,16959
8 h 46 min,144821,201653,224193,189266,201538,205593,188526,190524,214691,143079,147565,157864,94416,81680,83963,74761,49741,60934,18962,19128,16861
8 h 48 min,145316,200918,224427,189324,202197,205851,188360,190924,216713,143824,148254,158807,95014,81076,84402,74287,49262,61091,18795,18798,17146
8 h 50 min,144885,201143,225321,189516,201625,205788,189249,192303,218005,143796,148906,159220,95278,81510,83915,74322,49196,60874,18852,19035,16897
8 h 52 min,144900,202134,225252,189095,202334,207711,190320,191807,218129,145689,149340,159737,94422,81709,83995,74380,49426,60824,18593,18659,16999
8 h 54 min,145057,200952,225293,188885,201851,207431,189494,193292,220151,145167,149158,161017,95377,81481,83971,74226,49556,60976,18583,18942,16961
8 h 56 min,144944,201704,224785,189941,202926,207072,190152,193567,219587,146079,150440,161145,95104,81428,84326,74529,49721,60798,18791,18929,16966
8 h 58 min,145163,201982,223918,189609,202045,208678,189465,194696,221828,145720,150836,161968,94925,81401,83924,74389,49676,61060,18606,18858,16659
9 h ,144847,201823,224152,188890,202384,208941,191202,194568,221911,146565,152196,162643,95536,81432,84469,74679,49733,61291,18459,18637,16599
9 h 2 min,145390,201103,225211,189146,201864,209344,190800,195765,221498,146738,151784,163289,95694,82110,83775,74111,49347,61108,18307,18752,16631
9 h 4 min,145733,202431,225018,189535,201762,210010,191200,196804,222681,147347,152788,163244,95771,81700,84286,73739,49423,61124,18369,18609,16517
9 h 6 min,145268,200970,224991,189344,202181,209411,190850,196529,223286,147097,153024,164761,95572,81058,84174,74166,49763,61074,18437,18797,16589
9 h 8 min,146052,201205,225802,189819,202158,209973,191540,197106,224441,147306,153647,164248,95337,81921,84252,74363,49305,60977,18103,18659,16587
9 h 10 min,145072,201005,225032,189224,202856,209910,192404,197196,225018,148739,153640,165324,95685,81502,83612,74110,49192,60918,18408,18440,16594
9 h 12 min,146486,202069,224207,188729,201827,210786,191465,197907,225623,149225,154999,165415,95909,81275,84004,73633,49587,60524,18514,18863,16345
9 h 14 min,146038,201380,224441,188747,202261,211574,192024,198544,225816,149929,155184,166397,95754,81596,84041,74246,49499,60596,18107,18714,16142
9 h 16 min,146307,201207,224482,189640,202822,213454,191795,199673,225967,150092,156078,166602,96258,81318,84172,73517,49302,60581,18465,18929,16380
9 h 18 min,146040,200997,225390,190024,202248,211233,192201,198798,227796,150386,156141,166923,95556,81555,83563,73657,48901,60271,18441,18634,16123
9 h 20 min,146473,201212,224441,189581,201877,211543,192348,200183,228140,150830,157096,168389,95580,81180,83555,73777,49328,60804,18373,18745,16104
9 h 22 min,145941,202294,224331,189703,202942,214224,191983,199898,229487,151452,157291,168328,96008,81997,83701,73417,49136,60378,18325,18466,16144
9 h 24 min,145794,201642,225073,189687,202062,213866,191974,201477,229694,151947,158344,168512,95611,80673,84022,73391,49118,60680,18102,18612,16139
9 h 26 min,146430,201137,224056,189469,202311,214472,192687,202013,229982,151742,158541,169837,95893,81355,83394,73821,49532,60278,18443,18558,16098
9 h 28 min,145658,201627,224867,189055,202321,213636,192978,202162,230189,151948,159490,169424,96071,81317,83513,72675,49077,61002,18114,18606,15832
9 h 30 min,146482,201845,224070,190720,201955,213997,192644,202504,230711,153104,159838,170191,95952,80587,83415,73197,49064,60511,18156,18793,15952
9 h 32 min,146293,200609,224152,189387,201376,215943,193433,201961,231371,153779,159310,171412,95902,80939,83678,73246,49050,60396,18224,18534,15910
9 h 34 min,146298,201173,224166,189355,201264,216465,192144,202208,232128,153769,160845,171669,95895,80848,83070,73763,48964,60555,17866,18578,15965
9 h 36 min,145986,202055,223740,190914,202523,215049,192858,204074,233599,154160,161343,172508,96360,80933,83122,73441,48619,60251,18024,18584,15710
9 h 38 min,146138,201525,223245,189970,202466,214189,192940,203118,232733,153990,161481,172201,96062,80844,83142,73630,49116,60600,18190,18580,15857
9 h 40 min,147169,201704,224152,189320,202568,215153,192903,204284,234080,154473,161333,172861,95928,80565,83124,72526,49140,60326,17871,18317,15529
9 h 42 min,146579,201283,224867,190439,202151,217098,192352,205554,235345,155104,162056,173266,95535,80749,83136,73045,48804,60480,18094,18583,15723
9 h 44 min,146667,201007,224730,189638,202838,217400,193383,204627,234837,155498,161690,173386,95922,80373,82743,73162,48634,60392,17980,18514,15658
9 h 46 min,146703,201097,223795,190375,201615,217978,193444,204720,235937,156071,162395,174101,95790,80324,83050,72894,49350,59760,17994,18412,15489
9 h 48 min,146425,201483,223478,190396,202170,217744,192454,206120,235827,156041,163017,174697,96131,80539,82773,73404,48735,60001,18358,18574,15366
9 h 50 min,147075,201945,224111,190302,203286,218803,192811,205701,236280,155958,163747,174802,95649,80666,82619,72804,48930,60236,17622,18345,15632
9 h 52 min,146918,200655,223561,190267,202160,217717,191907,204430,236445,156549,164107,175607,96433,79922,82706,72529,48904,59814,17840,18429,15699
9 h 54 min,146819,201637,224675,189514,202539,217813,192521,206407,237215,156801,164710,175778,96288,80220,83201,72572,48385,59982,17913,18354,15887
9 h 56 min,147289,201456,223245,190300,202487,217950,191826,206372,237435,158156,165096,176168,96695,79785,82995,73252,48506,59476,17704,18574,15376
9 h 58 min,147207,201537,224138,189968,202683,220453,192242,206630,237545,157622,165940,176125,96330,79901,81950,72421,48546,59734,17568,18421,15522
10 h ,146919,201567,224317,189772,203421,219724,192507,206628,238563,158149,165807,176143,96205,79571,82401,72363,48673,59776,17847,18280,15334
