time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
0 h 58 min,14711,15196,15418,16639,17403,16494,16429,16607,15843,16155,16403,16063,15366,15507,16248,16298,17121,16580,17238,16708,16976,15970,15616,15847,17012,16746,16630,15660,15994,15644
1,14960,15431,15211,16771,17515,16321,16717,16623,16013,16136,16674,16393,15453,15578,16352,16639,17129,16785,17053,17069,17142,16080,15715,16044,17613,17066,16955,15857,16201,15620
1 h 2 min,14941,15383,15542,16964,17532,16886,16610,16883,16229,15957,16572,16425,15315,15667,16415,16572,17079,16768,17237,17118,17188,16314,15586,16381,17324,17234,16757,15978,16147,15618
1 h 4 min,14845,15491,15506,17227,17705,17115,17016,17668,16154,16103,16516,16374,15491,15646,16424,16598,17308,16760,17500,17187,17221,16177,15669,16217,17264,16999,17151,15786,16167,15664
1 h 6 min,15109,15503,15652,17610,18001,17504,17091,17129,16368,16211,16501,16592,15486,16007,16432,16856,17349,16831,17448,17021,17182,16136,15952,16065,17375,17161,17157,16067,16244,15733
1 h 8 min,15125,15592,15719,17645,18085,17331,17136,17296,16844,16608,16591,16845,15697,15736,16738,16975,17344,16935,17423,17474,17553,16265,16133,16209,17286,17486,17388,15879,16364,15688
1 h 10 min,15274,15658,15844,17737,18280,17336,17283,17393,16885,16193,16828,16782,15534,15757,16652,16648,17343,17007,17668,17334,17695,16460,15913,16253,17679,17360,17261,16120,16341,15850
1 h 12 min,15184,15638,15749,17847,18701,17425,17403,17758,16799,16421,16823,16750,15795,16026,16671,16996,17283,17026,17672,17351,17469,16585,15957,16279,17934,17068,17077,16245,16363,15949
1 h 14 min,14982,15674,15741,18330,18661,17764,17716,17895,17126,16382,17153,16792,15724,15892,16622,16658,17760,17431,17776,17706,17803,16870,16146,16631,17916,17540,17248,16243,16416,16105
1 h 16 min,15261,15704,15696,18322,18839,18207,17615,18007,17245,16678,17100,17081,15979,15905,16806,17010,17465,17358,18151,17795,18016,16918,16276,16791,17806,17846,17432,16238,16477,15937
1 h 18 min,15456,15878,15801,18337,18903,18309,18039,18120,17514,16400,16959,17062,15917,16175,16602,17119,17747,17377,18242,17696,18092,16833,16589,16555,17951,17558,17379,16410,16521,16184
1 h 20 min,15318,16070,16138,18531,19232,18621,18026,18427,17260,16672,17141,17116,15950,16131,16844,17231,17609,17591,18249,17758,17919,17082,16829,16754,18053,17850,17466,16320,16783,16129
1 h 22 min,15400,16040,15921,19095,19512,18682,18220,18444,17786,16799,17288,17289,16116,16132,16735,17407,17975,17652,18207,18153,18088,17355,16713,16920,18298,17978,17733,16234,16640,16296
1 h 24 min,15268,16098,15972,19332,19383,18895,18543,18730,17731,16752,17044,17114,15932,16513,17072,17462,17932,17703,18519,18114,18377,17266,16767,16997,18368,18177,17975,16519,16920,16333
1 h 26 min,15338,16301,16430,19348,19825,19152,18634,18725,17626,17262,17219,17393,16362,16123,16974,17345,18230,17709,18342,18360,18550,17193,16755,17163,18306,18231,17838,16535,16888,16465
1 h 28 min,15857,16224,16089,19616,20133,19253,18560,18698,18245,17006,17378,17277,16221,16214,17123,17314,18198,17997,18622,18453,18518,17321,16814,17289,18532,18430,18184,16579,17246,16391
1 h 30 min,15597,16277,16218,19687,20057,19301,18992,19193,18058,17057,17385,17644,16211,16343,17051,17793,18394,17896,18770,18565,18426,17543,16724,17331,18771,18634,18303,16709,17206,16608
1 h 32 min,15563,16147,16154,20067,20501,19392,19026,19034,18512,17215,17620,17755,16482,16465,17103,17563,18479,17752,18815,18392,18714,17668,16979,17393,18680,18712,18269,16946,17461,16636
1 h 34 min,15757,16420,16386,20330,20665,19895,19275,19514,18479,17342,17592,17513,16544,16651,17151,17797,18480,17949,19129,18799,18972,17714,17254,17702,18816,18396,18269,16689,17118,16713
