time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
4 h 2 min,19934,20313,20671,35771,36588,35034,31588,31814,30483,23801,24370,24634,21855,21432,22283,24979,26662,25606,27802,26849,27037,27179,24753,25783,28516,27747,27444,21588,22224,21361
4 h 4 min,19654,20058,20709,35828,36708,35214,31673,32051,30703,23854,24173,24635,22128,21341,22461,25400,26711,25822,28013,26711,26937,27262,24763,25886,28708,27800,27963,21759,22755,21290
4 h 6 min,19680,20478,20836,36055,37253,34927,31870,32037,30947,23754,23949,24493,22429,21259,22459,25267,26897,25986,28190,27276,27112,27320,24862,26294,28732,28217,27891,21884,22703,21552
4 h 8 min,19841,20262,21012,36499,37822,35555,32023,32321,31288,24079,24321,24457,22212,21558,22561,25506,26754,26102,28119,27230,27375,27372,25221,26085,28953,28041,28256,21749,22649,21755
4 h 10 min,19948,20278,21087,36644,37669,35371,32002,32280,31696,24033,24332,25037,22091,21540,22442,25531,27104,26315,28187,27468,27478,27402,25209,26640,28805,28513,28099,21960,22967,21427
4 h 12 min,20044,20476,21030,36893,38058,35936,32511,32658,31834,24156,24750,25033,22400,21641,22887,25680,26920,26301,28518,27223,27305,27736,25230,26361,29270,28168,28319,21683,23064,21672
4 h 14 min,19968,20719,21095,37020,38318,35923,32656,32886,31856,24377,24596,24888,22568,21604,22984,25601,27256,26282,28365,27650,27779,27722,25640,26730,29211,28539,28306,21864,22679,21818
4 h 16 min,20076,20776,21195,37099,38383,36387,32865,32862,31959,24378,24511,25215,22329,21792,22602,25405,27260,26309,28395,27904,27804,27677,25624,27100,29413,28619,28310,22046,22865,21890
4 h 18 min,20171,20515,21313,37478,38678,36819,32868,33070,32435,24675,24887,25317,22572,21700,23062,25871,27421,26560,28535,28047,28006,27949,25975,26820,29390,28741,29055,22011,23036,21862
4 h 20 min,20088,20637,21146,37568,38885,37046,33164,33274,31879,24530,24781,25292,22845,22118,22891,25936,27811,26432,29035,27964,28205,28290,25694,26689,29690,28868,28857,22328,22968,21902
4 h 22 min,20236,20963,21457,37878,38600,36918,33435,33264,32307,24795,24770,25397,22765,21754,23070,25886,27703,26713,28738,28182,28059,28416,25704,27051,29953,28640,29048,22239,23301,22013
4 h 24 min,20236,20722,21581,38248,39521,37220,33588,33724,32809,24797,25235,25516,23102,21715,23031,26339,27773,27198,29251,28297,28216,28748,26001,27335,30123,29158,29195,22549,23202,22156
4 h 26 min,20326,20853,21719,38337,39533,37627,33690,33760,32872,25101,25110,25913,22766,22034,23318,26464,27894,27047,29393,28086,28417,28901,26430,27146,30106,29542,29297,22613,23292,22237
4 h 28 min,20201,20943,21472,39182,39555,37370,33757,34118,33040,25032,25416,25911,23057,22010,23114,26476,28007,26902,29207,28237,28599,28687,26248,27453,30436,29502,29275,22321,23165,22514
4 h 30 min,20618,21008,21934,38944,40037,37524,34186,34072,33410,25235,25153,26033,23006,22457,23243,26369,27627,27166,29329,28346,28714,28673,26277,27657,30182,29461,29488,22467,23586,22023
4 h 32 min,20532,20944,22026,39153,40323,38023,34165,33938,33474,25406,25279,26233,23444,22474,23325,26593,27945,27545,29505,28861,28688,29220,26377,27685,30406,29983,29488,22771,23465,22455
4 h 34 min,20631,21032,21834,39195,40446,38385,33989,34334,33578,25782,25356,25901,23285,22264,23556,26557,28460,27533,29758,28823,28962,29356,26819,28067,30538,30130,29550,22750,23660,22539
4 h 36 min,20670,21074,22087,39547,40984,38311,34426,34665,33808,25831,25739,25914,23371,22385,23445,26458,28332,27516,30186,28916,29067,29420,26635,28255,31090,30392,29747,22747,23830,22368
4 h 38 min,20766,21043,22200,40082,40676,38646,34462,34539,33983,25997,25578,26241,23696,22443,23328,26988,28165,27856,29972,29179,29403,29433,26627,28560,31076,30232,29785,22639,23696,22446
4 h 40 min,20583,21226,22060,40142,41023,39152,34972,35087,33857,26294,25719,26397,23443,22230,23578,26928,28106,27860,30281,29120,29420,29482,27154,28480,31397,30672,30131,22631,23643,22407
4 h 42 min,20811,21196,22328,40130,41280,38903,34962,34995,34167,26218,25654,26721,23811,22939,23623,26929,28466,27522,29936,29009,29515,29754,27186,28329,31523,30786,30277,23040,23919,23152
4 h 44 min,20987,21428,22331,40548,41369,39504,35103,35057,33962,26639,25685,26512,23756,22496,23915,27058,28744,28010,30816,29185,29864,29781,27528,28887,31556,30882,30534,23257,23882,23311
4 h 46 min,20739,21661,22179,40470,41996,39684,35164,35412,34315,26390,25985,27044,24077,22819,23922,27117,28934,28138,30763,29470,29932,29951,27029,28680,32067,30957,30598,22977,23806,22844
4 h 48 min,20860,21351,22434,40627,41741,39841,35567,35527,34320,26333,25691,26675,24156,22706,23694,27417,28991,27980,30951,29510,29872,29781,27869,28833,32260,31215,30674,23537,24109,23132
4 h 50 min,21005,21546,22501,41341,42068,39813,36013,35504,34574,26539,26276,27191,24233,22906,23818,27323,28962,28226,30669,29615,30172,30343,27644,28902,32181,31372,30751,23470,23964,23114
4 h 52 min,21052,21715,22344,41448,42458,40217,35798,35980,34838,26723,26478,26925,24249,22923,24063,27655,29250,28264,31320,29675,30158,30328,27804,29029,32321,31547,31302,23588,24268,23392
4 h 54 min,21021,21894,22537,41447,43057,40486,35744,36081,34552,26929,26565,27234,24185,23076,24026,27514,29322,28092,31080,29830,30076,30832,28130,29204,32500,31724,31520,23684,23940,22884
4 h 56 min,21087,21907,22398,41555,43008,40922,35918,36611,34850,26785,26393,27539,24330,23171,24012,27774,29187,28504,31233,30050,30475,30850,28038,29450,32639,31753,31430,23495,24242,23300
4 h 58 min,21387,21668,22953,41969,43134,41078,36441,36556,35216,26796,26771,27347,24441,23042,24079,27941,29328,28794,31580,30196,30845,31016,28218,29263,32993,31704,31392,23659,24628,23090
5,21306,21728,23054,42466,43521,41176,36680,36687,35284,27299,27090,27582,24509,22882,24386,28046,29485,28618,31858,30314,30628,30816,28378,29427,32851,32240,31566,23610,24307,23664
5 h 2 min,21454,22061,22938,42679,43834,41359,36756,36656,35565,27130,27010,27725,24918,23324,23962,27981,29607,28765,31825,30016,30883,31295,28591,29731,33473,32417,31842,23821,24566,23461
5 h 4 min,21011,22185,23052,43166,44198,41676,36953,37376,35785,27443,27404,27994,24599,23310,24401,28203,29700,28951,32147,30520,30892,31277,29007,29959,33276,32577,31997,23770,24672,23585
5 h 6 min,21278,22212,22874,42652,44527,41755,37020,37115,35732,27222,27248,27778,24790,23701,24486,28546,29897,28742,32409,30701,30863,31555,28823,30063,33708,32772,32542,23947,24619,23591
5 h 8 min,21372,22285,22943,43221,44510,42263,37457,37336,36022,27535,27260,27681,24966,23813,24550,28409,29576,29157,32872,30633,31210,31480,28779,30029,34026,32703,32413,23747,24669,23585
5 h 10 min,21388,22171,23311,43649,44568,42020,37585,37209,36214,27427,27585,27794,24583,23715,24598,28750,29879,28820,32225,30974,31261,31844,29082,29920,34073,33094,32403,24187,24938,23761
5 h 12 min,21494,22433,23088,43685,45046,42711,37788,37593,36712,27614,27935,27920,24805,23538,24594,28606,29891,29159,32543,31261,31396,32062,28953,30245,33955,33181,32722,23949,24551,23468
5 h 14 min,21468,22552,23034,43769,45368,42982,37623,37857,36836,27635,27682,28254,24665,23954,24859,29102,30094,29327,32742,31090,31348,32233,29196,30525,33977,33211,32792,24259,24900,23709
5 h 16 min,21556,22525,23292,43546,45530,42875,38285,38079,36934,27825,27821,28060,25073,23770,25086,28671,30149,29706,32690,31304,31982,32344,29499,30644,34234,33593,33383,24514,24808,23804
5 h 18 min,21416,22525,23169,44431,45550,43101,38158,38421,37214,27921,27572,28355,25625,23910,24918,28898,30233,29594,32496,31622,32036,32218,29519,30883,34314,33327,33399,24217,24705,23850
5 h 20 min,21640,22585,23414,44357,45695,43466,38638,38862,36825,27718,28130,28316,24996,24051,25177,28940,30636,29697,33065,31628,31666,32899,29336,30738,34798,33813,33322,24342,25441,23976
5 h 22 min,21642,22872,23443,44594,46119,43744,38235,38874,37414,28304,28112,28494,25460,24114,24990,29297,30581,29969,33336,31352,31889,32632,29775,31234,35080,33835,33686,24220,25160,24342
5 h 24 min,21694,22818,23228,44681,46306,43608,38746,39006,37656,28292,28021,28435,25766,24316,25257,29250,30922,29952,33208,31769,31795,32900,29809,31066,34977,33794,33513,24834,25347,24322
5 h 26 min,21927,23167,23688,45458,46470,44263,39175,38860,37635,27906,28488,28861,25554,24316,25449,29452,31018,30248,33319,31700,32176,33078,29663,31227,35357,34150,33857,24519,25226,24385
5 h 28 min,21717,23168,23392,45558,46642,44059,38983,39016,37911,27899,28573,28916,25459,24428,25775,29637,31152,30216,33197,31756,32345,32907,29959,31535,35031,34142,33955,24583,25280,24399
5 h 30 min,21761,22834,23575,45530,46717,44365,39423,39443,38154,28268,28667,28888,25533,24324,25828,29471,31106,30281,33217,32003,31961,33156,29876,31388,35574,34082,34509,24862,25305,24343
5 h 32 min,21682,22823,23477,45981,46749,44426,39738,39619,38195,28466,28556,28970,25734,24510,25864,29523,31397,30497,33460,32164,32301,33045,30158,31490,35679,34242,34119,24825,24974,24434
5 h 34 min,21889,23329,23737,46363,46998,44614,39609,39821,37850,28488,28910,29304,25848,24632,25757,30064,31353,30392,33336,32390,32479,33523,30353,31547,35644,34389,34558,25038,25658,24546
5 h 36 min,21859,23158,23687,46154,47315,45323,39678,39882,38487,28473,28683,29085,25782,24413,25957,29990,31499,30635,33412,32361,32205,33418,30337,31711,35956,34430,34545,24974,25543,24827
5 h 38 min,21935,23205,23804,46656,47564,45534,39711,39931,38348,28657,28890,29533,25797,24935,26059,30062,31695,30924,33414,32323,32788,34000,30230,31376,36232,34832,34966,24908,25698,24802
5 h 40 min,21748,23629,23802,46165,47782,45090,39918,40148,38896,28729,28904,29448,26092,24887,26272,29790,31569,31152,33821,32337,32768,33840,30409,31971,36064,34748,34987,25087,25636,24733
5 h 42 min,22095,23340,23647,46538,47627,45669,40054,40538,39023,28908,28886,29330,25998,24995,25869,29969,32019,30911,33864,32591,32722,34056,30585,32162,36423,35088,35304,25278,25875,24619
5 h 44 min,21921,23419,23879,46849,47614,46038,39974,40628,39233,28732,29134,29672,25824,24594,26215,30289,32057,31099,34186,32720,32681,33611,30668,32087,36502,35204,35346,25142,25894,24843
5 h 46 min,22092,23288,23529,46939,48184,45909,40657,40491,39208,28808,29472,29910,26144,25021,25849,30591,32315,31186,34115,32819,32559,34209,30528,31851,36596,35531,35523,25756,25860,25066
5 h 48 min,22002,23465,23904,47728,47997,46586,40729,40876,38911,28929,29053,29969,25970,24708,26320,30593,32193,30759,34324,32382,32989,34257,30742,31986,36714,35695,35696,25199,26172,25002
5 h 50 min,21977,23226,23736,47661,48247,46440,40760,40789,39448,29264,29791,30109,26097,24676,26369,30432,32203,31124,33941,32907,32807,34510,31186,32265,36743,35235,36113,25023,25744,25048
5 h 52 min,22090,23381,23918,47753,48384,46319,41121,40714,39751,28955,29470,29883,26321,25149,26275,30693,32341,30942,34343,33159,32953,34633,31162,32137,36943,35633,35859,25452,25732,25157
5 h 54 min,22535,23817,24079,48035,48208,46333,41053,41286,39755,29262,29474,30002,25924,24860,26595,30622,32520,31353,34522,33201,33240,34554,30982,32514,37445,35396,36106,25767,26039,25246
5 h 56 min,22091,23694,24077,47839,48840,47011,41356,41088,39773,28859,29560,30125,26300,25000,26360,30863,32721,31611,34360,33299,33244,34150,31653,32515,36983,35996,36147,25563,26253,25089
5 h 58 min,22149,23463,24044,48590,49163,47207,41402,41367,39720,29360,29495,30318,26568,25428,26352,30955,32942,31436,34569,33272,32884,34877,31024,32703,37555,35891,36448,25446,26223,25204
6,22073,23852,23961,48085,48989,47022,41687,41694,40262,29322,29548,30539,26107,25167,26630,30978,32952,31637,34580,33186,33359,34763,31333,32451,37336,36178,36162,25756,26353,25141
6 h 2 min,22163,23741,23813,48802,49365,47614,41477,41804,39999,29590,29587,30474,26456,25218,26622,31027,33013,31790,34661,33371,33706,34959,31605,32981,37321,35908,36517,25638,26469,25171
6 h 4 min,22164,23680,24110,48649,49620,47621,41880,41759,40545,29242,29514,30588,26288,24787,26852,31195,33237,32138,34661,33432,32991,34481,31145,32991,37117,35931,36568,25801,26431,24920
6 h 6 min,22349,23843,24092,48861,49282,47880,41947,41975,40464,29624,29716,30186,25732,25420,26636,31103,33498,31956,34893,33502,33659,35212,31647,33125,37631,36595,36779,25715,26274,25506
6 h 8 min,22315,23613,24079,49084,49701,48102,41543,42073,39996,29528,29905,30202,26109,25529,26708,31292,33359,32306,34351,33636,33529,35481,31561,32930,37560,36473,36801,25788,26521,25348
6 h 10 min,22300,23961,24093,49053,49617,48141,41697,42282,40469,29557,30038,30666,26076,25428,26749,31374,33190,32265,34694,33710,33602,35530,31627,33381,37976,36406,36737,25969,26615,25262
6 h 12 min,22415,23971,24277,49135,50094,48366,42120,42774,40610,29760,30082,30743,26273,25462,27215,31562,33656,32625,34814,33141,33424,35501,31671,33197,37965,36286,36898,26003,26610,25381
6 h 14 min,22231,24066,24178,49289,50025,48163,42391,42663,40969,29498,30053,30791,26630,25403,27291,31590,33304,32221,35002,33707,33667,35596,31722,33353,38166,36727,37026,25851,26470,25489
6 h 16 min,22694,23918,24244,49492,50184,48694,42353,42698,40630,29850,30103,30919,26379,25702,27016,31627,33737,32431,34885,33866,33805,35079,32133,33146,38142,36837,37312,25905,26730,25317
6 h 18 min,22238,23820,24347,49646,50223,48875,42684,42529,40976,29704,30135,30903,26228,25517,27392,31407,34172,32182,35301,33640,33699,35959,31629,33382,38433,36650,37479,25830,26669,25304
6 h 20 min,22560,24150,24327,50094,50186,48539,42345,43118,41090,29760,30269,31062,26581,25762,27681,32014,33602,32393,35492,33734,33452,35554,31816,33491,38593,36966,37473,25714,26711,25498
6 h 22 min,22597,24034,24460,50327,50869,49248,42472,43122,41166,29949,30162,31003,26710,25438,27434,31973,33962,32591,35148,34079,34112,35563,31690,33429,38895,36891,37806,26335,26797,25804
6 h 24 min,22410,23995,24324,50217,50746,49067,42967,43441,41439,29697,30433,31084,26307,25581,27775,31982,34194,32540,34968,33709,34113,35844,32001,33163,38540,37413,37641,26110,26713,25623
6 h 26 min,22352,23880,24293,50240,50992,48935,42759,43120,41552,29847,30558,31092,26573,25735,27455,32110,33914,32958,35062,34036,33830,35750,32273,33855,38963,37074,37965,25952,26891,25634
6 h 28 min,22702,23903,24487,50579,51176,49607,42919,43458,41999,30232,30657,31376,26782,25982,27495,32366,34151,33152,35445,34351,34031,35839,32294,33642,38804,37538,37909,26437,26951,25672
6 h 30 min,22678,24550,24680,50757,50817,49094,43344,43552,41592,30148,30465,31362,26675,25665,27461,32178,34517,32826,35504,34367,34185,36007,32501,33667,39149,37617,37793,26330,27064,25732
6 h 32 min,22584,24180,24412,50682,51138,49511,43036,43457,41935,30148,30621,31506,27061,25717,27539,32216,34450,32993,35555,34350,34560,36300,32261,33991,39210,37306,38150,25977,26801,25760
6 h 34 min,22844,24430,24546,51444,51633,49953,43256,43665,42036,30047,30774,31625,26671,26065,27452,32549,34513,32512,35364,34358,34255,36683,32563,34210,39127,37714,38246,25965,27194,25719
6 h 36 min,22567,24045,24394,51619,51836,50063,43571,43839,41795,30380,30850,31837,27172,26045,27313,32337,34824,33399,35584,34661,34433,36519,32679,34231,39221,37550,38454,25949,27307,25974
6 h 38 min,22519,24080,24611,51328,51401,50174,43341,43652,42141,30541,30702,31528,26730,26082,27671,32461,34774,33194,35668,34685,34536,36431,32424,34018,39545,37793,38742,26175,27291,25605
6 h 40 min,23028,24252,24804,51734,51731,50043,43351,44235,42378,30323,30737,31699,27326,25759,27822,32794,35068,33501,35214,34736,34622,36294,32689,34079,39489,37714,38243,26085,27471,25456
6 h 42 min,22724,24447,24694,51957,51972,50364,44013,43891,42383,30288,30658,32172,26838,25746,27977,32694,35055,33217,35578,35044,34628,36352,32655,33989,39838,37971,38599,26240,27519,25927
6 h 44 min,22687,24497,24649,51760,51791,50621,43488,44049,42685,30490,31016,31878,26983,26078,27975,32506,34681,33223,35772,34842,34727,36365,32981,34650,39701,38307,38290,26606,27327,25631
6 h 46 min,22444,24392,24835,51273,52044,50188,43960,44353,42562,30697,30612,32064,27239,25916,27961,32847,35146,33214,35732,34366,34876,36793,32689,34663,39576,38329,38663,26485,27433,25612
6 h 48 min,22694,24179,24566,52037,51724,50399,43975,44328,42539,30664,30773,31893,27205,26368,27912,33146,34692,33692,35785,34988,34901,36828,33302,34212,40410,38276,38849,26100,27555,26027
6 h 50 min,22548,24334,24866,51633,52144,51015,44190,44491,42813,30785,30951,31958,26976,25964,27936,32982,34914,33627,35971,35157,34551,36585,32960,34362,40267,38500,39356,26481,27504,26270
6 h 52 min,22558,24134,25094,51728,52087,50838,44650,44563,43369,30742,31093,31841,27149,26179,28240,33213,35135,33795,35836,35059,35220,36915,33389,34527,39969,38516,39023,26392,27683,25818
6 h 54 min,22612,24247,24762,52490,52384,51584,44294,44762,42893,30767,31008,32254,27317,26192,27866,32908,34870,33831,36112,35219,34484,36798,33151,34572,40285,38555,38849,26333,27594,26206
6 h 56 min,22707,24521,25216,52130,52575,51215,44634,44990,42971,30697,31102,32183,27148,26328,28135,32969,35435,33717,36114,34732,35070,37084,32981,34574,40580,38481,39501,26370,27552,26073
6 h 58 min,22915,24271,24670,52776,52580,50985,44752,45282,42953,30890,31265,32018,27285,26326,28682,32859,35619,34058,36092,35183,35116,37381,33078,34893,40683,38871,39514,26607,27585,25873
7,22560,24391,24758,52779,53109,51868,44515,45294,43479,31114,31372,32274,27415,26433,28102,32853,35482,34038,36285,35113,34900,37203,33552,34928,40725,38793,39501,26502,27894,26214
7 h 2 min,22468,24575,25059,52755,53135,51577,44937,45043,43018,31176,31390,32122,27424,26628,27983,33782,35909,33868,36325,34987,35255,37176,33278,35064,40810,38675,39844,26937,27769,25634
7 h 4 min,22268,24425,24800,52899,52766,51759,45193,45115,43471,31266,31572,32314,27769,26248,28365,33648,35421,34202,36495,35446,35198,37782,33767,35366,41271,38750,39815,26632,27594,26218
7 h 6 min,22644,24430,24805,52915,53121,52117,44741,45529,43978,31057,31555,32292,27502,26608,28657,33777,35836,34394,36213,35292,35508,37712,33680,35466,40867,39281,40049,26704,28213,26200
7 h 8 min,22617,24409,25022,53365,53559,52375,45139,45453,44016,31276,31380,32511,27353,26371,28185,33783,35633,34259,36347,35316,35308,37678,33849,35207,41097,39399,40155,26497,27751,26264
7 h 10 min,22370,24566,24982,53458,53076,52126,45124,45354,43682,31076,31537,31991,27643,26415,28453,33666,35672,34435,36237,35308,35223,37820,33859,35013,41009,38977,40022,26777,28000,26069
7 h 12 min,22607,24497,25098,53443,53641,52475,45498,45421,44033,31148,31633,32373,27365,26493,28423,33861,35522,34867,36398,35529,35392,37719,33404,35369,41789,39274,39871,26605,27905,26464
7 h 14 min,22572,24796,24967,53657,53699,52718,45467,45846,44186,31484,31812,32359,27575,26446,28250,34245,35717,34440,36013,35643,35559,37665,33941,35211,41544,39617,40442,26899,27910,26115
7 h 16 min,22335,24650,24849,53563,52974,52470,45522,45518,44263,31472,31543,32608,27547,26386,29045,33910,35608,34632,36553,35675,35494,37969,33833,35351,41592,39756,40250,26925,27856,26234
7 h 18 min,22295,24519,25134,53765,53533,52787,45859,45783,44701,31169,31739,32892,27610,26549,28568,33908,36273,34932,36823,35435,35732,38041,33975,35313,42028,39567,40420,26578,27878,26232
7 h 20 min,22147,24373,24945,53885,53660,52588,46076,45957,44282,31684,31893,32859,27288,26473,28460,34037,35809,34657,36787,35461,35390,38314,33916,35298,41691,40093,40497,26993,28172,26271
7 h 22 min,22423,24768,25275,54205,53688,52701,45494,46023,44526,31732,31811,32645,27615,26408,28537,33826,35867,34557,36116,35779,35745,38167,34094,35691,42137,39824,40977,26887,28186,26393
7 h 24 min,22407,24596,24974,54494,53845,53088,45964,46209,44762,31541,32245,32828,27566,26637,28942,34015,35972,34601,36887,36025,35459,38290,34238,35637,41662,40159,40563,26922,28181,26139
7 h 26 min,22021,24767,25170,54430,54007,52854,45999,46582,44647,31685,32198,32741,27704,26632,28689,34096,35720,34961,36919,35861,35902,38272,34023,35694,42448,40121,40535,26842,27792,26264
7 h 28 min,22083,24832,25108,54568,53624,52908,46042,46356,45004,31317,31906,33068,27715,26822,28649,34293,36229,34637,36604,35312,35612,38342,34205,36082,42066,40231,40445,26876,28461,26215
7 h 30 min,21989,25109,25216,54473,53985,53496,46105,46543,44693,31400,32263,32914,27815,26690,28856,34394,36013,35135,36746,35754,35742,38541,34434,36031,42429,40206,40880,27008,28092,26313
7 h 32 min,22169,24773,25337,54741,54027,53076,46181,46912,44744,31605,32163,32751,27618,26490,28674,34297,36248,35114,36655,36138,35339,38353,33982,35966,42377,40379,41255,27251,28371,26440
7 h 34 min,21871,24928,25257,54406,53792,53227,46608,46742,45057,31734,32284,33352,27856,26923,28543,34403,36128,34989,37001,35551,35923,38579,34326,36169,42453,40364,41192,26830,28513,26386
7 h 36 min,22171,24804,24978,54716,54030,53440,46537,47294,45063,31829,32258,33054,27739,26812,28685,34359,36185,34941,36545,35954,36024,38789,34417,36139,42390,40350,41275,26729,28467,26852
7 h 38 min,21904,24817,25142,55011,54212,53186,46094,47148,44979,31840,31938,32864,27791,27006,29076,34372,36423,35135,37261,36026,35947,38559,34371,36151,42874,41029,41221,27204,28387,26580
7 h 40 min,21809,24813,25071,54750,54113,53889,46609,47009,45071,31826,32382,33287,27736,27003,28866,34264,36370,35101,36768,36271,35856,38718,34773,36203,42790,40464,41341,27140,28310,26504
7 h 42 min,21862,24970,24944,54932,54383,53734,46614,47006,45371,31846,31900,33291,27773,26683,28987,34558,36311,35306,36702,36078,35842,38876,34353,36544,43010,40842,41509,27259,28289,26559
7 h 44 min,21676,24783,25049,55530,54141,54125,46451,47221,45077,31626,32474,33206,28077,26867,29044,34587,36560,35488,36922,36228,35854,39268,34709,36406,43261,40467,41700,27163,28623,26496
7 h 46 min,21904,24711,25194,55521,53805,53744,46746,47416,45223,31617,32120,33246,27790,26593,28989,34796,36446,35299,36974,36297,35976,38984,34717,36394,43445,41135,41875,27352,28295,26673
7 h 48 min,21857,24954,24751,55732,54255,54233,46967,47549,45617,32188,32634,33319,27774,27231,28914,34759,36343,35347,36636,36083,36139,38569,34781,36568,43369,40732,41693,27399,28379,26603
7 h 50 min,21820,25231,25068,55662,53957,54440,46960,47700,45655,31828,32459,33665,27709,27053,29126,35085,36658,35622,37214,36771,35797,38980,35020,36399,43111,41182,42345,27231,28665,26388
7 h 52 min,21929,24915,24959,56167,54489,54298,47125,47322,45347,32003,32560,33306,27736,27076,29034,34953,36770,35282,37027,36069,36276,38802,35065,36664,43685,40988,42263,27216,28331,26431
7 h 54 min,21878,25066,24944,56285,54434,54738,46918,47756,45626,31937,32633,33347,27528,27041,29287,35116,36295,35447,36891,36350,36429,39413,34971,37040,43704,41287,42332,27316,28593,26870
7 h 56 min,21929,25267,24986,56303,54566,54060,47236,47612,46000,31632,32568,33472,27775,27163,28930,35053,36631,35202,37217,36662,36084,39342,34984,36768,43602,41166,42149,27214,28721,26276
7 h 58 min,21517,24851,24772,56078,54219,54592,47229,47813,45742,31899,32336,33796,27641,26832,28890,35140,36898,35584,36851,36140,36334,39383,34965,37097,43737,41454,42370,27178,29008,26619
8,21741,25059,24975,56145,54437,54704,47532,47930,46265,31726,32669,33574,27834,26896,29122,35437,36973,35280,36736,36547,36347,39451,35004,36487,43851,41568,42498,27380,28597,26826
8 h 2 min,21736,25275,24648,56375,54272,54837,47578,47856,45815,31650,32548,33982,27574,27342,29136,35100,37074,35664,37035,36552,36116,39570,34966,36780,44069,41781,42479,27336,28674,26529
8 h 4 min,21393,25206,24716,56228,54153,55105,47350,47635,46107,31899,32708,33900,28046,27204,29186,35179,36685,35734,36815,36576,36483,39305,35346,36849,43768,42023,42529,27080,28615,26554
8 h 6 min,21585,25063,24925,56535,54180,55137,47557,47991,46433,31723,32614,33682,27868,27185,29515,35313,36551,36074,36909,36419,36118,39866,35039,36990,44244,41865,42492,27562,28545,26594
8 h 8 min,21459,24922,24760,56497,54224,54995,47492,48013,46176,31249,32635,34065,27778,27231,29170,35305,36945,35698,36804,36559,36625,39737,35403,37188,44128,42054,42378,27482,28757,26888
8 h 10 min,21271,25146,24718,56393,54609,55345,47803,48007,46406,31717,32924,34060,27471,27454,29603,35621,36913,35421,36832,36827,36326,39619,35218,37488,44401,41731,42809,27220,28641,26408
8 h 12 min,21420,25038,24516,56918,54432,55161,47587,48128,46599,31986,32614,33646,27726,27168,29342,35109,37069,36216,36801,36575,36124,39837,35246,37192,44364,42059,43061,27654,28709,26878
8 h 14 min,21598,24881,24446,56426,54342,55827,47655,48112,46261,31761,32912,33852,27829,27510,29238,35443,37327,35811,36837,36790,36008,39458,35578,37361,44674,42014,43115,27660,28784,26372
8 h 16 min,21468,25151,24396,56695,54162,55635,47703,48243,46797,31873,32621,34161,27305,27533,29721,35721,37159,35795,36843,36733,36106,39866,35159,37456,44482,41880,43080,27496,28612,26683
8 h 18 min,21283,25181,24297,56825,54260,55288,47632,48101,46503,31904,33036,33900,27444,27490,29577,35208,37445,36028,36665,36630,36290,39490,35157,37290,44476,41976,43490,27663,28713,26493
8 h 20 min,21388,24718,24211,57120,54350,55343,47678,48404,46299,31882,33109,34288,27506,27393,29027,35586,37361,35676,36492,36547,36166,39821,35354,37317,44835,42296,43330,27431,28770,26881
8 h 22 min,21565,25109,24168,57366,54469,55638,48150,48507,46335,31753,32712,33966,27636,27560,29165,35766,37241,36253,36623,36761,36550,39850,35406,38005,44715,41974,43552,27724,28876,26577
8 h 24 min,21454,25009,24302,57038,54523,55911,47887,48659,46875,31641,32732,34231,27405,27320,29599,35765,37169,36250,36627,36604,36232,39976,35459,37668,44805,42236,43723,27806,28775,26757
8 h 26 min,21107,25134,24062,56968,53969,55695,48129,48573,46917,31704,32734,34022,27552,27662,29537,35719,37375,36278,36822,36804,36535,39744,35549,37462,44658,42246,43537,27580,29227,26348
8 h 28 min,21291,24955,23987,57361,54234,55908,48275,48606,46615,31644,32615,33903,27277,28030,29581,36439,37452,36509,36567,36760,35900,40146,35618,37405,44945,42359,43534,27420,28930,26470
8 h 30 min,21441,25028,24087,56663,53792,55824,47595,48360,46546,31715,33117,34309,27617,27820,29589,35578,37811,36011,36459,37099,36238,40550,35260,37781,45278,42608,43716,27555,29121,26417
8 h 32 min,21200,24717,24038,57312,53970,56066,47759,48673,46532,31504,32762,33938,27237,27910,29402,36264,37519,36082,36343,36965,36333,39722,35782,37887,45416,42437,43488,27482,28971,26400
8 h 34 min,21111,24880,24128,57725,54147,55819,48034,48311,46871,31259,32412,34177,26977,27705,29830,35859,37822,36559,36494,36680,36221,39815,35617,38133,44827,42800,43703,27100,29136,26402
8 h 36 min,21168,24888,23894,57213,54120,56201,48344,48386,46963,31126,32623,34129,26898,27737,29810,35917,37366,36438,36406,36853,36259,40000,35418,37615,44975,42286,43806,27615,29122,26579
8 h 38 min,21565,24953,24141,57343,53866,55988,48048,48832,46809,31426,32573,34169,27369,28021,29905,35560,37676,36454,36219,36914,36210,40208,35737,38140,45241,42403,44286,27594,28922,26327
8 h 40 min,21326,24745,23766,57398,53740,55837,48206,48581,46872,31390,33069,34451,27182,28061,29871,35694,37906,36445,35846,36952,36045,40386,35600,37669,45312,42170,43988,27782,29315,25967
