time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
1 h 36 min,16914,16888,17625,50905.5,50986.5,51732,30587,30538.5,30568.5,31483.5,33011,30395,36157,39638.5,38372.5
1 h 38 min,17170,16856,17549,51993.5,52097,52354,31052.5,31115,31140,31884.5,33229,30909,36675,40433,38927
1 h 40 min,16988,16916,17620,52764,52826.5,53340.5,31476.5,31423.5,31452,32529.5,33679.5,31466.5,37383,40975.5,39533
1 h 42 min,17257,16858,17502,53832,53706,54590.5,31966,32171.5,32111.5,33017.5,34340.5,32024,38081,41842.5,40648.5
1 h 44 min,16971,16720,17574,54696.5,55210.5,55598,32372,32305.5,32549.5,33166,35003.5,32591.5,38958,42525,41291.5
1 h 46 min,17101,16904,17781,55724,56089,56454.5,32753,33080,32970.5,33724,35682,32812,39327,43228.5,42131.5
1 h 48 min,17179,16971,17758,56784,56943,57431.5,33061,33153.5,33779,34179.5,35770.5,33321.5,40096.5,44225.5,42689
1 h 50 min,17199,16731,17601,57420.5,57783,58428.5,33663,33612,34042,34860.5,36487,33907.5,40990.5,44568,43638
1 h 52 min,17239,16999,17886,58571,58948.5,59447.5,34245,34294,34446,35186.5,37034.5,34445.5,41696,45475.5,44303.5
1 h 54 min,17445,17313,17779,59680,60391.5,60642.5,34672,34430,34963.5,36031,37657.5,35133.5,42510.5,46869.5,45259.5
1 h 56 min,17324,17373,18129,60775,60665,61529.5,34945.5,35291,35368.5,36145,37986,35256.5,42754.5,46824.5,45649
1 h 58 min,17315,17203,18026,61556,61664.5,62034,35328.5,35796.5,35747,36535.5,38827,35755.5,43498.5,48258.5,46384.5
2,17308,17245,17973,62813,63126.5,63366.5,35751.5,36230,36344,37470,38999,36532,44656,48895,47251.5
2 h 2 min,17718,17163,18123,63473,63929,64512,36565.5,36390.5,36667,37819.5,39908.5,36747,45463.5,49541,48152
2 h 4 min,17358,17413,18318,64283,64930,65723.5,36883.5,37049.5,37206.5,38457.5,40478,37471.5,46014,50713.5,48977.5
2 h 6 min,17681,17357,18051,65575.5,65855.5,66256.5,37516,37719.5,37713.5,39005,40934.5,38165,46827.5,51316.5,49740
2 h 8 min,17423,17421,18182,66576.5,66780.5,67046,38021.5,38029,38167.5,39371.5,41272.5,38377,47487,51954.5,50714.5
2 h 10 min,17681,17336,18344,67652.5,67785.5,68573.5,38657,38774,38896,39874,42088.5,38876.5,48075,52845,51533.5
2 h 12 min,17765,17445,18178,68738,68979.5,69445,38872,39297.5,39202,40387.5,42508,39586.5,48945,53616,52050.5
2 h 14 min,17591,17676,18457,69584,69806.5,70512,39442.5,39758,39520.5,41321.5,42903.5,40128.5,49981,54657.5,52907.5
2 h 16 min,17964,17624,18526,70755,70801.5,71618,40220.5,40300,40339.5,41878,43943.5,40611.5,50616.5,55532,53558.5
2 h 18 min,17970,17682,18275,71829,71812.5,72353.5,40742.5,40817.5,40918.5,41958,44496.5,41054.5,51314,56480,54448
2 h 20 min,17981,17833,18258,72848,72936,73395,41023.5,41464.5,41416.5,42592.5,45057.5,42010,52232.5,57352.5,55167.5
2 h 22 min,18199,17735,18326,73759.5,74142.5,74349,41712.5,41683,41754,42967,45363,42313,52939,58257,56377
2 h 24 min,17991,17928,18640,74654,74819,75019,41997.5,42446.5,42344.5,43720.5,46271.5,42855,53705.5,58720,57199.5
