time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM
3 h 12 min,2251156.96793167,2251156.96793167,2251156.96793167
3 h 14 min,2279138.39093794,2279138.39093794,2279138.39093794
3 h 16 min,2307119.81394243,2307119.81394243,2307119.81394243
3 h 18 min,2335101.23694514,2335101.23694514,2335101.23694514
3 h 20 min,2363082.65994608,2363082.65994608,2363082.65994608
3 h 22 min,2391064.08294525,2391064.08294525,2391064.08294525
3 h 24 min,2419045.50594264,2419045.50594264,2419045.50594264
3 h 26 min,2447026.92893825,2447026.92893825,2447026.92893825
3 h 28 min,2475008.35193208,2475008.35193208,2475008.35193208
3 h 30 min,2502989.77492414,2502989.77492414,2502989.77492414
3 h 32 min,2530971.19791443,2530971.19791443,2530971.19791443
