time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM
0 h,0,0,0
0 h 2 min,0,0,0
0 h 4 min,0,0,0
0 h 6 min,0,0,0
0 h 8 min,0,0,0
0 h 10 min,0,0,0
0 h 12 min,0,0,0
0 h 14 min,0,0,0
0 h 16 min,0,0,0
0 h 18 min,0,0,0
0 h 20 min,0,0,0
0 h 22 min,0,0,0
0 h 24 min,0,0,0
0 h 26 min,0,0,0
0 h 28 min,0,0,0
0 h 30 min,0,0,0
0 h 32 min,20979.7304679957,20979.7304679957,20979.7304679957
0 h 34 min,40826.3961474927,40826.3961474927,40826.3961474927
0 h 36 min,68611.3718571939,68611.3718571939,68611.3718571939
0 h 38 min,96587.5722270296,96587.5722270296,96587.5722270296
0 h 40 min,124568.821107107,124568.821107107,124568.821107107
0 h 42 min,152550.234393487,152550.234393487,152550.234393487
0 h 44 min,180531.655851214,180531.655851214,180531.655851214
0 h 46 min,208513.071877449,208513.071877449,208513.071877449
0 h 48 min,236494.487046203,236494.487046203,236494.487046203
0 h 50 min,264475.932302431,264475.932302431,264475.932302431
0 h 52 min,292457.347100956,292457.347100956,292457.347100956
0 h 54 min,320438.768268729,320438.768268729,320438.768268729
0 h 56 min,348420.196415049,348420.196415049,348420.196415049
0 h 58 min,376401.615045526,376401.615045526,376401.615045526
1 h 0 min,404383.035500637,404383.035500637,404383.035500637
1 h 2 min,432364.458787324,432364.458787324,432364.458787324
1 h 4 min,460345.88330284,460345.88330284,460345.88330284
1 h 6 min,488327.307182893,488327.307182893,488327.307182893
1 h 8 min,516308.730414104,516308.730414104,516308.730414104
1 h 10 min,544290.153832364,544290.153832364,544290.153832364
1 h 12 min,572271.577282982,572271.577282982,572271.577282982
1 h 14 min,600253.001108066,600253.001108066,600253.001108066
1 h 16 min,628234.425156832,628234.425156832,628234.425156832
1 h 18 min,656215.849421788,656215.849421788,656215.849421788
1 h 20 min,684197.273694434,684197.273694434,684197.273694434
1 h 22 min,712178.697816185,712178.697816185,712178.697816185
1 h 24 min,740160.121809906,740160.121809906,740160.121809906
1 h 26 min,768141.545606377,768141.545606377,768141.545606377
1 h 28 min,796122.969328672,796122.969328672,796122.969328672
1 h 30 min,824104.392863599,824104.392863599,824104.392863599
1 h 32 min,852085.816169618,852085.816169618,852085.816169618
1 h 34 min,880067.239352876,880067.239352876,880067.239352876
1 h 36 min,908048.662666477,908048.662666477,908048.662666477
1 h 38 min,936030.085910581,936030.085910581,936030.085910581
1 h 40 min,964011.509074801,964011.509074801,964011.509074801
1 h 42 min,991992.932148753,991992.932148753,991992.932148753
1 h 44 min,1019974.35512205,1019974.35512205,1019974.35512205
1 h 46 min,1047955.77815646,1047955.77815646,1047955.77815646
1 h 48 min,1075937.20139542,1075937.20139542,1075937.20139542
1 h 50 min,1103918.62460224,1103918.62460224,1103918.62460224
1 h 52 min,1131900.04777692,1131900.04777692,1131900.04777692
1 h 54 min,1159881.47091945,1159881.47091945,1159881.47091945
1 h 56 min,1187862.89402984,1187862.89402984,1187862.89402984
1 h 58 min,1215844.31710809,1215844.31710809,1215844.31710809
2 h 0 min,1243825.74015419,1243825.74015419,1243825.74015419
2 h 2 min,1271807.16316816,1271807.16316816,1271807.16316816
2 h 4 min,1299788.58614998,1299788.58614998,1299788.58614998
2 h 6 min,1327770.00909966,1327770.00909966,1327770.00909966
2 h 8 min,1355751.43201719,1355751.43201719,1355751.43201719
2 h 10 min,1383732.85490259,1383732.85490259,1383732.85490259
2 h 12 min,1411714.27786683,1411714.27786683,1411714.27786683
2 h 14 min,1439695.70094106,1439695.70094106,1439695.70094106
2 h 16 min,1467677.1240065,1467677.1240065,1467677.1240065
2 h 18 min,1495658.54706316,1495658.54706316,1495658.54706316
2 h 20 min,1523639.97011104,1523639.97011104,1523639.97011104
2 h 22 min,1551621.39315014,1551621.39315014,1551621.39315014
2 h 24 min,1579602.81618046,1579602.81618046,1579602.81618046
2 h 26 min,1607584.23920199,1607584.23920199,1607584.23920199
2 h 28 min,1635565.66221475,1635565.66221475,1635565.66221475
2 h 30 min,1663547.08521872,1663547.08521872,1663547.08521872
2 h 32 min,1691528.50821391,1691528.50821391,1691528.50821391
2 h 34 min,1719509.93120032,1719509.93120032,1719509.93120032
2 h 36 min,1747491.35417795,1747491.35417795,1747491.35417795
2 h 38 min,1775472.7771468,1775472.7771468,1775472.7771468
2 h 40 min,1803454.20010686,1803454.20010686,1803454.20010686
2 h 42 min,1831435.62305815,1831435.62305815,1831435.62305815
2 h 44 min,1859417.04600065,1859417.04600065,1859417.04600065
2 h 46 min,1887398.46893438,1887398.46893438,1887398.46893438
2 h 48 min,1915379.89185932,1915379.89185932,1915379.89185932
2 h 50 min,1943361.31477548,1943361.31477548,1943361.31477548
2 h 52 min,1971342.73777132,1971342.73777132,1971342.73777132
2 h 54 min,1999324.16079535,1999324.16079535,1999324.16079535
2 h 56 min,2027305.5838176,2027305.5838176,2027305.5838176
2 h 58 min,2055287.00683807,2055287.00683807,2055287.00683807
3 h 0 min,2083268.42985677,2083268.42985677,2083268.42985677
3 h 2 min,2111249.85287369,2111249.85287369,2111249.85287369
3 h 4 min,2139231.27588884,2139231.27588884,2139231.27588884
3 h 6 min,2167212.69890221,2167212.69890221,2167212.69890221
3 h 8 min,2195194.12191381,2195194.12191381,2195194.12191381
3 h 10 min,2223175.54492363,2223175.54492363,2223175.54492363
