,1572683
iteration,31453.0
walker,3.0
chain,3.0
k_tx,2.2857203999787052
K_tx,0.9403418743322012
k_rna_deg,-2.8640575417388328
k_tl,1.309628425410612
K_tl,0.679406302739572
k_mat,0.6097015997235699
k_csy4,0.4896355321996123
k_tx_init,-0.305864326912688
k_star_bind,-0.5930951537297011
k_star_unbind,0.1414396665453169
k_star_act,0.405889637635055
k_star_act_reg,-0.3096866035656181
k_star_stop,-0.2165168641295561
k_star_stop_reg,-1.2624709300531314
likelihood,-264.2522475849006
prior,-12.5337420503476
posterior,-276.7859896352482
step_accepted,1.0
new_criteria,-339.4546998869862
