,5280461
iteration,88007.0
walker,3.0
chain,5.0
k_tx,0.576539025844146
k_rna_deg,0.2573846596866667
k_tl,1.9491703109605063
K_tl,1.330963242447435
k_mat,0.9554685659890528
k_csy4,0.4729215784939545
k_tx_init,-0.2118744405620497
k_star_bind,-1.3046437628230303
k_star_unbind,-0.2039576782057256
k_star_act,0.0472532332635067
k_star_act_reg,-0.7909291133172378
k_star_stop,-0.2913600962603111
k_star_stop_reg,-1.0127286928210963
likelihood,-256.07875320248047
prior,-12.410823651170965
posterior,-268.48957685365144
step_accepted,1.0
new_criteria,-305.72204780716436
