,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"0 h 30 min",,14431,23179,22731,29240,24292,24238,35497,33192,32467,22327,18774,33627,24572,21241,23235,19654,21342,19331,16912,27264,16793,16134,19342,18832,19454,14981,14025,16954,16230,26029,18287,20994,17563,19428,21848,19312,23722,18571,23447,20755,21524,15792,15801,16668,18538,29694,26442,24813
"0 h 32 min",,14951,22929,23153,28526,25153,24272,37068,33232,32848,23098,19670,33119,24800,21748,24158,20055,19958,19993,17348,25470,17223,16913,19792,20414,19111,15729,14531,17425,16734,25889,18205,20974,17492,20159,22768,20674,26531,19657,25608,21306,21799,16522,15856,17171,18712,29852,27773,25150
"0 h 34 min",,14990,23490,22917,29722,24595,24591,36648,33922,33379,23168,19938,34531,26127,22675,24916,20447,21970,20144,17292,27609,17309,16696,19822,19495,19648,15453,14432,17501,17014,26469,19070,21590,18247,19702,22303,20157,24291,19122,23829,21036,21871,16483,16187,17469,18914,30922,28014,26195
"0 h 36 min",,15347,23239,23329,30575,25009,25288,36886,34614,33700,23713,20905,35513,26969,23956,26300,20733,22420,20048,17690,27842,17599,17482,20186,20255,19992,16077,14792,17982,16793,27132,18974,21830,18271,19779,23011,20277,24659,19728,23976,21255,22064,16717,16506,17960,19475,31328,29103,26603
"0 h 38 min",,15147,23860,23351,30156,25263,25245,37746,33716,33382,24364,20373,35727,28058,24127,26077,20798,22468,20925,17132,28029,17813,16885,20079,19483,19935,15550,14737,18052,17090,26941,19568,21941,18794,20195,22752,20384,24268,19782,23910,21726,22319,16767,16502,17958,19460,31757,30030,27156
"0 h 40 min",,15386,23694,23600,29936,26076,25843,39337,34325,34212,25171,20919,36194,28738,25223,27168,21110,21164,21448,18191,26526,18077,17138,20705,20392,20234,16274,15388,18257,17824,27095,19481,22030,18306,21641,23614,21314,27320,20573,26647,22612,23342,17418,16684,18282,19807,31870,31439,27987
"0 h 42 min",,15800,23813,24181,30544,26674,26577,38770,35232,35053,25697,22350,36907,29796,26422,28573,21406,22092,21895,18596,27157,18497,17927,20758,21551,20717,16567,15595,18704,18154,27179,19990,22346,18542,22238,24342,21571,28043,20634,26615,22886,23424,17762,16640,18401,19925,32847,32669,29537
"0 h 44 min",,15802,23879,24417,31060,26828,26798,39505,36117,36152,26724,23157,37443,30091,27332,29344,21812,22423,22038,18809,27639,18855,17861,21066,21497,20512,16950,15868,19058,18566,27190,20284,22919,18334,22405,25152,21779,28427,21148,27125,23324,24026,18216,17353,18760,20550,34344,33326,30682
"0 h 46 min",,15934,23865,24002,31342,27104,26950,40139,36203,35992,27084,23226,38271,31599,28383,30214,22030,22714,22191,19432,27241,18945,17979,21378,21725,20810,16937,16145,19448,18810,27993,20336,23185,18782,22723,25240,22425,28547,21763,27033,23373,24216,18320,17661,19103,20904,34743,34603,32002
"0 h 48 min",,16138,24517,24080,32116,26825,26990,40044,36631,36444,27151,24049,39646,33046,29229,31482,22581,24733,22298,19305,29285,19186,17956,21105,20799,20910,17003,15979,20061,19575,28836,20946,23954,19778,22039,25229,21683,26262,21101,25872,23811,24153,18458,17895,19185,21393,36448,35375,33286
"0 h 50 min",,17026,24807,25362,31844,28116,27183,41090,37734,37401,28611,25312,40289,33516,30188,33175,23383,23661,23307,20005,28140,19882,18847,22673,22738,22052,18047,16604,20304,19578,28391,21031,23911,19962,23605,26029,23025,29645,22084,28219,24440,24990,19145,18384,19983,21225,37077,36925,34458
"0 h 52 min",,16612,24558,24735,32049,28165,27740,42316,38240,37881,29571,25442,41074,35119,31674,34468,23125,23985,23693,20271,28435,20469,18661,22497,23079,21801,18021,16883,20696,20297,29045,21612,24501,19633,24127,26747,23216,29550,22643,28379,24639,25440,19476,18589,20051,22042,37644,38179,36105
"0 h 54 min",,17349,25385,25509,32275,28537,27524,43351,38585,38378,30150,27133,41956,36366,32798,35324,23787,24558,24571,20530,28724,20576,19241,22947,23249,22535,18423,17022,20763,20104,29275,22120,24989,20056,24875,27201,23683,30351,23124,29179,25242,25760,19752,19115,21032,22251,38664,39732,36927
"0 h 56 min",,17703,25774,25589,33405,29113,28611,43805,39767,38516,30719,27411,42564,38037,34039,36399,24528,24978,24769,20770,29055,21136,19985,23492,24232,22499,18717,17279,21629,20751,29817,22365,25102,20125,24979,27954,23893,30812,23671,29480,25671,25937,20333,19565,21278,22757,40066,41198,37938
"0 h 58 min",,17819,26057,26101,33593,29426,28581,44443,39386,38633,31697,28810,43789,39392,34857,37747,24743,25407,25287,21426,29214,21402,20023,23533,24324,23314,19164,17516,21247,20871,30421,22943,25576,20492,25867,28265,24631,31382,23904,29933,26200,26405,20362,20023,21581,23039,40739,42431,39020
"1 h",,18115,26369,26148,33854,29606,29316,44798,40357,39750,32619,28817,44348,41332,36474,38752,24998,25624,25281,21685,29646,21884,20569,24405,24853,23040,19660,18007,22315,21694,30620,23093,25845,20748,26562,28715,25279,31199,24703,30209,26308,27152,21109,20418,21742,23474,42223,43926,40798
