time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
0,20979.730467995745,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
2,21027.43990749754,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
4,21227.78102944646,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
6,21551.48299066102,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
8,21954.896285342365,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
10,22408.118125403846,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
12,22892.302930099373,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
14,23395.680277266343,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
16,23910.892027835485,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
18,24433.340127051157,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
20,24960.16041208506,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
22,25489.579037851574,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
24,26020.507232152835,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
26,26552.28503433596,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
28,27084.517127889983,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
30,27616.974488964643,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
32,28149.526636140807,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
34,28682.101211252793,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
36,29214.663243246454,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
38,29747.197505542736,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
40,30279.69881257864,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
42,30812.16784558187,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
44,31344.608532448678,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
46,31877.02574519432,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
48,32409.424074875722,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
50,32941.80740621332,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
52,33474.178500889815,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
54,34006.54013321524,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
56,34538.89460724732,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
58,35071.24382162198,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
60,35603.58935822006,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
62,36135.93216528118,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
64,36668.27291895339,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
66,37200.61205279507,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
68,37732.94996823436,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
70,38265.28704211525,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
72,38797.62353507806,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
74,39329.95964743334,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
76,39862.29545713372,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
78,40394.6310203406,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
80,40926.966392611605,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
82,41459.30162722689,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
84,41991.63678655877,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
86,42523.97189715634,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
88,43056.30697270976,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
90,43588.64201404565,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
92,44120.97702274201,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
94,44653.312010778274,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
96,45185.64698682446,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
98,45717.98196001796,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
100,46250.31693070161,star_antistar_1,Sense with 15 nM STAR and 5 nM antiSTAR,0,-2.966838374506
