time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
1 h 30 min,18049,19232,19142,35591,35957,33580,18058,17728,17596,22603,24902,23719,22940,21673,18282,23462,20334,20415
1 h 32 min,18041,18910,19208,36215,36730,34016,18096,17481,17873,22667,25186,24101,22967,21802,18157,23183,20496,20468
1 h 34 min,18248,19142,19418,36956,37225,34724,17982,17818,17883,23218,25357,24350,23071,22234,18370,23363,20898,20579
1 h 36 min,17937,19087,19325,37756,38497,35453,18293,17600,17679,23383,25940,24709,23408,22239,18181,23421,20924,20540
1 h 38 min,17768,19273,19095,38556,39099,36146,18418,17546,17886,23666,26224,25088,23497,22394,18379,23479,21086,21134
1 h 40 min,17881,19335,19534,39223,39592,36908,18238,17880,17947,23702,26198,24984,23795,22900,18486,23610,20893,21178
1 h 42 min,18285,18990,19623,40229,40430,37840,18424,17972,18010,23940,26776,25322,23799,22869,18429,23497,21334,21372
1 h 44 min,18280,19190,19354,41211,41213,38756,18380,17693,17849,24238,27233,25750,23965,23089,18633,23552,21251,21435
1 h 46 min,18254,19344,19272,41768,42407,39480,18708,18097,18166,24467,27525,25949,24210,23125,18500,23703,21589,21486
1 h 48 min,18105,19284,19603,42816,42747,40159,18348,17856,18235,24633,27593,26328,24801,23280,18504,23526,21588,21794
