time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
3 h 24 min,18120,18930,19412,38656,38437,38920,34178,34848,33947,35236,32951,32157,32163,31687,29210,27056,26859,25708,28605,29700,30723,27742,25902,30113,30301,31558,32440,30636,34160,34390,52444.5,55020.5,51117.5
3 h 26 min,18336,19114,19582,39152,38626,39393,34517,35170,34340,35335,32987,32608,32116,31710,29019,27173,27108,25802,28725,29989,30643,27682,25989,30464,30513,31924,32434,30879,34553,34326,53227.5,55748.5,51928.5
3 h 28 min,18602,19256,19779,39089,38818,39849,34978,35365,34487,35837,33221,32959,32999,32235,29347,27669,27034,25870,28587,30212,30826,27990,26158,30235,30871,32280,32913,31000,34928,35049,53579,55998.5,52514.5
3 h 30 min,18519,19448,19982,39601,39602,39906,35032,36135,34571,36098,33519,33050,32794,32179,29711,27713,27460,26505,29319,30309,30984,28375,26598,30803,31001,32400,33190,31281,35169,35346,53951.5,57143.5,53133.5
3 h 32 min,18664,19159,19777,39698,39778,40256,35482,35690,35037,36442,33656,33216,33088,32568,29586,27519,27452,26405,29148,30499,31559,28486,26456,30996,30963,32590,33725,31659,35164,35819,55099.5,57493.5,53710.5
3 h 34 min,18625,19460,19999,40522,40086,40571,35552,36284,35411,36492,34281,33435,33417,32701,30231,27949,27579,26758,29575,30951,31670,28622,26551,31085,31220,32843,33698,31779,35885,35591,54994.5,58087,54258.5
3 h 36 min,18617,19192,19865,40467,39998,41160,36029,36821,35425,37011,34117,33744,33423,32664,30208,27962,28027,26953,29215,30871,32175,28793,26806,31369,31759,32962,34373,32385,36199,35599,55870,58811,54888.5
3 h 38 min,18814,19443,19985,41121,40172,41411,36363,37073,35706,36852,34800,33847,33807,33256,30464,27999,28046,27076,29812,31010,32453,29059,27049,31502,31849,33443,34410,32509,36414,36379,56425.5,59499,55624.5
3 h 40 min,18414,19640,20123,41096,41252,41539,36552,37504,36499,37632,34916,34019,34154,33331,30712,28297,28450,27210,29854,31237,32302,28991,27158,32024,32033,33828,34778,32502,37043,36603,57156.5,60063,56031
3 h 42 min,18775,19725,20085,41720,41069,41833,36865,37585,36419,37791,35074,34411,34062,33326,30814,28358,28337,27309,29913,31517,32584,29361,27056,31881,32778,34096,34773,32713,36833,36848,57475.5,60901,56659.5
3 h 44 min,18830,19653,20201,42141,41211,42419,37126,37934,36553,38013,35120,34544,34677,33989,30889,28579,28221,27001,30489,31406,32749,29484,27420,32013,32755,33745,34703,32784,37406,36987,58116,61510.5,56964
3 h 46 min,18991,19972,20065,42304,42047,42497,37709,38297,36878,38315,35457,34606,34643,33957,31085,28554,28648,27640,30408,32053,32823,29698,27575,31954,32709,34373,34992,33562,37321,37719,58710.5,61805.5,57828.5
3 h 48 min,18911,19954,20284,42553,41835,43046,37463,38442,37487,38385,35565,35012,34933,34077,31583,28816,28864,27724,30733,31836,33253,29991,27581,32463,33089,34604,35816,33377,38180,37719,58854,62391.5,58532.5
3 h 50 min,19414,19903,20357,42393,42317,43334,38167,38416,37379,38535,35647,35248,35185,34426,31633,29351,28722,27890,30625,32197,33333,29751,28022,32647,33032,34568,36118,34290,37849,38344,59858.5,63097,58958
3 h 52 min,19107,20031,20502,43252,43349,43484,38319,38949,37431,39008,36192,35562,34996,34837,32052,29043,28814,28119,31023,32666,33599,30303,27871,33127,33699,34994,35811,34148,38153,38184,60507.5,63731,59514.5
3 h 54 min,19196,20011,20567,43689,42892,43993,38498,39499,37996,39064,36634,35407,35421,34863,32302,29460,29148,27862,31110,32574,33644,30468,28399,33284,34073,35110,36597,34311,39086,38696,61205.5,64779,60053.5
3 h 56 min,19247,20217,20776,44154,43322,44403,38671,39659,38227,39211,36442,35957,35755,34886,32159,29299,29534,28376,31250,32862,34182,30616,28262,33252,33971,35407,36877,34719,39394,38814,61623.5,65195,60505
3 h 58 min,19631,20001,20393,44273,43889,44531,38938,40099,38526,39599,37027,36251,35988,35464,32653,29435,29365,28433,31311,33054,34119,30887,28854,33632,34220,35616,37103,34778,38936,39151,62139.5,65720,61595
4,19730,20318,20505,44372,44116,45097,39566,39845,39071,40119,37022,36418,36091,35466,32830,29943,29837,29080,31658,33010,34160,30961,28513,33611,34474,36016,37473,35070,39709,39564,63004.5,66506.5,62248
4 h 2 min,19934,20313,20671,44931,44690,45164,39734,40217,39541,40271,37534,36709,36580,35764,32809,29768,29649,28916,31825,33062,34373,31474,28801,33585,34802,36186,37847,35669,39948,39878,63749,66818,62576
4 h 4 min,19654,20058,20709,45232,45057,45306,40034,40931,39248,40279,37617,36581,36828,35773,32805,30176,29712,28952,32205,33627,34494,31466,29415,34050,35198,36650,37839,35653,39855,40139,64047,67569,63733.5
4 h 6 min,19680,20478,20836,45724,45426,45784,40077,40815,39946,40756,37293,36998,36993,36008,33128,30666,30059,29161,32221,33396,34558,31499,29241,34754,35087,36758,38195,36008,40556,40701,64613.5,68139.5,63937
4 h 8 min,19841,20262,21012,45817,45855,45814,40783,41272,40017,40771,37809,37211,36931,36306,33628,30342,30229,29223,32053,33837,35295,31678,29085,34622,34934,36834,38326,36705,40709,40739,65030.5,68936.5,64547
4 h 10 min,19948,20278,21087,46063,45806,46754,40368,41654,40340,40963,38093,37468,37307,36750,33802,30714,30539,29410,32576,33660,35099,31829,29538,34830,35669,37217,38720,36829,41391,41180,66039.5,69760.5,65062
4 h 12 min,20044,20476,21030,46481,46557,47105,41286,41539,40881,41800,38685,38003,37605,36848,33603,30660,30419,29483,32638,34271,35150,32107,29699,34895,36024,37730,39290,36252,41526,40872,67048,70332.5,65888.5
4 h 14 min,19968,20719,21095,46986,46575,46708,41682,42111,40983,41826,38549,37960,37952,37313,34393,30958,30866,29563,32850,34299,35371,32264,29868,34923,35992,37669,39568,36883,41872,41367,67570,70683.5,66221
4 h 16 min,20076,20776,21195,47120,47015,47573,41615,41950,41380,41982,38990,38416,38057,37264,34506,30783,30723,30020,33176,34668,35933,32629,30080,35324,36382,37806,39635,37525,41922,41976,68232.5,71543,66920
4 h 18 min,20171,20515,21313,47548,47545,48118,42121,42489,41376,42518,39166,38603,38198,37724,34500,31256,31125,30200,33059,34777,35858,32610,30197,35270,36611,38077,39758,37520,42745,42156,69019,72049.5,67503
4 h 20 min,20088,20637,21146,47721,47850,48493,42325,42727,41558,42271,39012,39144,38400,37474,34838,31363,31061,30412,33289,35241,36095,32964,30234,35835,37305,38299,39991,37964,42792,42669,69964,72822.5,68135
4 h 22 min,20236,20963,21457,48371,48282,48845,42802,43501,42187,42700,39488,39052,38898,37661,34936,31222,31593,30293,33448,35293,36150,32787,30522,36263,37306,38783,40332,38093,43014,43069,70674,73429.5,68995.5
4 h 24 min,20236,20722,21581,48454,48388,49167,43033,43481,42272,42932,39998,39393,39056,38183,35064,31727,31532,30244,33535,35287,36807,33778,30914,36020,37551,39301,40774,38210,43229,43363,71407.5,74477,69261
4 h 26 min,20326,20853,21719,48717,48824,49585,43584,43620,42784,43348,40262,39632,39017,38445,35336,31966,31908,30565,33747,35421,36497,33759,31045,36434,37860,39354,40769,38748,43649,43618,72314,75011.5,69963
4 h 28 min,20201,20943,21472,49487,49742,49571,43501,43825,43130,43513,40467,39660,39543,38233,35572,32087,31791,30774,34012,35712,36653,33644,31299,36443,37935,39339,41063,38657,43882,44046,72194.5,75872.5,70791.5
4 h 30 min,20618,21008,21934,49781,49496,49968,43536,44230,43227,43490,40658,39999,39470,38918,36148,32598,32074,30866,34120,35602,36639,33916,30931,36754,38069,39870,41375,38975,44441,44535,73350,76449.5,71343.5
4 h 32 min,20532,20944,22026,49848,50080,50539,44098,44917,44101,44223,40664,40438,39714,39303,35767,32857,32134,30897,34232,36011,37340,34095,31151,37177,38279,40119,41622,39074,45020,44549,74074,76961.5,72294
4 h 34 min,20631,21032,21834,50236,50070,50685,44348,45207,43900,44429,40949,40672,39970,39472,36364,32733,32258,31174,34646,35964,37333,34440,31473,37269,38734,40049,42062,39848,45075,44587,74573,78351.5,72832.5
4 h 36 min,20670,21074,22087,50832,50431,51078,44208,45293,44363,44872,41589,40739,40235,39928,36428,33312,32432,31584,34833,36390,37710,34134,31764,37363,38822,40512,42165,39865,44980,45330,75094.5,78615,73549
4 h 38 min,20766,21043,22200,51351,50844,51579,44772,45631,44654,44793,41915,40774,40830,40096,36731,33440,32309,31629,34765,36614,37387,34103,32111,37744,39100,40985,42403,39962,46044,45097,75491,79384.5,74157.5
4 h 40 min,20583,21226,22060,51728,51280,51838,45129,45853,44962,45473,41502,41361,40777,39786,36723,33270,32839,31828,35254,36988,37937,34670,31954,37891,39296,40975,42727,40219,45991,45357,76451.5,80242.5,74871.5
4 h 42 min,20811,21196,22328,51624,51316,51962,45485,46427,45020,45389,42294,41430,41351,40530,37298,33918,32842,31858,35005,36710,37927,34939,32418,38147,39695,41133,42992,40380,46026,46023,77553,81046,75649.5
4 h 44 min,20987,21428,22331,51906,51730,52021,45537,46281,45221,45382,42803,41792,41098,41213,37194,33923,33353,32020,35281,37060,38173,35021,32309,38612,39609,41286,43088,40994,46390,46741,77921,81367.5,76738
4 h 46 min,20739,21661,22179,52901,52244,52869,45931,46660,45675,45505,42848,41728,41629,40988,37167,33922,33627,32197,35304,37240,38143,34991,32369,38459,40043,41795,43783,41465,46982,46856,78994.5,82184.5,77258.5
4 h 48 min,20860,21351,22434,52863,52437,53283,46703,47135,46356,46317,42814,42327,41802,40997,37754,34191,33486,32473,35572,37541,38651,35347,32732,38669,40187,42042,43887,41427,47180,47016,79387.5,82717,78153.5
4 h 50 min,21005,21546,22501,53332,53045,53025,46589,47275,46448,46526,43311,42524,42488,41970,38200,34443,33487,32431,35871,37867,38652,35602,32960,38807,40913,41751,43953,41831,47673,47984,79925.5,83518.5,78561.5
4 h 52 min,21052,21715,22344,53401,53153,53532,46746,47432,46507,46598,43789,42736,42007,41772,38102,34418,33723,32939,35971,37763,38733,35586,33349,39018,40852,42374,44207,42339,47409,47539,81195.5,84125,79119
4 h 54 min,21021,21894,22537,53999,53446,53948,47104,48388,46950,47097,43852,43068,42773,41941,38483,34413,34248,32844,36317,37667,39132,35804,33267,39348,40972,42725,44728,42439,47741,48148,81431.5,85028.5,80051.5
4 h 56 min,21087,21907,22398,54301,53819,54034,47041,48062,46996,47088,44041,43134,42719,42060,38541,34939,34409,32829,36098,38039,39429,35930,33222,39593,41038,42868,44944,42567,48360,48477,82172,85601.5,80825.5
4 h 58 min,21387,21668,22953,54877,53880,54907,47370,48980,47127,47086,44293,43380,42988,42101,38656,34811,34696,32941,36556,38796,39743,36599,33549,39715,41785,42866,44928,43194,48483,48449,82880.5,86477,80968
5,21306,21728,23054,54545,54416,54902,48075,48882,47895,47956,44345,43819,43221,42194,38997,35036,34401,33145,36397,38777,39790,36394,33629,39908,41787,43473,45249,43359,49079,48893,83491.5,87241,82410.5
5 h 2 min,21454,22061,22938,55631,54715,55009,48035,49356,47689,47630,44492,43846,43234,42615,39348,35061,34477,33492,36790,38841,39640,36385,33873,40532,41959,43240,45792,43228,48601,49779,84007.5,88227,82730
5 h 4 min,21011,22185,23052,55857,55170,55476,49014,49446,48152,48114,44559,44046,43416,43260,39309,35072,34883,33978,36819,38792,39999,36743,34020,40269,42236,43698,46044,43683,49522,49517,84493,88975.5,83514
5 h 6 min,21278,22212,22874,56001,55928,56248,48853,50354,48329,48330,45511,44220,43856,42987,39565,35462,34993,33888,36792,39338,40616,37423,34043,40957,42462,44648,46003,44057,50222,50102,86194.5,89440.5,83968.5
5 h 8 min,21372,22285,22943,56162,55786,55918,48987,49987,48792,48688,45660,44445,43991,43279,39727,35442,34898,33926,37366,38891,40882,37305,34236,40794,42707,44645,46608,44326,50061,50360,86312,90012,85200.5
5 h 10 min,21388,22171,23311,56844,55932,56041,49228,50440,48865,48829,45133,44720,44322,43479,39521,35528,35229,33926,37374,39603,40722,37395,34301,40995,42524,44724,47034,44488,50274,50880,86909.5,90971.5,85616
5 h 12 min,21494,22433,23088,56973,56405,56808,49127,51071,49344,49054,45977,44853,44069,43441,40175,35844,35623,34329,37325,39439,40849,37528,34920,41323,42901,45464,47185,44824,50452,51041,87505.5,91629,86474
5 h 14 min,21468,22552,23034,57078,56645,57011,49860,50820,49940,49345,46130,45168,44529,43843,40089,35695,35726,34464,37531,39891,40672,38344,34920,41543,43440,45086,47402,45327,51212,51264,88354.5,92806.5,87184
5 h 16 min,21556,22525,23292,57196,56630,57355,49623,51291,49151,49530,46185,45687,44505,44261,40699,36216,36229,34574,38002,39702,41259,38474,34836,41529,43757,45700,47453,45741,50911,51904,88985,93271.5,87883.5
5 h 18 min,21416,22525,23169,57425,56727,57183,49986,51406,49606,49831,46239,45319,44917,44092,40636,36332,36026,34490,37863,39929,41061,38781,35451,42220,44090,46096,47834,45668,51389,52139,89821,93547,88846
5 h 20 min,21640,22585,23414,58000,57687,57693,50785,52018,50056,49513,46373,45542,44835,44478,40669,36381,35994,34592,37869,40344,41396,38798,35426,41816,44435,46016,48104,46388,51788,52580,90231,94929,89044
5 h 22 min,21642,22872,23443,58690,57695,58234,50300,51936,50251,50164,46957,45849,45238,44410,40971,36389,36284,34850,38368,40322,41582,39252,35513,42063,44883,46154,48129,46790,52008,52245,90811.5,95497.5,89721
5 h 24 min,21694,22818,23228,58468,57730,58247,50889,52007,50470,50467,46821,46171,45447,44463,40628,36527,36555,34876,38372,40557,41943,39318,36228,42390,45299,46657,48453,46559,52492,52515,91892,96063,90473
5 h 26 min,21927,23167,23688,58436,58316,58934,51039,52754,50920,50920,46901,46265,45820,44535,41186,36582,36372,35073,38459,40660,42310,39575,36557,42470,45695,47184,49128,46934,52785,53120,92432.5,96584,91199
5 h 28 min,21717,23168,23392,58975,58036,58760,50827,53122,51198,50857,47037,46494,45770,44643,41195,36238,36472,35363,38925,40949,42095,39826,36946,42772,46091,47612,49110,47314,53269,53235,93016,97826.5,92004
5 h 30 min,21761,22834,23575,59223,58946,59297,51590,53315,51305,51195,47363,46697,45680,44923,41465,36733,36857,35393,38968,41032,42604,39764,37026,42919,46140,47642,49873,47771,53005,53423,93912,98290,92368.5
5 h 32 min,21682,22823,23477,59231,59264,59359,52133,53293,51381,50996,47503,46541,46171,45087,41618,37047,36658,35830,39442,41223,42445,40111,37406,43146,46040,47504,50145,48135,53148,53794,94722,99455,92947.5
5 h 34 min,21889,23329,23737,59546,59171,59614,52173,53867,51790,51701,47499,47192,46378,45592,41373,37334,36623,35928,39373,41082,42681,40372,37464,43005,47037,48364,50163,48058,53664,54178,95275.5,99548,93609
5 h 36 min,21859,23158,23687,59626,59725,59817,51885,53804,51490,51467,48173,47262,46334,45282,41864,37038,36762,36160,39501,41338,43060,40689,37588,43251,47001,48348,50394,48783,54338,53999,95835.5,100787.5,94254.5
5 h 38 min,21935,23205,23804,59846,59652,59603,52827,53781,52101,51546,47910,47473,46750,45638,42001,37220,36771,36321,39887,41469,43083,40940,37766,43289,47271,48311,50384,49000,53940,54468,96597,101501,94941.5
5 h 40 min,21748,23629,23802,60212,59764,59802,52705,54315,51969,51937,48058,47129,46680,45573,42128,36833,37195,36394,39718,41810,43416,41236,37940,43235,47676,48941,50584,49108,54763,54755,97424,102252.5,95616.5
5 h 42 min,22095,23340,23647,60718,60208,60691,52967,54241,52240,52025,47850,47683,46895,45369,42250,37610,37431,36751,40185,42141,43535,41703,37880,43689,47549,49188,51193,49568,55065,55108,97905,102549,96947.5
5 h 44 min,21921,23419,23879,60807,60282,60829,53297,54955,52169,52167,48577,47907,46967,45978,42652,37306,37307,36682,40311,42243,43745,41390,38504,43418,48300,49225,50848,49454,55478,55501,98091,103359.5,96927
5 h 46 min,22092,23288,23529,61061,60572,60677,53173,54957,52370,52332,48538,47896,47277,46095,42391,37625,37123,36833,40507,42799,43426,41279,38631,43297,47951,49736,51168,49658,54876,55757,99210,103644.5,98027
5 h 48 min,22002,23465,23904,61812,60719,61491,53846,55521,52609,52607,48084,47853,47079,46079,42746,37528,37743,36733,40647,42808,43938,41932,39108,43845,48528,49886,51500,50138,55378,55641,100048,104960,98593.5
5 h 50 min,21977,23226,23736,61526,60869,61800,53764,55264,52638,52272,48563,48181,47545,45763,42933,37665,37573,36670,40856,42788,43705,42314,39002,43656,48231,49913,51724,50227,55776,56038,100376,105944,99141
5 h 52 min,22090,23381,23918,61614,61481,62006,54141,55598,53015,52497,48904,48461,47350,46056,43395,37605,37308,37204,40876,42869,44597,42140,38839,43769,48740,50518,52205,50384,56624,56519,101357.5,106274,99558
5 h 54 min,22535,23817,24079,61558,61272,62295,54324,55456,53405,52926,48789,48292,48122,46388,43609,37725,37864,37098,41359,43234,44161,42573,39566,44050,48866,50072,52528,50558,55928,56449,102020,107230.5,100533.5
5 h 56 min,22091,23694,24077,61421,61738,61965,54177,55926,53635,53059,49137,49087,47791,46838,43513,37748,37564,37520,41080,43847,44756,42625,39194,44292,49192,50784,52621,51565,56906,56950,102940.5,107759,101207.5
5 h 58 min,22149,23463,24044,61975,62167,61743,54130,56085,53499,53355,49102,48496,47623,46675,43345,37887,37945,37557,41537,43885,44878,42364,39548,44252,48997,51149,53038,51261,56802,57078,103496,108297.5,101581
6,22073,23852,23961,62080,62102,62630,55122,56676,53875,53765,49414,48746,47508,46987,43426,37622,38083,37754,41201,43825,44959,43120,39623,44671,49572,50898,53271,51441,56804,57335,104189,109290.5,102362.5
6 h 2 min,22163,23741,23813,62316,62723,62557,55101,57250,53766,53946,49805,48805,48355,46743,43749,38107,38247,37746,41593,43743,44851,43339,39848,44672,49481,51319,53546,51725,57479,57892,104894.5,109788.5,103152.5
6 h 4 min,22164,23680,24110,62464,63004,63429,55415,57175,54225,53799,49468,49442,48221,47049,43267,38327,38043,37709,41481,44305,45176,43376,39954,44787,50098,51425,53857,51622,57549,57628,105462.5,110597,103168.5
6 h 6 min,22349,23843,24092,63029,62774,62853,55699,57076,54070,54310,49663,49267,47928,47073,43708,38461,37875,38264,41665,44507,45397,43651,40291,44601,49898,51775,53633,52122,57779,57402,106217.5,111173.5,104362.5
6 h 8 min,22315,23613,24079,63071,63401,63202,55840,57410,54239,54565,49209,49277,48250,47226,43689,38192,37996,38416,42335,44416,44848,43767,39795,44575,50659,52231,54489,52705,57780,58223,106725,112499.5,105202.5
6 h 10 min,22300,23961,24093,62803,63556,62941,55896,57946,54870,54617,49754,49663,48599,47125,43601,38220,38435,38227,42270,44808,45208,43255,40177,44924,50794,52670,54345,52696,58093,58136,107630,112842.5,106108.5
6 h 12 min,22415,23971,24277,63465,64098,63787,55580,57678,54574,54335,49953,49394,48783,47564,43979,38281,38351,38547,42608,45055,45400,43603,40148,44832,50632,52161,54726,52593,57486,58707,108268.5,113704,106163
6 h 14 min,22231,24066,24178,63607,64071,63686,56562,58119,54814,54283,50145,49753,48780,47505,43832,38205,38331,38749,42483,45457,45415,43764,40345,44908,50994,52628,54722,52802,58184,58321,109227.5,114146.5,107054.5
6 h 16 min,22694,23918,24244,63685,64159,63888,56577,58311,54614,54399,50405,49913,49079,47382,44009,38489,38612,38559,42723,45028,45642,44084,40703,45173,51141,52864,55019,52870,59081,59092,109694.5,115172.5,107519.5
6 h 18 min,22238,23820,24347,63987,64044,63905,56687,58606,55180,55068,50188,49798,49057,47824,44167,38415,38585,38595,42741,45614,45922,44095,40589,44933,51211,53145,55118,53787,58975,58675,110188.5,115509,108183
6 h 20 min,22560,24150,24327,64225,64233,64859,57138,58190,55064,55127,50320,49913,49128,47840,44303,38476,38497,38770,43192,45785,45848,44070,40777,45312,51603,53224,55344,53821,59488,59226,111013,116469.5,109110
6 h 22 min,22597,24034,24460,64267,64576,64400,57106,58971,55356,55491,50352,50072,49059,48272,44072,38908,38707,39149,42936,46218,46055,44570,40891,45146,51760,53366,55641,53563,59096,59500,111661,117553.5,109996.5
6 h 24 min,22410,23995,24324,64719,64511,64977,57816,58837,55983,55496,50726,49911,49624,47957,44475,38760,38861,39025,43411,45643,46277,44503,41113,45521,52199,54017,56184,54166,59628,59660,112614,117728,110462.5
6 h 26 min,22352,23880,24293,65084,64847,65190,57381,59112,56022,55694,50650,50336,49518,48119,44529,38677,38551,39047,43481,46274,46305,44443,41497,45538,51651,53713,55995,54247,59585,60035,113032,118787,110743.5
6 h 28 min,22702,23903,24487,64881,65339,65240,57542,59770,55960,55423,50887,50571,48955,48058,44347,38853,38818,39337,44011,45974,46267,44915,41235,45617,52020,54358,55946,54641,60296,60060,113701.5,118982.5,111896
6 h 30 min,22678,24550,24680,64911,65378,65270,57578,59224,56108,55806,50656,50972,49653,48188,44589,39200,39128,39447,43955,46285,46651,44770,41359,45723,52020,54162,56676,54718,60350,60086,114576,119793,112232
6 h 32 min,22584,24180,24412,65652,65738,65300,58193,60119,56569,55802,51379,50945,49741,48123,44825,38921,39195,39436,43878,46054,46348,45307,41248,45925,52373,53778,56657,55007,60381,60997,114645.5,121523,112877.5
6 h 34 min,22844,24430,24546,64933,65629,65869,58357,59673,56088,55649,51550,50777,49760,48459,44929,39273,39267,39205,43870,45918,46673,45471,41486,46362,52514,54290,57239,54920,60871,61054,116045.5,122018.5,113419
6 h 36 min,22567,24045,24394,65667,66021,66032,58741,59975,56238,56093,51730,51074,49974,48718,45011,39156,39550,39790,44207,46466,47006,45101,41417,46555,52746,54672,57441,54886,60801,60507,116445.5,122453.5,114387
6 h 38 min,22519,24080,24611,65495,66315,66092,58223,60293,56190,56208,51420,51199,49849,48447,44724,39362,39440,40036,44541,46721,46757,45371,41429,45928,52822,54672,57484,55067,61250,61006,116655.5,122580.5,115288.5
6 h 40 min,23028,24252,24804,65907,66594,65912,58778,60478,57090,56064,51576,51232,50405,48820,44536,39209,39206,40158,44702,46791,46959,45236,41608,46414,52947,54925,57730,55523,61263,61374,117636,123706.5,115642.5
6 h 42 min,22724,24447,24694,66205,66715,66041,58648,60870,57187,56407,51826,51267,50121,49155,45487,39478,39519,40055,44788,46755,47128,46038,41844,46367,53206,55395,57970,55681,61653,61011,118567,124600,116029.5
6 h 44 min,22687,24497,24649,66149,66820,65943,58682,60846,56904,56685,51890,51425,50392,48797,45213,39356,39914,39908,45196,47119,47707,45643,42026,46477,53369,55006,58314,55990,61908,61745,119016,125212.5,117197.5
6 h 46 min,22444,24392,24835,66325,66982,66860,59062,60846,57433,56504,51482,51302,50795,49192,45384,39347,39665,40234,44797,47434,47203,46039,42183,46299,53202,55508,58460,56276,61968,61954,120193,125966,117902
6 h 48 min,22694,24179,24566,66314,66693,66753,59422,60807,57233,56497,52200,51981,50813,49158,45605,39169,39549,40116,45121,47329,47324,46147,42406,46590,53737,55595,58528,56193,62450,62324,120333.5,126274,118578
6 h 50 min,22548,24334,24866,66878,67759,67018,59611,61375,57748,57484,52643,51964,50604,49105,45459,39404,39665,40431,45403,47439,47410,46123,42108,46395,53707,55563,58658,56146,62390,62097,121517,127305.5,118977.5
6 h 52 min,22558,24134,25094,66808,67338,67471,59843,60925,57636,57243,52684,51665,50791,49238,45799,39410,39669,40386,45326,47299,47373,46040,42209,46333,53846,55667,58625,56620,63110,62708,121858,127982,119802
6 h 54 min,22612,24247,24762,67259,67463,67571,59755,61576,58116,57148,52326,51903,50545,49299,45836,39403,39655,40580,45563,47270,47853,46596,42623,46804,53993,55644,58944,57055,62980,62996,123120,129023.5,120734
6 h 56 min,22707,24521,25216,66952,67294,67273,60081,61923,57775,57239,52423,52073,50899,49201,45712,40117,39831,40594,45510,47410,47591,46267,42844,46868,54075,56400,59329,57339,62865,63261,123256,129732,121130.5
6 h 58 min,22915,24271,24670,67621,67780,67809,60073,62077,58556,57283,52481,52242,51021,49348,45632,40039,39654,41055,45810,47840,47732,46127,42366,47290,54239,56263,59525,57399,63372,63493,123687,130442,121830.5
7,22560,24391,24758,67410,67798,67979,60239,61929,58265,57264,52754,52428,51043,49771,45855,39872,40076,40707,45938,47576,48274,46818,42914,46776,54456,56451,59632,57446,63682,63140,124627.5,131063.5,122722
7 h 2 min,22468,24575,25059,68436,68437,67729,60389,62339,58215,57219,52578,52578,51508,49749,46131,39990,39846,40693,45819,47916,47978,46954,42657,47231,54501,56695,59803,57677,63407,63919,125175.5,131906,123405
7 h 4 min,22268,24425,24800,68049,68767,68000,60298,62640,58290,57929,53048,52497,51786,49614,46130,39724,40350,41276,45907,47772,48084,46837,43004,47342,54707,56824,59975,58087,63996,63919,125958,132811.5,123771
7 h 6 min,22644,24430,24805,68213,68738,68239,60987,62671,58453,58276,53192,52756,51537,50229,46028,39695,40173,41141,46096,48017,48449,46660,42951,47612,54880,57472,60314,57810,63489,63809,126657,133421,124530.5
7 h 8 min,22617,24409,25022,68321,68997,68672,60725,62758,58795,57853,53447,52553,51297,49741,46007,40248,40153,41046,46146,48146,48497,47178,42993,47720,55280,57117,60567,58241,64564,64086,126932.5,133959,125496
7 h 10 min,22370,24566,24982,68197,69468,68340,61350,63117,58807,58104,53481,53073,51137,49900,45884,40203,40009,41339,46356,47828,48369,47154,43103,47321,55066,57472,60266,58098,64744,64209,127943,135276,125397.5
7 h 12 min,22607,24497,25098,69220,68743,68901,60947,63216,58876,58142,53256,52865,51665,50087,46551,39920,40214,41380,46291,47849,48955,47111,43207,47433,55112,57873,60841,58219,65015,64686,128560,135773,126260.5
7 h 14 min,22572,24796,24967,68533,69533,68989,61498,63544,59258,58567,53561,52933,51823,49942,46667,40355,40455,41542,46356,48469,48175,46922,43244,47559,55333,57685,60986,59121,64864,65039,129019,135997,127118.5
7 h 16 min,22335,24650,24849,68873,69431,68628,61622,63425,59196,58407,53481,53031,51675,50112,46388,40684,40120,41282,46618,48286,48982,47271,43029,47140,55048,57401,61323,58899,64906,65343,129622,137024.5,127903
7 h 18 min,22295,24519,25134,69568,69516,69518,61439,63690,59467,58257,53920,53223,51914,50470,46356,39807,39964,41745,47054,48220,48682,47600,43613,47333,56056,58123,61489,59334,65415,65331,130651.5,137822.5,128625
7 h 20 min,22147,24373,24945,69456,69280,68814,62305,63923,59579,58688,53860,53021,52122,50321,46892,40543,40245,41911,46882,48365,48572,47229,43684,47643,55978,58076,61714,58891,65285,65205,131204,137960.5,129106.5
7 h 22 min,22423,24768,25275,68996,70155,69661,62463,63813,59507,59132,53853,53547,52454,50199,46938,40295,40384,41787,46976,48645,48640,47643,43387,47816,55775,58149,61413,58888,65435,65441,130897.5,138726,129797
7 h 24 min,22407,24596,24974,69377,70723,69308,62325,63886,60235,58771,53827,53458,52237,50365,47244,40686,40579,42006,47079,48927,49228,48123,43453,47828,56006,58227,61799,59539,65515,65511,131923.5,139356,130138.5
7 h 26 min,22021,24767,25170,69388,70346,69684,62456,64388,59734,59297,54076,53993,52396,50543,47439,40727,40175,41878,47098,48440,48668,47814,43696,47457,56550,58657,61858,60079,66024,65791,132190,140590,131212
7 h 28 min,22083,24832,25108,69750,70278,70126,62885,64585,60216,59146,53859,53749,52343,50300,47223,40134,41072,41754,47231,48756,49275,48001,43867,47958,56764,58699,62688,59782,66684,66483,132884.5,141115,132038.5
