time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
5 h 34 min,72862,63090,73763,63759,69710,68595,56068,52549,50618,40710,40325,40067,35064,35525,35490,27389,29023,30382,22878,24532,24084,21889,23329,23737
5 h 36 min,73295,64282,73810,64400,69792,69283,56593,52619,51304,41160,40779,40887,35261,34982,35532,27366,28983,30676,22941,24335,23903,21859,23158,23687
5 h 38 min,73860,64575,74522,64830,70822,69695,57072,53081,51550,41588,40848,40756,35154,35782,35587,27571,28972,30800,22880,24702,23937,21935,23205,23804
5 h 40 min,74762,65205,75251,64937,71300,70409,56989,53338,51473,41514,41470,41231,35248,35686,36006,27997,29305,31100,22938,24397,24299,21748,23629,23802
5 h 42 min,75143,65612,75673,65489,71744,70630,57728,53752,52443,41962,41455,41405,35437,36285,35802,27862,29453,31116,23065,24665,24392,22095,23340,23647
5 h 44 min,75549,65996,76686,66020,72068,71605,58206,53940,52443,41798,41740,41764,35621,36165,36449,28367,29561,30781,23324,24595,24103,21921,23419,23879
5 h 46 min,76468,66336,76887,66895,72522,71547,58410,54779,52728,42422,41833,42224,36122,36231,36532,28258,29710,31263,23164,24464,24286,22092,23288,23529
5 h 48 min,76470,67142,77897,67172,73176,72501,58613,54806,53374,42387,42200,42613,36135,36172,36466,28074,29677,31198,22989,24381,24033,22002,23465,23904
5 h 50 min,77414,67152,77996,68078,74361,73493,59502,55213,53654,42418,42193,42454,36262,36523,36831,28474,29748,31006,23192,24509,24335,21977,23226,23736
5 h 52 min,78314,68085,78441,68448,74984,73385,59696,55231,54501,42834,42571,42673,36383,36552,37384,28418,30020,31348,23418,24437,24487,22090,23381,23918
5 h 54 min,78734,69097,79188,68957,75188,73188,60163,55570,55007,43385,42959,42940,36466,36941,37359,28757,29826,31484,23474,24879,24284,22535,23817,24079
5 h 56 min,78685,69234,79967,68541,75709,74652,60153,55886,54744,43317,42913,42766,36415,36861,37390,28406,30165,32028,23404,25345,24306,22091,23694,24077
5 h 58 min,79358,69407,79737,69859,76385,75530,60719,56325,55067,43602,43482,43248,37032,37085,37547,28942,29953,31932,23201,24832,24514,22149,23463,24044
6h,80254,69778,80623,70026,76919,75302,61001,56408,56023,44003,43891,43266,37123,37174,37829,28984,29930,31933,23382,24559,24345,22073,23852,23961
6 h 2 min,80858,70253,81477,71213,77384,76549,61416,57245,55631,44052,44015,43868,37319,37684,38005,28877,30479,31926,23467,24805,24261,22163,23741,23813
6 h 4 min,81391,70946,82283,70971,78310,76412,61724,57489,56178,44151,43823,43935,37165,37525,37945,29144,29829,32056,23572,24982,24452,22164,23680,24110
6 h 6 min,82036,71550,82006,71784,78723,76998,61922,57374,56317,44447,44837,44194,37276,37798,38061,28966,30487,32240,23292,25120,24725,22349,23843,24092
6 h 8 min,82970,71998,83105,71995,78648,78446,62310,58492,56879,44369,44891,45059,37605,38347,38039,29389,30447,32611,23714,24986,24330,22315,23613,24079
6 h 10 min,83136,72408,83630,72668,79599,78856,62924,58619,57130,45032,44737,44692,37955,38021,38409,29176,30545,32355,23333,25147,24662,22300,23961,24093
6 h 12 min,84278,72739,84071,73418,80280,78973,63478,58491,57919,45346,45239,45010,38095,38320,38807,29250,30417,32107,23826,25092,24591,22415,23971,24277
6 h 14 min,84869,72831,85148,73537,80830,78697,63811,58849,57701,45223,45168,45398,37795,38025,38773,29750,30418,32526,23670,24858,24318,22231,24066,24178
6 h 16 min,85110,74034,84850,74016,81690,79435,64178,59481,58381,46084,45848,45326,38489,38486,38946,29755,30956,32523,23661,25069,24436,22694,23918,24244
6 h 18 min,85620,73902,86221,74543,82267,80685,64178,60051,58646,45899,45553,45907,38395,38543,39115,29743,31177,32903,23693,24994,24821,22238,23820,24347
6 h 20 min,86363,74794,86420,75160,82860,80996,64892,60172,59425,46117,46077,45989,38507,38347,39370,29869,30763,32763,23718,25064,24695,22560,24150,24327
6 h 22 min,86710,75342,87137,75055,83707,81140,65384,60347,59443,46465,46410,46056,38718,39122,39500,30026,31038,32661,23503,25184,24921,22597,24034,24460
6 h 24 min,87333,75727,87446,75691,83911,82319,65709,61158,59538,46571,46311,45979,38712,38923,39799,29619,30899,32866,23693,25100,24996,22410,23995,24324
6 h 26 min,87730,76081,88528,76534,83575,82592,65695,61180,60086,46984,46801,46702,39215,38869,39944,30159,31425,33044,23883,25130,24782,22352,23880,24293
6 h 28 min,88157,76729,88634,76673,84717,83148,66465,61690,60282,47351,46996,46833,39570,39354,39840,30054,31200,33079,23828,25433,24990,22702,23903,24487
6 h 30 min,89350,77037,88682,77468,85480,84327,66672,62098,60543,47195,47366,47234,39331,39391,40157,30193,31013,33262,24040,25420,25016,22678,24550,24680
6 h 32 min,89572,77585,89630,78001,86236,84126,66788,61980,61411,47698,48099,47378,39622,39830,40034,30163,31243,33165,24023,25459,24915,22584,24180,24412
6 h 34 min,90752,78406,90879,78290,87259,84739,67694,62406,61840,47680,48235,47503,40244,39391,40495,30269,31439,33180,23824,25490,24885,22844,24430,24546
6 h 36 min,90892,78536,91559,79274,87190,85792,67795,63190,62025,48191,48115,47954,39867,39974,40854,30038,31208,33262,23791,25482,25121,22567,24045,24394
6 h 38 min,91231,79060,91458,79154,87886,86521,68464,63448,62544,48471,48268,47677,39880,39878,40797,30626,31204,33369,23746,25464,24750,22519,24080,24611
6 h 40 min,92038,79680,92374,79633,88704,86017,68746,63748,63037,48579,48386,48022,40271,40195,41253,30773,31479,33567,23888,25477,25000,23028,24252,24804
6 h 42 min,92980,80020,92541,80455,89512,87043,68784,64219,63101,48466,48768,48670,40484,40297,40832,30595,31471,33284,24073,25592,25056,22724,24447,24694
6 h 44 min,92992,80422,93351,80281,89746,87482,69511,64672,63188,49272,49129,48919,40485,40265,41640,30730,31386,33438,24097,25736,24894,22687,24497,24649
6 h 46 min,94184,81020,93773,81083,90412,88367,69250,64783,63356,49445,49006,48981,40853,40710,41193,30879,31843,33385,24168,25544,25275,22444,24392,24835
6 h 48 min,94517,80870,94215,82409,90623,88309,70146,65409,63912,49252,49591,49408,40909,40824,41146,30380,31752,33933,24441,25399,25229,22694,24179,24566
6 h 50 min,95136,81881,95493,82548,91364,89302,70197,65871,64422,49793,49690,49235,40525,40723,41590,30982,31953,33909,24312,25555,25498,22548,24334,24866
6 h 52 min,95558,81812,95770,83321,91945,89595,70897,66253,64880,50183,49966,49267,41453,41045,41506,30610,32163,34150,24327,25876,25227,22558,24134,25094
6 h 54 min,97016,82793,95697,83673,92214,90173,71385,66965,65449,50464,50209,49823,41275,41049,41803,31018,32075,33753,24104,25713,25136,22612,24247,24762
6 h 56 min,96582,83120,95623,83812,92873,90893,72449,66849,66255,50342,50529,50197,41457,40975,41645,31068,31895,33708,24276,25939,25196,22707,24521,25216
6 h 58 min,96937,84065,96816,84874,93400,91084,72354,67585,66038,50343,50743,50653,41547,41129,42248,30941,32101,34063,24375,26056,25189,22915,24271,24670
7h,98053,83576,97692,85273,93626,91964,72603,67528,66945,50942,51207,50653,41817,41744,42517,31038,32065,34219,24186,25740,25244,22560,24391,24758
7 h 2 min,98367,84378,98011,85352,94301,92285,73461,68283,66682,51238,50975,50990,41928,41737,42502,31200,32135,34109,24389,25841,25403,22468,24575,25059
7 h 4 min,99382,84737,98175,86076,95953,92696,73643,68400,67014,51777,51530,51504,41954,41893,42690,31257,32183,33737,24024,25761,25279,22268,24425,24800
7 h 6 min,100109,85130,99240,86390,95869,93632,73380,68508,67163,51178,51365,51370,42378,42057,42739,31274,32138,34248,24383,26141,25447,22644,24430,24805
7 h 8 min,100270,85936,99718,87332,96002,94638,74917,69403,67887,51814,51682,51800,42580,41870,42788,31087,32580,34279,24492,25741,25066,22617,24409,25022
7 h 10 min,100849,85987,99434,88050,96622,94596,74509,69393,68220,52096,51917,51939,42521,42073,43145,31431,32360,34343,24415,25797,25481,22370,24566,24982
7 h 12 min,101458,87268,100490,88171,97607,94650,75671,69954,68560,52416,52909,51842,42689,42488,43338,31472,32281,34452,24349,26289,25534,22607,24497,25098
7 h 14 min,102173,86766,100700,88535,98323,95741,75162,70361,68621,52717,52625,52599,42578,42204,43480,31529,32937,34240,24568,25831,25627,22572,24796,24967
7 h 16 min,102442,87176,101276,88666,98465,96411,75438,70333,69367,52708,53105,52686,43097,42212,43302,31365,32828,34246,24115,26092,25703,22335,24650,24849
7 h 18 min,103673,87668,102149,89532,99414,96095,76289,70715,70019,53180,53248,52500,43274,42850,43656,31452,32671,34757,24491,26018,25729,22295,24519,25134
7 h 20 min,104000,88511,102015,89934,99627,97210,76100,71530,69755,53416,53152,52960,43128,42795,43962,32004,32647,34871,24796,26114,25778,22147,24373,24945
7 h 22 min,104436,88481,102533,90123,100192,97596,76929,71688,70697,54065,53689,53129,43022,43095,44022,31627,32684,34627,24620,26167,25339,22423,24768,25275
7 h 24 min,105365,88793,103366,90485,100337,97862,77236,72195,70820,53995,53749,53262,43635,43073,44235,31994,32725,34436,24617,26197,25598,22407,24596,24974
7 h 26 min,105229,89699,103256,91955,101252,98293,78160,72917,70769,54235,53999,53327,43852,43368,44423,32077,32770,34983,24705,26234,25279,22021,24767,25170
7 h 28 min,106034,89884,104000,92033,101537,98537,77893,72704,71515,54522,54132,54107,43936,43573,44475,31988,32440,35069,24410,25829,25498,22083,24832,25108
7 h 30 min,106491,89722,104059,91939,102282,99490,78737,73725,71728,54363,54525,53923,43865,43469,44667,32023,32805,34968,24710,26188,25804,21989,25109,25216
7 h 32 min,107285,90408,104693,92685,102385,100315,79164,73735,71720,55164,54804,53985,43955,43916,44479,32119,32613,35004,24569,26071,25168,22169,24773,25337
7 h 34 min,107839,91206,105872,93187,102983,100306,79253,73975,72288,55139,55021,54617,43908,43781,45223,32206,33313,35191,24621,26292,25353,21871,24928,25257
7 h 36 min,107927,90981,105365,93463,103943,100834,79957,74374,72791,55260,55590,54554,44464,43780,45203,32008,33107,35261,24628,26474,25460,22171,24804,24978
7 h 38 min,108797,91721,106460,93861,104150,101029,80503,74439,73364,55798,55768,54864,45089,43580,45302,32326,32887,35307,24794,26229,25468,21904,24817,25142
7 h 40 min,109428,92940,106382,95208,104362,101748,80434,75139,74017,55736,55671,55262,44969,44156,45383,32237,33197,35133,24694,26271,25673,21809,24813,25071
7 h 42 min,109764,92459,106606,94536,104784,102413,81317,75737,73873,55757,56208,55302,44706,44150,45466,32634,33196,35398,24641,26078,25671,21862,24970,24944
7 h 44 min,110228,92714,107148,95140,104855,102155,81195,75258,74575,56732,56261,56145,45268,44066,45881,32469,32730,35593,24671,26247,25196,21676,24783,25049
7 h 46 min,110664,92743,107675,95522,105819,103092,81604,75920,74893,56606,56212,56020,44995,44222,45848,32503,32797,35508,24670,26514,25241,21904,24711,25194
7 h 48 min,111553,93350,108334,96127,106665,103683,81649,75936,75351,57042,56590,56488,45114,44287,46098,32476,32940,35585,24603,26303,25446,21857,24954,24751
7 h 50 min,112408,93554,107858,96737,106808,104121,83119,76755,75663,57055,57097,56876,45513,44812,45972,33014,32585,35614,24417,26138,25549,21820,25231,25068
7 h 52 min,112571,94261,108983,96977,107097,104407,82997,77123,76419,57684,56981,56866,45653,44451,46544,32587,32915,35564,24708,26032,25299,21929,24915,24959
7 h 54 min,112810,94247,108210,98132,107221,104018,83281,76908,75781,58004,57893,57038,46001,44860,46693,32998,32931,35992,24327,26079,25614,21878,25066,24944
7 h 56 min,113323,94544,108839,97971,107475,104953,83845,77691,76768,57507,57581,57138,46354,45101,46511,32850,33060,35640,24576,26108,25200,21929,25267,24986
7 h 58 min,113660,94748,108893,98540,108811,105284,84727,77756,77276,57808,57587,57083,46219,44800,46611,33191,33004,36018,24482,26128,25349,21517,24851,24772
8h,114610,95329,109839,98456,108716,105733,84850,78655,77276,58088,58067,58324,46239,45028,46768,33047,33022,35687,24436,26410,25307,21741,25059,24975
8 h 2 min,114582,95289,109791,99377,109467,106009,84984,78737,77384,58383,58373,58103,45952,44860,47074,32719,32727,35901,24521,26051,25288,21736,25275,24648
8 h 4 min,114981,96301,109853,99612,109288,106391,84562,79279,78252,58572,58407,57953,46456,45133,47465,32970,32890,36008,24431,26305,25229,21393,25206,24716
8 h 6 min,115542,96072,110522,100054,110176,106093,85683,79072,78701,59040,58886,58548,46662,45118,47246,33143,32905,35805,24454,26146,25066,21585,25063,24925
8 h 8 min,116898,96251,109911,100386,110715,106736,85919,79231,78849,59386,59496,58403,47171,45041,47549,33189,32761,36138,24206,26089,25052,21459,24922,24760
8 h 10 min,116375,96227,110584,100309,110382,107658,86242,80136,78891,59609,59079,59301,47090,45400,47945,33202,32803,36151,24129,26116,24924,21271,25146,24718
8 h 12 min,117637,95878,111260,100831,111128,107341,86346,80722,79445,60014,59682,58995,47114,45329,47473,33023,33110,36094,24636,26235,24976,21420,25038,24516
8 h 14 min,118365,97094,111077,100916,111050,107115,86540,80488,80117,59624,59928,59243,47328,45262,47983,33627,32387,36154,24434,26130,24976,21598,24881,24446
8 h 16 min,118494,96540,110638,101507,111095,107668,86763,80878,80092,60193,60315,59779,47391,45204,47617,33560,32919,36004,24163,26229,24703,21468,25151,24396
8 h 18 min,118895,96822,111482,101878,111879,107815,87357,80991,80086,60098,60708,59747,47414,45199,48144,33552,32574,36389,24167,26008,24976,21283,25181,24297
8 h 20 min,119417,97342,110909,102002,112206,108646,87658,81757,80844,60411,60363,59871,47814,45626,48614,33583,32827,36194,24182,26148,24814,21388,24718,24211
8 h 22 min,120169,97429,111989,102797,112025,108710,87412,82031,80614,61487,60549,60308,47869,45653,48740,33819,33195,36217,24026,25864,24669,21565,25109,24168
8 h 24 min,119632,97167,112134,102793,112298,108520,88858,82272,81574,61098,61109,60734,48128,44992,48547,33349,32193,35999,24129,25703,24777,21454,25009,24302
8 h 26 min,120722,97926,112024,103162,112717,110221,88807,82551,81899,61050,61406,60908,48401,45116,48614,33797,32555,36416,23887,26138,24731,21107,25134,24062
8 h 28 min,121346,98151,112376,103337,112711,109207,88759,82283,82184,61549,62299,60691,48450,45337,49018,33864,32515,36095,24086,25896,24514,21291,24955,23987
8 h 30 min,122060,98067,111984,104044,113173,109525,88557,82234,82347,61756,61639,61297,48325,45380,48969,33941,32450,36330,24029,25465,24474,21441,25028,24087
8 h 32 min,121520,98312,111540,104477,112908,109085,89546,82958,82678,62375,61850,61680,48705,45310,49078,34162,32743,36496,23800,25688,24502,21200,24717,24038
8 h 34 min,122432,98452,112337,104348,113517,109497,90271,83379,83292,61940,62303,62176,48423,45623,49487,34136,32288,36225,23823,25630,24576,21111,24880,24128
8 h 36 min,122819,97440,112775,104524,113780,109943,90102,83116,83353,62727,62676,61963,48566,45515,49607,34108,32285,36286,23718,25622,24125,21168,24888,23894
8 h 38 min,123266,98588,113350,104505,114154,109897,90571,83107,83159,62679,62263,62091,49286,45342,49321,34086,32012,36664,23708,25257,23977,21565,24953,24141
8 h 40 min,123656,98800,112478,104922,113591,109764,90623,83819,83693,62230,63080,63093,49282,45382,49704,34214,32167,36500,23497,25481,24439,21326,24745,23766
8 h 42 min,124630,98587,112992,105603,113895,109543,90034,84381,84386,62740,63354,62568,49311,45365,50122,34284,32465,36562,23360,25429,24016,21290,25093,24042
8 h 44 min,124657,98737,112514,104543,114721,109682,90854,84092,84765,63739,63955,62741,49609,45458,49937,34087,32268,36718,23268,25575,23982,21117,25036,23569
8 h 46 min,125247,99166,112030,105501,114090,110268,91388,84765,84670,63103,63764,62821,49915,45289,49853,34278,32146,36499,23629,25341,23906,21132,24880,23786
8 h 48 min,125606,99388,112537,105201,114427,110391,92217,84828,84590,63531,64395,63286,49588,45183,50441,34190,31881,36450,23162,24922,23967,21166,24998,23858
8 h 50 min,126035,98549,113204,105951,114081,110404,91915,85297,85216,63485,64246,63523,49809,45371,50584,34343,31823,36786,23234,25226,23825,21249,24549,23923
8 h 52 min,126142,98767,113247,106259,114299,110278,91775,85132,85525,63962,64051,63939,49991,45295,50347,34669,31866,36599,23201,25086,23534,21290,24673,23593
8 h 54 min,126606,99188,113087,106591,115260,110233,92288,85489,85518,63683,64401,63574,49962,44924,50160,34437,31897,36603,23149,24964,23773,21354,24664,23766
8 h 56 min,126608,98199,112744,106267,115365,110083,92705,85372,85947,64239,64420,64160,50187,45559,51022,34695,32096,36592,22982,25182,23631,20966,24583,23530
8 h 58 min,126636,99076,112586,106644,114796,109967,92545,85271,85889,64435,64923,64219,50056,44991,50614,34407,31730,36597,22989,25214,23776,21217,24567,23436
9h,127321,98840,112836,107008,115037,110365,92530,85647,86005,64386,65069,64678,49862,45297,50459,34684,31831,36513,22954,24767,23650,20954,24443,23638
9 h 2 min,127658,99076,113340,106938,114981,110766,92770,85990,85964,64429,65071,64679,50403,45144,51281,34373,31605,36618,23191,24741,23753,21322,24741,23763
9 h 4 min,128125,98706,112497,106872,115135,110988,93425,85551,86626,64829,65524,64861,50517,45099,51209,34774,31347,36489,23097,24922,23646,20964,24380,23864
9 h 6 min,128932,98764,111950,106892,115481,111023,93195,85825,87348,65037,65556,64844,50723,45074,51252,34925,31541,36373,23156,25036,23435,21120,24473,23563
9 h 8 min,128202,99216,112780,107478,115598,110098,93586,86189,87363,64981,65624,65576,50609,44977,51464,35273,31706,36926,23115,24542,23782,21286,24163,23365
9 h 10 min,128653,98812,113374,107261,115067,110852,93702,85679,87078,65011,66008,65478,51010,44876,51116,34811,31503,36643,23081,24796,23376,21408,24449,23443
9 h 12 min,129221,98773,112861,107533,115730,111209,94013,86423,87862,64960,65935,66150,50927,44855,51068,34773,31395,36230,22782,24633,23574,21255,24538,23421
9 h 14 min,129747,98835,111982,107839,115777,111120,93813,86111,88582,65083,66271,66043,50816,44526,51761,34650,31536,36405,22730,24526,23588,21331,24017,23368
9 h 16 min,129339,98662,112837,107179,115243,110635,94357,85728,88283,65220,67027,66371,51008,43984,51808,34865,31621,36523,23098,24411,23240,21048,24012,23646
9 h 18 min,130129,99447,112697,108125,115673,110477,94089,86217,88123,65020,66413,66537,51166,44597,51580,34751,31838,36215,22789,24398,23355,21107,24212,23429
9 h 20 min,130653,99645,112435,108200,115742,111146,94090,86536,88765,65105,66890,66704,50608,44426,51850,34919,31168,36175,22735,24555,23517,21380,24064,23402
9 h 22 min,129942,99007,113278,107432,115353,110201,94032,86303,88260,65333,66934,66729,51229,44481,51859,34969,31662,36074,22856,24401,23300,21161,23821,23596
9 h 24 min,130723,99122,112161,107703,115196,110626,94276,86751,89172,65429,67442,67020,51555,44432,51687,34647,31208,36221,22971,24375,23572,21079,23843,23487
9 h 26 min,130506,98555,112740,108345,115460,110220,94273,86957,89606,65388,66768,67168,51239,44327,51626,34891,31620,35653,22650,24486,23426,21055,24018,23613
9 h 28 min,130964,98641,112202,107677,115262,110597,94693,86460,89168,65554,66975,67108,51005,44400,51766,34573,31444,35739,22796,24401,23281,21260,23342,23333
9 h 30 min,131266,98745,111788,107923,115739,110376,94421,86600,89556,64959,67612,67690,51538,44154,52117,34671,31492,36010,22915,24388,23196,21209,23719,23382
9 h 32 min,131826,99153,112813,107586,115499,110165,94161,87078,89714,66070,67563,67833,50966,43908,52158,34596,31281,35851,22579,24355,23235,21340,23693,23585
9 h 34 min,132006,98457,112471,108521,114834,110267,94161,86791,89289,65683,66951,68083,51777,44139,51993,34491,31105,35807,22810,24143,23298,21099,23656,23208
9 h 36 min,131434,99203,112131,107869,114872,109513,94947,86682,89711,65661,67961,68249,51630,44082,51820,34334,31301,35887,22628,24259,23088,20898,23694,23263
9 h 38 min,131212,98474,112062,108615,115779,109686,94660,87390,89860,65641,67988,68588,51329,43825,51735,34532,31347,35916,22610,23898,23379,20971,23424,23544
9 h 40 min,132570,98612,112231,108073,115175,109935,95413,86184,89881,65759,67444,68347,51171,43883,52267,34616,30910,35751,22736,24277,23241,21214,23547,23297
9 h 42 min,132711,98851,112880,108178,115686,110155,94647,86116,90186,65459,67652,68744,51656,44118,52212,34466,31502,35787,22815,24277,23237,21293,23432,23488
9 h 44 min,132174,98436,112948,108339,114979,110809,94686,86612,90381,65706,68139,68642,52330,43895,52225,34291,31269,35571,22371,24036,23148,21187,23190,23121
9 h 46 min,133215,98792,112511,107786,115189,110701,94584,86372,90149,65262,67954,68342,51540,43647,52285,34527,31159,35738,22663,24311,23351,21377,23251,23313
9 h 48 min,132389,98521,111930,108212,115385,109706,94854,87080,89943,66072,68240,68345,51524,43519,51928,34244,31132,35555,22480,24187,23403,21383,23216,23449
9 h 50 min,132482,98800,112600,108292,115333,110264,95035,87402,90247,65423,68338,69287,51951,43672,52426,34628,31243,35360,22594,23957,23259,21194,23366,23441
9 h 52 min,133213,98717,112446,108274,114917,110105,95327,86980,90514,65407,68512,69254,51791,43671,51916,34382,31398,35034,22974,23995,23193,21204,23289,23632
9 h 54 min,133655,98646,112531,108695,114866,110448,94697,87034,90369,65858,68454,69378,51624,44145,52230,34306,31175,35003,22331,24207,23074,21011,23122,23142
9 h 56 min,133815,98671,112090,108339,114839,109106,94602,87230,90031,65596,68398,69515,51766,43677,51960,34161,31811,35389,22691,23917,23228,21232,23231,23453
9 h 58 min,133889,98443,112072,108724,115508,109837,94831,86939,90766,65416,69091,69955,51870,43719,52064,34497,31107,34967,22593,23960,22956,21389,23129,23157
