time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
1 h 16 min,20126,18874,20915,19511,20482,19915,20369,18555,17597,17440,17240,17786,17129,16942,16960,15549,17343,18178,15921,16469,16450,15261,15704,15696
1 h 18 min,20229,18896,21245,20054,20495,20190,20641,18267,17539,17576,17430,17711,17301,17233,16892,15511,17429,18047,15928,16583,16577,15456,15878,15801
1 h 20 min,20563,19313,21342,20039,20795,20557,20628,18654,18373,17519,17596,17940,17478,17273,17297,15573,17240,17866,16031,16720,16575,15318,16070,16138
1 h 22 min,21051,19413,21680,20189,20850,20895,20873,18793,18035,17835,17541,18153,17583,17229,17342,15569,17305,18041,16302,16639,16253,15400,16040,15921
1 h 24 min,21052,19619,21834,20574,21492,21201,21021,18967,18504,18120,17799,18138,17721,17610,17543,15673,17437,18261,16071,16682,16406,15268,16098,15972
1 h 26 min,21386,19725,21837,20902,21242,21314,20950,18994,18649,18030,18042,18255,17825,17532,17456,15712,17502,18169,16023,16633,16728,15338,16301,16430
1 h 28 min,21501,20168,22275,21154,21853,21584,21293,19322,18735,18390,17934,18688,17609,17779,17639,15990,17531,18490,16243,16934,16576,15857,16224,16089
1 h 30 min,21804,20358,22196,21258,21945,21873,21347,19373,18961,18265,18311,18755,17991,17906,17762,16166,17860,18642,16400,17035,16846,15597,16277,16218
1 h 32 min,21853,20470,22832,21720,22130,22155,21844,19652,19410,18714,18418,18736,17976,17989,17822,15999,17869,18518,16219,16822,16764,15563,16147,16154
1 h 34 min,22440,20790,23267,21614,22849,22151,21793,20003,19070,18872,18648,19132,18082,18006,17858,16165,17775,18691,16297,16806,16948,15757,16420,16386
1 h 36 min,22565,21037,23514,21836,22688,22374,22452,19936,19542,18915,18751,19030,18184,18193,18314,16346,18147,18773,16561,16897,17053,15697,16384,16251
1 h 38 min,22874,21046,23417,22345,22911,22874,22304,20125,19720,18959,18890,19332,18347,18090,18221,16505,18128,18829,16524,16982,16897,15998,16294,16628
1 h 40 min,23375,21496,24041,22538,23461,22651,22819,20351,19700,18996,18814,19392,18575,18041,18485,16546,18127,18928,16509,17183,17047,15650,16396,16460
1 h 42 min,23452,21654,24352,22799,23425,23351,22785,20716,20182,19427,19187,19425,18755,18357,18521,16690,18404,18825,16482,17181,17277,16019,16413,16499
1 h 44 min,23479,21787,24185,22943,23753,23696,22788,20484,20099,19384,19509,19324,18694,18641,19075,16931,18243,19005,16383,17190,17366,15765,16477,16380
1 h 46 min,24061,22286,24390,23343,24267,23900,22945,20955,19942,19768,19370,19996,19126,18367,18810,17143,18326,19196,16685,17310,17226,16179,16336,16804
1 h 48 min,24428,22242,24804,23052,24261,23950,23504,21100,20478,19697,19706,19871,19033,18760,18779,17070,18045,19239,16672,17373,17339,15912,16470,16596
1 h 50 min,24554,22656,24925,23727,24633,24089,23472,21464,20456,19869,19509,20181,19151,18997,19022,17163,18503,19780,16862,17387,17225,16057,17000,16730
1 h 52 min,24837,22512,25551,24166,25008,24649,23813,21559,20820,20090,19893,20236,19409,19114,19547,17021,18622,19386,17105,17366,17517,16111,16505,17049
1 h 54 min,24977,23239,25818,24166,25401,24931,23732,21733,21225,20070,19759,20228,19572,18954,19400,17328,18416,19575,16608,17616,17495,16008,16800,16973
1 h 56 min,25624,23220,26186,23912,25665,25271,24270,21930,21326,20402,20057,20736,19275,19103,19568,17433,18931,19768,17026,17747,17497,16149,16588,17098
1 h 58 min,25770,23405,26639,24642,25838,25375,24547,22240,21576,20721,20301,20759,19629,19524,19770,17629,19039,19881,16936,17856,17574,16195,16933,17105
2h,25919,23727,26427,24610,26031,25876,24396,22228,21555,20615,20419,20672,20163,19386,19815,17728,19044,19867,16981,17692,17592,16238,17146,17019
2 h 2 min,26211,24274,27111,25036,26305,26061,24500,22406,22133,20897,20316,21000,19806,19842,19952,17684,19072,19797,17047,17902,17793,16525,17106,17142
