time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
1 h 16 min,23712,24137,25512,24038,23124,23396,23328,22876,22110,21917,21289,22497,20518,21003,20200,18914,20720,20174,18129,19168,17584,16293,16391,17179
1 h 18 min,24280,24693,26187,24384,23551,23787,23454,23107,22373,22179,21420,22876,20735,20972,20071,19024,20982,20368,18441,19119,18057,16808,16476,17115
1 h 20 min,24623,25047,26864,24723,24148,24214,23956,23403,22550,22319,21852,23219,20897,21343,20328,19051,21482,20760,18216,19339,18194,16751,16351,17336
1 h 22 min,24958,25602,27184,25434,24371,24654,24484,23774,22769,22891,22122,23162,21260,21163,20436,19024,21371,20800,18416,19516,18274,16635,16445,17116
1 h 24 min,25417,25727,27369,25370,24855,24712,24409,24461,22954,22953,22420,23421,21287,21373,20664,19298,21342,20990,18597,19744,18065,16749,16559,17073
1 h 26 min,25644,26011,28264,25991,24772,25349,25026,24339,23343,23267,22667,23685,21340,21541,20897,19045,21680,21064,18956,20047,18330,16770,16492,17302
1 h 28 min,25950,26701,28657,26497,25536,25752,25387,25077,23876,23407,22880,24060,21787,21586,21022,19378,21919,21357,18724,20035,18494,16632,16750,17207
1 h 30 min,26504,27321,28939,26783,25696,26222,25534,25027,23926,23715,23172,24368,21899,21882,21106,19519,22234,21339,18964,20158,18725,16756,16749,17390
1 h 32 min,26745,27864,29449,26974,26502,26449,26028,25273,24478,24096,23609,24472,21979,21686,21302,19631,22014,21874,18858,20434,18772,16892,16465,17705
1 h 34 min,27002,28131,29777,27798,26558,27017,26145,26060,24514,24285,23803,24577,22065,22413,21392,19933,22688,21929,19169,20300,18663,17090,16621,17547
1 h 36 min,27884,28400,30140,28183,26950,27547,26663,26471,24747,24538,23958,25179,22217,22583,21958,19858,22487,21889,19497,20626,18931,16914,16888,17625
1 h 38 min,28126,28669,30935,28532,27185,27539,27028,26725,25116,24962,24287,24830,22463,22454,21830,19893,22828,22235,19293,20511,19140,17170,16856,17549
1 h 40 min,28691,29417,31581,29038,27645,28195,27348,27219,25425,25446,24546,25480,22992,22492,22068,19885,23176,22283,19234,20912,18929,16988,16916,17620
1 h 42 min,29228,29641,32088,29707,27983,28552,27697,27331,25668,25578,25353,26103,22803,22756,21935,20244,23248,22857,19579,20928,18833,17257,16858,17502
1 h 44 min,29420,30188,32439,30199,28442,28852,28193,27968,25997,25585,25087,26002,23099,23241,22392,20211,23620,22602,19719,21004,19144,16971,16720,17574
1 h 46 min,29817,30443,32755,30453,28697,29608,28557,28365,26448,25765,25446,26273,23361,23034,22603,20627,23625,22875,19765,21301,19577,17101,16904,17781
1 h 48 min,30169,30970,33413,31040,29398,30072,28852,28838,26733,26189,25940,26658,23463,23496,22795,20639,23735,22948,19671,21216,19597,17179,16971,17758
1 h 50 min,31012,31178,33643,31308,29896,30205,29302,29373,27072,26692,25927,26803,23896,23627,23019,20800,23758,23341,19976,21272,19679,17199,16731,17601
1 h 52 min,31257,31771,34181,31847,30450,30932,29941,29322,27316,26780,26403,27099,23740,23613,23128,20903,24021,23340,20120,21446,19524,17239,16999,17886
1 h 54 min,31753,32117,34718,32375,30485,31230,30001,30093,27627,27270,26716,27492,24011,24051,23375,20874,24205,23662,20358,21691,19850,17445,17313,17779
1 h 56 min,31864,32973,35088,32909,30798,31452,30586,30422,28322,27241,26957,27614,24127,24379,23441,21167,24154,23678,20377,21483,19963,17324,17373,18129
1 h 58 min,32009,32961,35580,33723,31750,32293,31071,30458,28192,27768,27739,28011,24594,24361,23651,21232,24468,24099,20658,22063,19945,17315,17203,18026
2,33127,33742,36186,33744,31751,32339,31546,31207,28344,28091,27950,28086,24581,24422,23946,21198,24539,23964,20583,22093,20265,17308,17245,17973
2 h 2 min,33539,33894,36920,34403,32095,33052,31674,31469,28892,28112,28086,28366,24938,24841,24002,21352,24862,24035,20552,22001,20401,17718,17163,18123
2 h 4 min,33784,34498,37057,34807,32908,33410,32386,32477,29348,28499,28342,28530,25244,24889,24106,21498,25274,24515,20864,22257,20454,17358,17413,18318
2 h 6 min,34110,34680,37557,35307,33424,33968,32949,32336,29867,28719,28906,29225,25215,25199,24530,21753,25439,24679,20762,22389,20378,17681,17357,18051
2 h 8 min,34713,35258,38141,36350,33470,34221,33090,32972,30080,29421,29257,29164,25682,25378,24829,21769,25636,24714,21143,22679,20729,17423,17421,18182
2 h 10 min,34907,35426,38918,36341,34125,34624,33583,33497,30615,29848,29866,29580,25485,25695,25162,21989,25968,24954,21281,22513,20904,17681,17336,18344
2 h 12 min,35719,36099,39152,37115,34652,35116,34102,33903,30456,30214,29962,30032,26001,26046,25190,22057,25890,25082,21153,22784,20680,17765,17445,18178
2 h 14 min,36358,36812,39791,37561,35132,35647,34861,34602,31337,30379,30390,30350,26081,25997,25575,22044,25982,25425,21472,23093,21102,17591,17676,18457
2 h 16 min,36689,37155,40151,37991,35606,36286,35241,34864,31404,30337,30654,30794,26231,25987,25556,22217,26375,25353,21407,23224,21260,17964,17624,18526
2 h 18 min,37087,37588,40732,38456,36056,36553,35656,35427,32027,31229,31404,30862,26374,26352,25258,22247,26442,25773,21497,23288,21214,17970,17682,18275
2 h 20 min,37951,37935,41336,39191,36595,37128,36156,35834,31961,31221,31597,31013,26683,26472,25815,22357,26584,25835,21850,23545,21290,17981,17833,18258
2 h 22 min,37975,38450,41813,39334,37299,37575,36643,36523,32892,31815,32124,31631,27061,26762,26056,22481,26655,26241,21887,23519,21521,18199,17735,18326
2 h 24 min,38815,39228,41903,40150,37383,37943,36851,36762,32909,32186,32556,31975,27186,27181,26128,22725,27025,25960,21652,23397,21560,17991,17928,18640
2 h 26 min,39286,39790,42803,40588,37743,38197,37476,37121,33457,32370,32871,31922,27101,27096,26482,22597,27413,26376,21922,23880,21718,17920,18002,18658
2 h 28 min,39322,39958,43289,41295,38670,39228,38366,38038,33419,32714,33018,32508,27806,27280,26803,22810,27577,26022,22188,23699,21723,18299,18032,18617
2 h 30 min,39837,40333,43719,41369,38983,39721,38826,38665,33989,32797,33692,32779,27836,27619,27182,23137,27651,27059,22135,23700,21854,17883,18061,18871
2 h 32 min,40311,40958,44136,42363,39402,40238,39138,38777,34713,33670,33921,32999,28035,27623,27294,23140,28114,26757,22445,24115,22247,18260,18079,18556
2 h 34 min,41223,41029,44763,42832,39890,40821,39634,39484,34922,34134,34503,33708,28320,27806,27197,23769,27838,26927,22755,24495,22146,18286,18208,18891
