time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
5 h 34 min,71395,69869,76339,82437,79635,77250,79571,79881,69900,68052,78289,70009,51169,47988,48157,32747,43294,41717,32072,33418,31465,22595,22562,23482
5 h 36 min,71804,70213,76967,83240,79998,78182,80046,79681,69715,68858,77937,69531,51024,48016,48538,32964,43813,41604,32064,33082,31503,22770,22446,23404
5 h 38 min,71917,70078,77279,83141,80487,78137,80932,80577,70338,68810,78884,70332,51795,48024,48552,33069,43617,42134,31884,33609,31316,22461,22671,23438
5 h 40 min,72177,70295,77221,83621,80561,78485,80501,80468,70905,68959,79016,70625,51603,48738,48783,33017,43755,42189,32221,33762,31295,22777,22795,23312
5 h 42 min,72289,70332,77073,83808,80839,78380,80852,80966,70723,69666,79609,70706,51965,48215,48935,33453,43455,42253,31997,33491,31822,22826,22684,23336
5 h 44 min,72156,69948,77685,83934,80863,79215,81401,80386,71141,69239,80490,71100,52373,48626,49198,33397,43550,42434,32010,33466,31610,22766,22802,23519
5 h 46 min,72655,70523,78152,84594,81242,78940,81391,80792,71139,70125,80539,71530,52695,48976,49417,33447,43577,42336,32275,33798,31302,22491,22692,23656
5 h 48 min,72701,70444,77559,83985,81760,79673,81660,81820,71328,70226,80166,71754,52654,49166,49745,33294,43858,42514,32406,33849,31771,22771,22736,23549
5 h 50 min,72901,70789,77936,84776,81556,79629,81684,82201,71867,70376,81317,71883,53047,49350,49519,33592,43856,42700,32121,33559,31755,22856,22804,23738
5 h 52 min,73241,70944,78350,85615,81818,80156,82835,82227,72208,70850,81408,72736,53237,49248,49788,34157,44097,42430,32125,33667,31643,22769,22619,23698
5 h 54 min,73022,71515,78186,85411,82409,80314,82941,82497,72521,71013,81830,73341,53181,49831,50326,33661,44173,42870,32075,33896,31798,22773,22722,23647
5 h 56 min,72898,71056,78427,85212,82364,80518,83248,81625,72630,71127,81808,73843,53472,49504,50421,33886,43956,42612,32173,34103,31473,22619,22912,23816
5 h 58 min,73631,71415,78742,85771,82911,81220,83627,82791,73097,71221,82353,73639,54149,49646,50690,33444,44096,43149,32355,33724,31605,22794,23227,23584
6,73861,71162,78953,86414,82694,81602,84387,83030,73464,72167,82389,73828,54184,49897,50309,33730,44171,43062,32371,34502,31919,22777,22868,23550
