time,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5,To3 5,To3 5,Negative,Negative,Negative
1 h 8 min,37717.5,37877,38418,33724.5,33361.5,31527.5,30185,30659.5,31808,25194.5,25466.5,25799.5,24920,23559,27619,19395,18267,18033,16383,15962,16903
1 h 10 min,38495,38828,39294.5,34137.5,34272.5,32154,30662.5,31395.5,32722,25395.5,25633.5,26235.5,25209,23838.5,28467,19521,18233,18064,16197,16373,17023
1 h 12 min,39518.5,40027.5,40024,35114.5,35129.5,32576.5,31436.5,31982,33303,25725,26167,26786,25730.5,24185.5,28902,19428,18264,18006,16414,16219,16905
1 h 14 min,40594.5,40880,41175,35904,35655.5,33276,32288,32706,33910,26122.5,26602.5,27510.5,26121.5,24815,29342,19703,18349,17986,16474,16310,17177
1 h 16 min,41594.5,41934,41821,36763,36393.5,34028.5,32940,33342.5,34885,26497.5,26864.5,28083.5,26708,24902,29907,19873,18577,18518,16293,16391,17179
1 h 18 min,42134,42564.5,43010.5,37265.5,37454,34691,33486,33808.5,35341.5,27192,27433,28338.5,27172.5,25374.5,30480,19942,18523,18153,16808,16476,17115
1 h 20 min,43338.5,43412.5,43903,38169,38284.5,35375,34191,34624,36227,27759,28198.5,28971.5,27420,25938,30879.5,20201,18592,18586,16751,16351,17336
1 h 22 min,44127.5,44459,44548.5,39070,39162,36203.5,34944,35215,36608,28172.5,28373,29266,27927,25988.5,31434.5,20422,18806,18527,16635,16445,17116
1 h 24 min,45142,45166.5,45854,39758.5,39760,36806.5,35852,35649,37446.5,28951,28920.5,29782,28529.5,26811.5,32098.5,20346,18838,18619,16749,16559,17073
1 h 26 min,46154,46122,46660.5,40458,40539,37331.5,36666.5,36519,38106,29396,29458,30591,29036,27353.5,32453,20297,19030,18792,16770,16492,17302
1 h 28 min,46901.5,47243.5,47988,41211,41379,38211,36989,37013.5,39088.5,29853,30195,31056.5,29642,27537,32990,20708,18991,18888,16632,16750,17207
1 h 30 min,48166.5,48271.5,48483.5,42250.5,42287,38975,37867.5,37816.5,39831,30227.5,30575,31457.5,30151.5,27863.5,33487.5,20690,19460,19047,16756,16749,17390
1 h 32 min,48667.5,49229,49311.5,43028.5,43229,39315,38613,38467.5,40470,30721.5,30869.5,32213,30610,28357.5,34191.5,21094,19423,18936,16892,16465,17705
1 h 34 min,49934.5,50398,50474.5,43937,44024,40120.5,39258.5,39222,41148.5,31419,31566.5,32440.5,30879.5,28883.5,34764,21307,19479,19111,17090,16621,17547
1 h 36 min,50905.5,50986.5,51732,44869.5,44757.5,40842.5,40216,39930,42128.5,31775.5,31842.5,32890,31514.5,29371,35264,21191,19400,19498,16914,16888,17625
1 h 38 min,51993.5,52097,52354,45775.5,45508,41673.5,40782,40492.5,42846,32406.5,32376.5,33490.5,32031.5,29780.5,35971.5,21269,19610,19434,17170,16856,17549
1 h 40 min,52764,52826.5,53340.5,46227.5,46759.5,42485,41623,41184,43342,32975,32827,34024,32612,30309.5,36514,21685,19993,19646,16988,16916,17620
1 h 42 min,53832,53706,54590.5,47251,47197,43282.5,42372.5,42431,44018.5,33551,33266.5,35138.5,33025,30609,36872.5,21649,19831,19778,17257,16858,17502
1 h 44 min,54696.5,55210.5,55598,48193,48201,43913,43184.5,42564,45014.5,33900,33915,35201,33524.5,31078,37398.5,21633,20093,19850,16971,16720,17574
1 h 46 min,55724,56089,56454.5,48938.5,49197.5,44710,44113.5,43534.5,45723,34456.5,34381.5,35817.5,34354.5,31560.5,37996,22108,20242,19881,17101,16904,17781
1 h 48 min,56784,56943,57431.5,49609,49620.5,45336,44504.5,44326,46824,34989,34882.5,36704,34720,32023,38734.5,22343,20388,19949,17179,16971,17758
1 h 50 min,57420.5,57783,58428.5,50683,50842,46215,45280.5,44687.5,47427,35548,35629,37135,34875.5,32812,39035,22023,20586,20158,17199,16731,17601
1 h 52 min,58571,58948.5,59447.5,51618,51343,46890.5,45956,45420,48109,35997,36010.5,37912.5,36030,33504,39928.5,22552,20352,20342,17239,16999,17886
1 h 54 min,59680,60391.5,60642.5,52519,52469.5,47806.5,46788.5,46232.5,48681.5,36541,36732,38602,36115.5,33455.5,40519,22497,20364,20293,17445,17313,17779
1 h 56 min,60775,60665,61529.5,53382,53200,48458.5,47505,47168,49492.5,37173.5,37213,38791,36757,34294.5,41106.5,22548,20646,20168,17324,17373,18129
1 h 58 min,61556,61664.5,62034,54086,54268,49383.5,48512,47864,50377,37786,37428,39246.5,37350.5,35571.5,42244,23106,20771,20291,17315,17203,18026
2 h ,62813,63126.5,63366.5,54833.5,55084,49840.5,48983,48690.5,51116,38419.5,38131,40069.5,38131,36196,42372.5,23193,20772,20455,17308,17245,17973
2 h 2 min,63473,63929,64512,55633.5,55837,50603.5,49814,49562.5,52056,38589.5,38896.5,40884,38503.5,36428.5,43011.5,23258,20931,20545,17718,17163,18123
2 h 4 min,64283,64930,65723.5,56916.5,56880.5,51422.5,50834,50277,52456,39160.5,39214,41343.5,38848,37462,43440.5,23181,20994,20863,17358,17413,18318
2 h 6 min,65575.5,65855.5,66256.5,57347,57752.5,52250.5,51547.5,50979.5,53519.5,39798,39772,41819.5,39383,37575,43868,23496,20996,20979,17681,17357,18051
2 h 8 min,66576.5,66780.5,67046,58492,58629,52830.5,51860,51726.5,54593,40377.5,40246.5,42336.5,39990.5,38402.5,44877,23817,21272,21283,17423,17421,18182
2 h 10 min,67652.5,67785.5,68573.5,59268.5,59490,53413,53057,52290.5,55338.5,40799.5,40760.5,42990.5,40811,38799,45334.5,23821,21216,20948,17681,17336,18344
2 h 12 min,68738,68979.5,69445,60175,60487.5,54558.5,53791,53456,55860.5,41418.5,41501,43700,41340.5,39346.5,46255.5,24034,21553,21345,17765,17445,18178
2 h 14 min,69584,69806.5,70512,61406,61120.5,55249.5,54617,54169,57033,41891.5,42149.5,44456.5,41959,39920,46433,24241,21527,21782,17591,17676,18457
2 h 16 min,70755,70801.5,71618,62150,61739.5,55888,55142,54541.5,57914.5,42453.5,42729,44786.5,42496.5,40748,47099.5,24263,21615,21579,17964,17624,18526
2 h 18 min,71829,71812.5,72353.5,62967.5,63288,56701,56318.5,55075.5,58687.5,43077.5,42887.5,45291,43023,40859.5,47500,24407,21785,21550,17970,17682,18275
2 h 20 min,72848,72936,73395,63613.5,63957,57583.5,56844.5,55892,59197.5,43830.5,43646.5,46030.5,43612.5,41155.5,48392.5,24559,21858,21902,17981,17833,18258
2 h 22 min,73759.5,74142.5,74349,64253,64813,58210.5,57557.5,56954,60034,44070,44359,46910,44364,41748.5,48706.5,24839,22037,21720,18199,17735,18326
2 h 24 min,74654,74819,75019,65246.5,65962,59154.5,58311.5,58163.5,61050.5,44621.5,44684.5,47795.5,44912.5,42162,49575,24905,22375,21668,17991,17928,18640
2 h 26 min,75529.5,75848,76044,66285.5,66408,60362.5,59216.5,59502.5,61977,45034,45117,47962,45286,42865,49746.5,25391,22295,22047,17920,18002,18658
2 h 28 min,77349.5,76572,76959,67055.5,67445.5,60583.5,60023,60816.5,62618,45554.5,45789.5,48659.5,46062.5,43178,50641,25289,22498,22135,18299,18032,18617
2 h 30 min,78017.5,77828.5,78301,67937.5,68469.5,61364,60882.5,61991.5,63009.5,46200,46173,49175.5,46341.5,44080.5,51034,25668,22531,22374,17883,18061,18871
2 h 32 min,78940.5,78666.5,79095,69049.5,69287,62102,61347,63235,63943,46839.5,46577,49845.5,47186,44373.5,51981,25626,22801,22564,18260,18079,18556
2 h 34 min,79980,79815.5,80425,69960.5,69631,62992.5,62355,64056,64842,47641,47267,50293.5,47906.5,44794.5,52291,25475,22783,22509,18286,18208,18891
2 h 36 min,80877.5,80673.5,81779,70682.5,71248.5,63763,63213,65439,65663.5,47955,47670.5,50858,48285,45284.5,52896.5,25952,22768,22646,18286,18104,18818
2 h 38 min,82109,81991,82747,71483,71709,64155,64253.5,66214,66579,48473,48375,51663,48932,46081,53460.5,26043,23104,23003,18204,17996,19025
2 h 40 min,83463.5,82869,83238.5,72359.5,72946.5,65203,64814,67518,66984.5,49072.5,48825,52083,49712.5,46296.5,54104.5,26248,23092,22914,18309,18323,18933
2 h 42 min,84439,83439.5,84255.5,73505,73841,66185,65556,68444,67900,49690.5,49310.5,52633.5,49993,46702.5,54471,26469,23494,23176,18617,18380,19129
2 h 44 min,85799,84794,85124.5,74213,74262.5,66893,66407,69809.5,68346,50404.5,49779.5,53417,50647.5,47727.5,54861,26716,23523,23169,18414,18296,19143
2 h 46 min,86383,85524.5,86191,74841.5,75290,67580,67126,71067,69678,50717.5,50274,54001.5,51258,47641,55806.5,26819,23555,23368,18413,18144,19339
2 h 48 min,87284,86376.5,87509,75762,76342,68164.5,67997.5,72062,70811.5,51490,50873.5,54803.5,51916,48167,56321,26963,23536,23434,18342,18690,19390
2 h 50 min,88625,87713.5,88380,76728.5,77161,68908,69081.5,73115.5,71250,51784,51619.5,55360.5,52412,49008.5,57158,27460,23807,24059,18721,18409,19248
2 h 52 min,89592.5,88418.5,89167.5,77720,78104,69830.5,69210,74056,71705.5,52342.5,51920.5,55722.5,53435.5,49209.5,57639,27307,23804,23961,18835,18731,19295
2 h 54 min,90584,89438,89754,78382.5,78667.5,70992,70637.5,75707,72583,52937.5,52621.5,56548,53617,49860,58550,27755,24371,23977,18734,18654,19296
2 h 56 min,91269.5,90670.5,90962,79178,79646.5,71419,71134.5,76754,73398,53095.5,52995.5,57361,54539.5,50249.5,58952,27507,24168,24197,18883,18722,19502
2 h 58 min,92490.5,91089,91852.5,79868,80399,72647.5,71804,77310,74402,54160,53569,57894.5,54894.5,50784,59701,27870,24083,24065,19036,18902,19339
3 h ,93000,92333.5,92894,80303.5,81539.5,73470,72698.5,78493,75492.5,54558,54529,58261,55445.5,50800.5,60634.5,27983,24419,23920,19034,18627,19878
3 h 2 min,94544.5,93234.5,93544,81272,82271,74477.5,73113,79377.5,76179.5,54925,54803,58883.5,56229.5,51656,61047.5,28233,24385,24324,18838,18815,19558
3 h 4 min,95519.5,94035.5,94994.5,82474,82801,75554,74226.5,80440,76963.5,55747,55164.5,59518.5,56397.5,51894,62056,28427,24460,24297,18901,18830,19765
3 h 6 min,96169,95142.5,95418,83314.5,84075.5,76425,75157.5,81143,78321.5,56120.5,55864,60372,57076,52719.5,62762,28738,25174,24280,19144,18789,19762
3 h 8 min,97499,96059,96378.5,83756,84644,78228.5,75759,81754,79589.5,56289.5,56331,60748,57730.5,52954.5,63430.5,29002,25147,24737,19372,19146,19687
3 h 10 min,98002,96718,97296.5,84872,85243.5,78995.5,76716.5,82634.5,80401,57073,56960.5,61213.5,58369,53563,64410.5,29142,25080,24822,19330,18984,19755
3 h 12 min,99134,97575.5,98096.5,85959,86001.5,80590,77707,83730,81106,58042,57298,62106.5,58766.5,53981.5,65021,29124,25057,25055,18884,19400,19889
3 h 14 min,100691,98588,99647.5,86556.5,87314.5,81511,78063,84118,82416.5,58277.5,57906.5,62253.5,58934,54505.5,65873,29248,25339,24836,19515,19331,20049
3 h 16 min,100972.5,99984.5,100144,87409,87901,82908.5,78570.5,85198.5,83561,58478.5,58618.5,62736,59698.5,54823.5,66616.5,29806,25405,24968,19294,19424,19806
3 h 18 min,102224.5,100770.5,101395.5,87975,88881.5,83499.5,79381.5,85555,84504,58841,58817.5,63303,60346,55545.5,67601.5,29938,25660,25386,19484,19337,20195
3 h 20 min,102883.5,101731,102401.5,88616,89547,85127,80921.5,86138,85102.5,59805,59559,64250,61139.5,56039,68388.5,30105,25409,25572,19456,19355,20091
3 h 22 min,104309,102474,102889,89995.5,90209,86001.5,81485,86322,86067,60516,59422.5,64437,61853.5,56405,68760,30382,26050,25777,19409,19309,20174
3 h 24 min,105304,103528.5,104291,90681,91290.5,86696.5,82624,86940,86929,60860,60438,65196,62679.5,56515.5,69796,30512,25649,25869,19773,19624,20184
3 h 26 min,106088,104850,105050,91722,92287.5,88259.5,83145,87069.5,88063.5,61148.5,60844.5,65519,63257.5,57556,70166.5,30269,26163,25772,19719,19711,20309
3 h 28 min,107100,105940,105976,92472.5,93434.5,89181.5,84185,87951,88938.5,61966,61509.5,66130.5,63806.5,58080,71157,30828,26305,26016,19796,19822,20227
3 h 30 min,107583,106491,106760.5,92499.5,93968.5,90280,84837,88458.5,89666.5,62406,61709,66762.5,64381.5,58974,71815,30952,26300,26077,19793,19600,20489
