time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,Negative,Negative,Negative
2 h 42 min,1842022,1807769,1716463,2193109,2184088,2394408,18122,19401,19480
2 h 44 min,1855773,1828918,1739730,2210105,2207300,2418252,17794,19395,19589
2 h 46 min,1880497,1847358,1758720,2236933,2230332,2445822,18036,19164,19744
2 h 48 min,1896352,1868328,1784695,2262619,2253173,2472361,17838,19588,19557
2 h 50 min,1919550,1887304,1802640,2283906,2281554,2499739,17663,19590,19623
2 h 52 min,1944040,1909759,1824985,2305866,2305481,2525893,17991,19601,19620
2 h 54 min,1960706,1930206,1844167,2331222,2331841,2551896,17852,19551,19706
2 h 56 min,1980411,1951933,1868506,2355135,2355658,2574021,17959,19579,19636
2 h 58 min,1998218,1965587,1887166,2376477,2374785,2600780,17945,19410,19987
3 h ,2017167,1990751,1908054,2404473,2400183,2627498,17940,19384,19868
3 h 2 min,2040626,2007596,1931815,2425993,2423353,2655550,17796,19446,19761
3 h 4 min,2060881,2032416,1948151,2451487,2447211,2682405,18094,19739,19651
3 h 6 min,2082566,2047955,1963538,2470010,2470931,2703279,18077,19502,19745
3 h 8 min,2099562,2071950,1985457,2494473,2492437,2732706,17967,19628,19816
3 h 10 min,2118703,2101528,2006469,2514054,2518207,2751916,17789,19646,19905
3 h 12 min,2136139,2105557,2026284,2537760,2538118,2779816,18063,19405,19866
3 h 14 min,2156380,2123653,2045714,2562567,2561453,2805861,17807,19584,19971
3 h 16 min,2168687,2137115,2062036,2582093,2581722,2827931,17824,19792,20029
3 h 18 min,2189795,2155665,2085605,2603283,2606157,2854800,17831,19486,19718
3 h 20 min,2211329,2173899,2103082,2627251,2630606,2875550,17764,19517,19783
3 h 22 min,2229947,2186110,2121921,2652264,2655220,2900274,17875,19596,20079
3 h 24 min,2247604,2206984,2137514,2670470,2670717,2927143,17867,19718,19823
3 h 26 min,2266635,2223333,2158911,2687466,2697036,2947934,17969,19965,20001
3 h 28 min,2282764,2244070,2176539,2711984,2712836,2974061,17837,19866,19758
3 h 30 min,2304958,2259636,2194388,2729722,2737285,3020854,17891,19840,19860
3 h 32 min,2321666,2277897,2214808,2757499,2763934,3051093,18071,20079,20104
3 h 34 min,2340518,2296419,2230126,2772212,2783268,3066117,17938,20026,19882
3 h 36 min,2362107,2312109,2250904,2792715,2799205,3097319,18115,19791,19973
3 h 38 min,2377769,2328967,2267020,2813630,2816504,3119854,18056,20051,19983
3 h 40 min,2395631,2347160,2283301,2835810,2836332,3136611,18258,19760,19980
3 h 42 min,2413095,2365765,2301534,2855831,2859200,3161843,18102,19925,20084
3 h 44 min,2433075,2382018,2318022,2879125,2877970,3184378,18103,20282,20021
3 h 46 min,2453495,2397405,2337754,2896506,2901030,3208839,18058,20246,20055
3 h 48 min,2464523,2418857,2353485,2912856,2915070,3232530,17978,19992,20078
3 h 50 min,2484338,2433020,2363894,2929481,2934706,3251983,17819,20158,19758
3 h 52 min,2497883,2444516,2381331,2951950,2958399,3277985,17933,20102,20073
3 h 54 min,2514081,2464743,2405023,2971160,2979176,3298787,18050,20043,20276
3 h 56 min,2534391,2477807,2414360,3012765,3029136,3318240,17654,19828,20119
3 h 58 min,2550672,2501444,2436719,3042041,3047241,3339812,17864,20277,19727
4 h ,2562636,2509929,2445781,3057257,3064961,3355221,17958,20041,20083
4 h 2 min,2580209,2523968,2466297,3072473,3083644,3375252,18166,20185,20102
4 h 4 min,2598016,2540510,2482083,3093852,3105601,3403565,17609,20150,20206
4 h 6 min,2611809,2555636,2495435,3104638,3122936,3416084,17929,20158,20413
4 h 8 min,2632902,2572440,2511922,3128136,3133529,3442857,18021,20123,20203
4 h 10 min,2648303,2588157,2526595,3145664,3156257,3460192,17754,20226,20258
4 h 12 min,2667995,2606570,2543151,3165502,3178600,3485231,17956,20248,20437
4 h 14 min,2684069,2614751,2558868,3187460,3193816,3512003,17882,20311,20218
4 h 16 min,2689033,2632696,2573554,3195356,3212884,3518937,18070,20547,20025
4 h 18 min,2706964,2642734,2590137,3216158,3222514,3542050,17886,20259,20152
4 h 20 min,2725721,2663539,2603806,3233300,3247553,3557073,17849,20308,20224
4 h 22 min,2738839,2676561,2615645,3244471,3258917,3580764,17953,20148,20680
4 h 24 min,2752851,2691756,2634690,3268547,3275288,3593476,17843,20334,20501
4 h 26 min,2770026,2705823,2646791,3287615,3295127,3618130,18027,20281,20400
4 h 28 min,2782993,2713592,2663182,3290890,3306491,3633923,17933,20240,20273
4 h 30 min,2799274,2735525,2677758,3309765,3326329,3649525,17604,20190,20133
4 h 32 min,2814964,2748286,2690367,3334997,3342701,3667245,18057,20458,20113
4 h 34 min,2832276,2760840,2701299,3344049,3356954,3686698,17736,20311,20658
4 h 36 min,2841173,2766877,2717814,3361577,3372363,3706344,17668,20465,20016
4 h 38 min,2856725,2789525,2729268,3374867,3387386,3718286,17571,20318,20316
4 h 40 min,2872855,2801007,2749276,3384689,3401254,3736968,17579,20460,20305
4 h 42 min,2884172,2810921,2758585,3407225,3411269,3751992,17857,20515,20289
4 h 44 min,2900838,2827587,2775306,3423404,3435730,3772023,17974,20359,20499
4 h 46 min,2909872,2836346,2783570,3435345,3440160,3782039,17645,20379,20568
4 h 48 min,2920020,2850785,2798215,3441509,3457688,3807078,17585,20351,20617
4 h 50 min,2964228,2859420,2810371,3458843,3467896,3828264,17770,20611,20376
4 h 52 min,2950038,2871975,2824163,3473289,3481378,3834043,17552,20289,20364
4 h 54 min,2991963,2886468,2836264,3493127,3495439,3853303,17670,20600,20297
4 h 56 min,3004675,2898706,2846701,3504684,3510077,3865438,17731,20391,20467
