iteration,walker,chain,k_tx,K_tx,k_rna_deg,k_tl,K_tl,k_mat,k_csy4,k_tl_unbound_toehold,k_tl_bound_toehold,k_trigger_binding,k_trigger_unbinding,k_tx_init,k_star_bind,k_star_unbind,k_star_act,k_star_act_reg,k_star_stop,k_star_stop_reg,k_sequestration_bind,k_sequestration_unbind,likelihood,prior,posterior,step_accepted
0,0,0,1.1506711029658638,0.859041866846065,-3.3071637002722447,1.058936511488983,1.7212662780679784,-0.6640438116142364,0.5887392196854259,-2.0193907102716997,-0.3598882034853753,-1.3804495372709238,-0.2310380649154008,-0.0698662487071126,0.7415275418607571,-1.0953899019179225,-2.0342850380308493,0.40275258039836614,0.5187334877501486,-2.0378735055050234,1.8788637903954644,-1.015221395078543,-9442027124835.777,-36.4674193354585,-9442027124872.244,1.0
0,0,1,1.6614086160893689,1.299477034329817,-3.0637395951013,1.3712860019409783,1.9482699788958135,-1.0031495604097818,0.12887892914483,-1.680484419124488,-0.41655625271610786,-1.2239506873909345,-0.12162699830764984,-0.045330859306334736,0.7138155248979768,-1.4870988674885774,-1.8977740437669164,0.9137997261740329,0.6133417519400532,-1.9287122648015074,1.982379285852992,-0.8109464769869277,-11727959174143.723,-36.65551981341136,-11727959174180.379,1.0
0,0,2,1.0389086973714403,0.6754222012242016,-3.5792538830136205,1.453273703156419,2.0403917958904603,-0.7916356514124276,0.6499093554248112,-1.9372392827768083,-0.338123526967993,-1.0668820543864281,-0.6645064240480401,-0.001973296821183189,0.6637478934642681,-1.4666898301721458,-1.5852375452156557,0.15972641794143982,1.2126618144428472,-1.5693633517296712,1.9153515246687036,-0.8638611684577192,-1084782466943.2032,-36.71592906940313,-1084782466979.9192,1.0
0,0,3,1.5020993680736363,1.8507015418333563,-3.2991764262231174,0.09112640329032806,2.5250604376164265,-0.10449507589859686,1.1249062936523693,-2.0270589136007864,-0.10816965990914426,-1.4554925281432944,0.20466138508543857,-0.517646117504271,0.4913615724400058,-1.3940720076451831,-1.739539083483871,0.3305155434726711,-0.030135488148146927,-2.09789219448126,2.256176633731204,-1.3312602717147581,-3074978470116.7646,-38.111850902961024,-3074978470154.8765,1.0
0,0,4,0.23528780795983795,1.452862997741346,-3.3103517795068544,1.5349464097870085,2.5670254534576276,-1.3938864388324497,0.24005639722520491,-2.016434946288304,-0.4997463251034848,-1.6879454655246595,-0.5245057672847446,0.2669411576538493,0.4626069321489939,-1.0134172783207644,-1.14277881229879,0.40288852371727646,0.4911392313027794,-2.9315533629255426,1.821047401804959,-1.6288369390924988,-8110294879.098912,-37.768237366864525,-8110294916.867149,1.0
0,0,5,1.1871237016238434,1.7192484621018282,-3.321098562742941,2.322571601064229,1.930121971597558,-0.2378878242718459,0.387728333749243,-2.1095059770733124,-0.30220153640330827,-1.441596632873868,-0.4429573389251378,-0.7961722567391079,1.8338085581800891,-2.169173037279114,-1.8939893473346008,0.9911467219683787,1.2757206224867055,-2.276229443535778,1.3285864787825976,-1.5193666220581865,-603819977884.9062,-37.58136835364188,-603819977922.4877,1.0
0,1,0,1.3010299956639813,1.0,-3.1079053973095196,1.2041199826559248,1.8182258936139555,-0.6989700043360187,0.4623979978989561,-2.0,-0.3010299956639812,-1.3010299956639813,-0.3010299956639812,0.0,0.6989700043360189,-1.0,-2.0,0.47712125471966244,0.6020599913279624,-2.0,2.0,-1.0,-15848757358012.691,-36.400597358652014,-15848757358049.092,0.0
0,1,1,1.2188850274011758,1.2614732539499536,-3.3905122872888054,0.8906981853413021,1.8262065539683308,-0.983075959681238,0.19312486508831223,-1.9216295893543944,0.08347438574205984,-1.351814606518299,-0.2222715801884884,-0.10912264848912825,0.7335880974442818,-1.1350606878678895,-1.813328712524772,0.31916405859569913,0.7261280731762301,-2.0440040710883487,2.1731626353881386,-1.13561438740156,-2376522080531.2974,-36.613837326162326,-2376522080567.911,1.0
0,1,2,1.1878063830896153,1.5462136777939617,-3.0555331117851887,1.2264869813799018,1.6039885057892993,-0.6624030190736978,0.7604079874839749,-1.9358209282920413,-0.025027466897769524,-1.2109792034255116,-0.20723734083839657,0.02064445924247286,0.358251226836892,-0.3795089432939571,-2.044659744862441,0.6339299138220947,0.23871696622967914,-2.0121884495926157,2.532278611802321,-0.9037534496093613,-665140552152.1672,-36.6586402051418,-665140552188.8259,1.0
0,1,3,1.3010299956639813,1.0,-3.1079053973095196,1.2041199826559248,1.8182258936139555,-0.6989700043360187,0.4623979978989561,-2.0,-0.3010299956639812,-1.3010299956639813,-0.3010299956639812,0.0,0.6989700043360189,-1.0,-2.0,0.47712125471966244,0.6020599913279624,-2.0,2.0,-1.0,-15848757358012.691,-36.400597358652014,-15848757358049.092,0.0
