time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
2 h 1 min,43643,44160,45454,240029,232699,224588
2 h 2 min,43906,44004,45344,240550,233891,226451
2 h 3 min,43991,44296,45632,243523,236508,228041
2 h 4 min,44047,44375,45274,245441,237769,230493
2 h 5 min,44213,44552,45266,248620,240385,231932
2 h 6 min,43684,44430,45522,249209,240810,233370
2 h 7 min,44286,44237,45471,251853,242386,235782
2 h 8 min,43947,44420,45461,253278,245277,236741
2 h 9 min,44279,44592,45757,256183,247688,240084
2 h 10 min,44299,44653,45590,256580,249058,240344
2 h 11 min,44087,44432,45672,260293,252209,242441
2 h 12 min,44238,44402,45633,260855,254059,244441
2 h 13 min,44091,44307,45545,263403,255731,245989
2 h 14 min,44340,44448,45883,265143,257758,247565
2 h 15 min,44202,44720,45424,267966,259553,249154
2 h 16 min,43713,44874,45717,269336,262554,251648
2 h 17 min,44278,44461,45286,271158,261663,253032
2 h 18 min,43786,44580,45463,272706,265239,255279
2 h 19 min,43936,44227,45692,273323,266582,257334
2 h 20 min,44086,43892,45459,275940,267541,258279
2 h 21 min,43847,45046,45397,278269,269994,259403
2 h 22 min,43946,44448,45569,280763,272008,260827
2 h 23 min,43870,44466,45312,282188,274570,262622
2 h 24 min,43985,44221,45553,281804,275584,264225
2 h 25 min,44029,44685,45404,286312,278009,266637
2 h 26 min,43952,44308,45332,286928,278872,267979
2 h 27 min,43888,44887,45000,290353,282722,270720
2 h 28 min,44119,44453,45260,292710,284147,273570
2 h 29 min,44284,44545,45494,293231,285695,273981
2 h 30 min,43853,44830,45858,294943,287257,276406
2 h 31 min,43785,44453,45580,296834,288312,277694
2 h 32 min,43756,44221,45442,298725,290449,278776
2 h 33 min,43940,44354,45387,298040,290230,280420
2 h 34 min,44151,44269,45567,302342,295409,282201
2 h 35 min,44107,43943,45646,301342,293833,281516
2 h 36 min,43689,44524,45440,308507,297862,285695
2 h 37 min,44488,44552,45527,307466,299807,288449
2 h 38 min,44107,44573,45839,311042,301684,290175
2 h 39 min,43967,44574,45555,311905,302958,291107
2 h 40 min,43987,44469,45489,313289,304740,292833
2 h 41 min,44317,44628,45378,315646,307096,294025
2 h 42 min,44102,44412,45617,318523,307589,296341
2 h 43 min,44080,44180,45514,319372,309206,297492
2 h 44 min,44110,44628,45637,321907,312563,299437
2 h 45 min,44395,44857,45552,324771,315550,301712
2 h 46 min,44038,44540,45349,325990,316385,303150
2 h 47 min,43708,44466,45467,326771,318263,305246
2 h 48 min,44087,44542,45586,328292,320509,305918
2 h 49 min,44202,44840,45425,330785,322113,308466
2 h 50 min,44254,44431,45446,331895,323620,310508
2 h 51 min,44414,44485,45635,335129,326223,312042
2 h 52 min,44207,44337,45544,336362,326963,312549
2 h 53 min,43805,44539,45579,338732,330018,316358
2 h 54 min,43917,44735,45331,340760,332032,315974
2 h 55 min,43930,44590,45284,342842,333032,317756
2 h 56 min,43819,44435,45596,344719,335499,320318
2 h 57 min,44054,44738,45508,346829,338896,322565
2 h 58 min,44080,44360,45129,346117,338951,323907
2 h 59 min,44227,44817,45886,349528,341280,324976
3 h ,44035,44286,45475,349665,341965,325894
3 h 1 min,44154,44691,45495,352652,344103,328442
3 h 2 min,44139,44569,45442,353461,347309,330621
3 h 3 min,43968,44432,45522,357818,348693,332594
3 h 4 min,44065,44431,45865,358900,351474,334265
3 h 5 min,44281,44516,45619,361065,352132,336005
3 h 6 min,43714,44475,45549,363791,355077,337937
3 h 7 min,44029,44858,45624,365381,355680,339623
3 h 8 min,44220,44467,45650,364134,356448,339006
3 h 9 min,44005,44566,46062,369546,359791,342664
3 h 10 min,43830,44923,45599,369710,360517,344185
3 h 11 min,44126,44380,45795,373451,363367,345774
3 h 12 min,43475,44242,45850,373478,364545,347186
3 h 13 min,44053,44668,45402,375314,365723,349063
3 h 14 min,43989,44617,45603,377218,369751,351337
3 h 15 min,44024,44259,45257,378986,371354,352995
3 h 16 min,44212,44495,45730,380740,371697,354516
3 h 17 min,44065,44527,45584,382110,373081,356900
3 h 18 min,43887,44736,45436,384603,375369,357612
3 h 19 min,44271,44500,45508,382987,374780,356461
3 h 20 min,43903,44401,45597,385535,376753,358366
3 h 21 min,43965,44590,45447,390974,381178,363010
3 h 22 min,43968,44602,45919,392427,383411,363545
3 h 23 min,43888,44561,45770,393413,385672,367134
3 h 24 min,43852,44402,45758,395386,384850,367107
3 h 25 min,44027,44773,45741,396797,386919,369970
3 h 26 min,44086,44460,45736,398318,390056,369573
3 h 27 min,43965,44211,46117,402017,392851,373711
3 h 28 min,44271,44212,45813,404744,395263,374245
3 h 29 min,44110,44481,45722,407375,396893,377766
3 h 30 min,44089,44511,45745,408210,399483,377917
3 h 31 min,44429,44649,45613,409690,401154,379301
3 h 32 min,44691,44729,45538,411362,402333,381918
3 h 33 min,44199,44520,46017,412704,403894,383247
3 h 34 min,43887,44586,45327,417541,407073,384617
3 h 35 min,44175,44541,45424,417554,408073,386384
3 h 36 min,44365,44824,45299,419336,409813,387768
3 h 37 min,44133,44665,45793,421062,413787,389837
3 h 38 min,43917,44388,45943,423295,411910,392728
3 h 39 min,44144,44678,45917,423268,413417,393797
3 h 40 min,44285,44787,45744,424008,415088,394701
3 h 41 min,44346,44612,45670,426926,418048,395605
3 h 42 min,44351,44842,46088,429557,418705,398948
3 h 43 min,44083,44478,45528,431173,421583,398606
3 h 44 min,44442,44756,45788,432283,424021,402127
3 h 45 min,44521,44971,45653,435010,425501,403579
3 h 46 min,43943,44336,45781,436311,427104,404991
3 h 47 min,44151,44881,45790,435284,428748,406224
3 h 48 min,43940,44532,45511,438586,430968,409279
3 h 49 min,44227,44761,46080,441175,432475,409142
3 h 50 min,44165,44404,45944,443518,435229,410800
3 h 51 min,44134,44619,45686,446656,436270,413746
3 h 52 min,44723,44598,45967,449821,439956,416541
3 h 53 min,44211,44843,45774,450245,440929,417089
3 h 54 min,44013,44492,45601,452205,442381,418815
3 h 55 min,44348,44677,45823,453972,443902,420733
3 h 56 min,44286,44883,45957,455000,447368,422007
3 h 57 min,44588,44645,45940,456822,446382,424898
3 h 58 min,44183,44370,45907,458589,448834,425898
3 h 59 min,44030,45243,45795,462316,452451,427734
4 h ,44299,44440,45846,464357,451972,430858
4 h 1 min,44401,45215,45929,465906,456041,431721
4 h 2 min,44217,44699,46229,467714,457904,432872
4 h 3 min,44325,44526,46308,470098,460028,435996
4 h 4 min,44328,44550,46257,470194,459959,436010
4 h 5 min,44355,44420,45753,469673,462453,437284
4 h 6 min,44192,44741,45901,474989,463289,439353
4 h 7 min,44384,44805,46051,476058,466495,442011
4 h 8 min,44160,44774,46049,477743,467879,443792
4 h 9 min,44383,44115,45882,480251,470564,445957
4 h 10 min,44250,44840,45445,482936,472989,445861
4 h 11 min,44211,44788,45865,484443,475250,448779
4 h 12 min,44277,44802,45908,486978,477647,450958
4 h 13 min,44306,45011,45925,487964,479168,451999
4 h 14 min,44352,44454,46142,489307,479744,453712
4 h 15 min,44651,45169,45675,491814,481100,454547
4 h 16 min,44345,44903,46096,494103,482813,456904
4 h 17 min,44357,44359,45801,494993,484224,456356
4 h 18 min,44572,44595,46463,496966,485156,459932
4 h 19 min,44342,44771,45733,498350,487786,462494
4 h 20 min,44377,44588,46056,500049,489978,462097
4 h 21 min,44389,45005,45765,503118,492883,466865
4 h 22 min,44211,44973,45942,505968,496199,467536
4 h 23 min,44368,44910,46031,508365,497994,469221
4 h 24 min,44729,44845,45762,510599,500528,472126
4 h 25 min,44416,44734,45587,511613,500063,473510
4 h 26 min,44530,45045,46162,513599,502926,474606
4 h 27 min,44221,45197,46229,516024,504913,477415
4 h 28 min,44428,45130,45676,516805,506173,478127
4 h 29 min,44149,44914,46015,518943,508489,480895
4 h 30 min,44485,45118,46258,521025,510763,481415
4 h 31 min,44716,44738,46232,522409,512668,482731
4 h 32 min,44775,44947,45902,527013,513353,484169
4 h 33 min,44674,45064,45960,526588,516134,486403
4 h 34 min,44431,45203,45818,527108,516545,487951
4 h 35 min,44879,44877,46009,529917,518463,488814
4 h 36 min,44422,45055,46289,530767,519970,490540
4 h 37 min,44260,45060,46031,532452,521573,492390
4 h 38 min,44345,44932,46109,534274,523026,494404
4 h 39 min,44678,45043,46103,536535,525245,496048
4 h 40 min,44493,45098,46417,537179,528205,496678
4 h 41 min,44429,45508,46488,541097,530109,500172
4 h 42 min,44231,44916,46304,540960,530561,500200
4 h 43 min,44729,45222,46221,542700,531644,502638
4 h 44 min,44693,45059,46508,544660,534096,503611
4 h 45 min,44519,45113,45858,544838,533397,503995
4 h 46 min,44693,45279,46239,547441,533808,505447
4 h 47 min,44092,45170,46186,549071,540960,507721
4 h 48 min,44331,44993,46465,549743,537562,508475
4 h 49 min,44585,45151,46289,546646,537878,508653
4 h 50 min,44329,44750,46249,547551,538850,509818
4 h 51 min,44625,44935,46376,553360,542974,514188
4 h 52 min,44304,44820,46013,555922,545811,513736
4 h 53 min,44640,44998,45987,558868,546482,517052
4 h 54 min,44460,45120,46418,559457,549195,517984
4 h 55 min,45005,44989,46355,561430,552360,519039
4 h 56 min,44733,45199,46191,561265,552017,521861
4 h 57 min,44521,45181,46386,564581,554264,522683
4 h 58 min,44594,45108,45901,565006,556812,522121
4 h 59 min,44346,45218,45979,571075,558621,529040
5 h ,44398,45064,46187,572870,560786,529931
