time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
8 h 51 min,46104,47376,48568,887174,884324,821230
8 h 52 min,46556,47275,48773,884474,884502,821860
8 h 53 min,46507,47210,48944,887420,886420,823340
8 h 54 min,46390,46528,48890,888708,888133,824902
8 h 55 min,46577,46836,48300,890969,891202,826560
8 h 56 min,46793,46839,48617,895518,893229,831122
8 h 57 min,46252,47022,48409,894970,893476,829519
8 h 58 min,46380,46992,48108,894641,893065,829958
8 h 59 min,46700,47177,48368,897778,895353,830588
9 h ,46398,46851,48183,896545,897943,832479
9 h 1 min,46015,47331,48421,900107,897326,834315
9 h 2 min,46255,47101,48488,899833,898052,835287
9 h 3 min,46748,46840,48564,901984,901053,837603
9 h 4 min,46131,47081,48263,902231,902601,839590
9 h 5 min,46178,46911,48348,906095,902628,840384
9 h 6 min,46540,47171,48228,906643,905670,840357
9 h 7 min,46676,47271,48226,907054,903259,842672
9 h 8 min,46387,47316,48223,907807,905396,841946
9 h 9 min,46456,47080,48393,910082,907273,843714
9 h 10 min,46422,47683,48612,909465,911000,845577
9 h 11 min,46939,47567,48949,911534,911096,845988
9 h 12 min,46981,47336,49083,915603,913041,848482
9 h 13 min,46372,47176,48057,917234,917124,851592
9 h 14 min,46281,46963,48480,915261,911945,849098
9 h 15 min,46419,47359,48305,919262,916288,853770
9 h 16 min,45988,47046,48652,921372,918782,853044
9 h 17 min,46783,47563,48685,918385,919851,853277
9 h 18 min,46625,47337,48808,925043,921741,855250
9 h 19 min,46365,47596,48963,925482,922385,857744
9 h 20 min,46595,47245,48800,925989,925359,858552
9 h 21 min,46403,47102,48524,927866,925852,859141
9 h 22 min,46371,47143,48882,927838,925961,862745
9 h 23 min,46557,46974,48530,925989,927030,860155
9 h 24 min,46444,47205,48705,934305,932154,864580
9 h 25 min,46874,47360,48572,934031,931250,864854
9 h 26 min,46202,46918,48734,933648,932963,865074
9 h 27 min,46705,47338,48921,935703,933881,866923
9 h 28 min,46215,47308,48547,938484,935401,873253
9 h 29 min,46972,47328,48572,931565,932045,865540
9 h 30 min,47209,47135,48579,941046,939635,871212
9 h 31 min,46430,46944,48422,941622,936319,875500
9 h 32 min,46874,47426,48800,942786,939758,872924
9 h 33 min,46315,47245,48244,944102,939238,870979
9 h 34 min,46772,46943,48683,941074,938101,871883
9 h 35 min,46584,47016,48656,944691,943403,876007
9 h 36 min,46633,47487,48645,944800,943362,875267
9 h 37 min,47002,47545,48849,944554,946965,876555
9 h 38 min,46540,47137,48706,949020,947363,879843
9 h 39 min,46500,47510,49150,944746,945362,878460
9 h 40 min,46727,47032,48634,953309,950349,882995
9 h 41 min,46783,47249,48869,951254,949678,883584
9 h 42 min,46411,47410,48998,954898,954323,885817
9 h 43 min,47005,47372,48793,957433,953268,888873
9 h 44 min,46782,47406,49039,957515,957679,885461
9 h 45 min,46204,47019,48617,959474,957515,887571
9 h 46 min,46842,47366,48728,958995,959885,887571
9 h 47 min,46673,47652,48932,959776,959625,890667
9 h 48 min,46784,47539,49136,965393,959817,891750
9 h 49 min,47126,47544,49171,965434,960749,892037
9 h 50 min,46946,47559,49078,963886,962776,892723
9 h 51 min,46931,47236,48665,961667,962543,891750
9 h 52 min,47006,47734,48640,966832,965393,895627
9 h 53 min,46473,47163,48791,969736,966763,897984
9 h 54 min,46745,47593,48822,972299,965832,900436
9 h 55 min,47297,47495,49083,970805,967229,902259
9 h 56 min,46917,47438,48843,971655,973395,899902
9 h 57 min,46859,47411,49332,971545,970641,901464
9 h 58 min,47297,47466,48927,975477,975080,902779
9 h 59 min,46744,47506,48935,976930,976628,904437
