,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
5 h ,256.667,-1489.333,2349.667,604631,682007,759231,821588,825961,820021,234845.333,230761.333,218385.333,876126,953695,841227,403110.667,384753.667,323713.667,269817.667,246991.667,342972.667,793022.667,913452.667,812645.667,736078,765284,746418,118611.333,133568.333,223718.333,-7279,-6757,-1160,2387,2490,2848,2583,5494,1453,803658,815635,870419,570545.667,569266.667,530420.667,231687,236253,238315,793739.667,708649.667,777307.667,565473.667,598764.667,615389.667,168898.333,246835.333,225411.333
5 h 10 min,168.667,-1623.333,2401.667,606487,691990,770865,827157,831021,827171,235725.333,231627.333,218756.333,883827,962220,856586,404774.667,385028.667,322145.667,269845.667,248723.667,345791.667,797643.667,915817.667,817389.667,748055,769643,755095,118248.333,134762.333,225423.333,-7324,-7068,-928,2400,2130,3133,2873,5186,1763,809145,822813,875314,575192.667,573102.667,533018.667,233296,239154,242152,798745.667,713558.667,781102.667,567605.667,601500.667,618276.667,171131.333,249902.333,228588.333
5 h 20 min,657.667,-1526.333,2762.667,608151,693090,772900,834335,836494,830086,235354.333,232397.333,222043.333,893150,965177,861798,400525.667,379418.667,317759.667,271990.667,249768.667,347111.667,803597.667,922019.667,823577.667,756168,773342,765381,117148.333,132832.333,225946.333,-7854,-7071,-827,2465,2627,3009,2662,5634,1349,822263,834075,883070,577929.667,575316.667,533087.667,234754,238948,242440,803778.667,719444.667,782024.667,570753.667,605804.667,622223.667,171331.333,250493.333,231035.333
5 h 30 min,421.667,-1604.333,2989.667,609196,697490,779088,835903,840097,836522,238681.333,234762.333,221947.333,898224,975958,874793,397390.667,377534.667,314816.667,272347.667,249892.667,349077.667,806993.667,925305.667,829723.667,763950,777261,772737,116316.333,131497.333,228077.333,-8015,-7369,-820,2688,2542,2976,2757,5314,1654,836798,844155,893946,580266.667,579551.667,539358.667,234905,241162,242715,805785.667,723651.667,788335.667,572844.667,607771.667,623612.667,171357.333,252170.333,230925.333
5 h 40 min,362.667,-1658.333,3015.667,604699,695249,771525,834459,841004,838639,238228.333,233291.333,222387.333,902116,972534,877735,390968.667,371552.667,308944.667,273736.667,247458.667,345392.667,811600.667,928798.667,831855.667,769836,781497,778086,115017.333,130488.333,228063.333,-8008,-7295,-1493,2348,2271,3102,2655,5814,1670,837692,847661,896820,569830.667,577475.667,531341.667,235785,241615,244916,808879.667,724655.667,791223.667,575415.667,611539.667,624671.667,171733.333,251992.333,231517.333
5 h 50 min,23.667,-2339.333,2416.667,600409,680370,763494,833840,845322,841747,239493.333,234790.333,223418.333,897468,956940,834475,376929.667,360359.667,295166.667,275208.667,245231.667,343852.667,813057.667,931796.667,837052.667,756951,779956,771926,110959.333,125925.333,222632.333,-8653,-7871,-2123,2666,2465,3333,2519,5890,1868,820998,840373,893025,554525.667,565787.667,521124.667,236913,242880,244297,810901.667,729110.667,797452.667,577450.667,611951.667,623942.667,163347.333,251180.333,232300.333
6 h ,-273.333,-2917.333,2178.667,607505,665011,751902,843507,852624,844951,242119.333,236454.333,224367.333,872579,938115,817163,365873.667,343665.667,285967.667,273942.667,244282.667,346451.667,818723.667,944584.667,843680.667,750227,767429,756566,104799.333,122586.333,217750.333,-9141,-8381,-2268,2817,3247,3379,3173,6082,1462,816873,828905,879536,556134.667,566309.667,520808.667,237394,245466,247790,828639.667,742421.667,775300.667,562599.667,591971.667,612859.667,159066.333,252500.333,228024.333
6 h 10 min,98.667,-2800.333,2423.667,606308,665671,761982,842599,850836,847701,241528.333,236371.333,224078.333,900809,950725,819610,362325.667,348107.667,283918.667,277765.667,245382.667,347510.667,817664.667,938754.667,841700.667,755617,783394,775212,106716.333,120274.333,216554.333,-9256,-8361,-1827,2997,3479,3634,3163,5508,1916,819073,839452,893011,556862.667,567121.667,522595.667,238013,243472,248051,821612.667,732837.667,794496.667,578041.667,615059.667,626898.667,159321.333,253738.333,233607.333
6 h 20 min,-377.333,-3120.333,2853.667,605263,661147,758159,842379,850382,846711,242188.333,237746.333,225426.333,910380,963527,842189,357210.667,342868.667,277647.667,276445.667,244942.667,345419.667,819726.667,940651.667,843873.667,772820,783985,785127,105344.333,118758.333,216361.333,-9148,-8783,-1850,2960,3443,3513,3052,5795,1943,827502,848184,900753,554731.667,567657.667,521633.667,238054,244792,246841,816868.667,733222.667,798594.667,579939.667,615279.667,627985.667,157009.333,252844.333,233992.333
6 h 30 min,-849.333,-3459.333,2489.667,611616,644962,750018,848017,858454,849681,244223.333,238613.333,225687.333,882163,944014,826953,345453.667,327536.667,269796.667,275373.667,243512.667,346231.667,825406.667,955090.667,852921.667,766219,772146,769313,100109.333,116103.333,211755.333,-9614,-9005,-2376,2954,2933,3713,3265,5943,1387,827626,840071,888529,553108.667,566021.667,520753.667,239663,246112,248615,835487.667,748637.667,781996.667,566078.667,595986.667,612446.667,152502.333,253271.333,228560.333
6 h 40 min,-238.333,-3275.333,2857.667,612029,654670,759919,847343,856419,851744,243329.333,238654.333,225879.333,920253,979643,866680,348024.667,334947.667,269933.667,277586.667,246221.667,349077.667,829407.667,944185.667,849181.667,791727,790833,797228,103467.333,116151.333,216774.333,-9560,-9031,-1702,3489,3311,3906,3419,6238,1954,847111,861934,911768,563270.667,577626.667,531080.667,239209,245493,248793,820100.667,737306.667,799144.667,582510.667,618991.667,631972.667,155821.333,253642.333,233896.333
6 h 50 min,-494.333,-3556.333,3017.667,614586,640493,751985,853669,863226,856488,244567.333,240002.333,226292.333,895501,960887,865662,338839.667,321513.667,263910.667,277806.667,245217.667,348225.667,834412.667,954168.667,856372.667,780328,778306,780768,99608.333,114155.333,213584.333,-9849,-8912,-1961,3167,3088,3614,3934,6781,2000,847207,854578,898361,558623.667,574807.667,524135.667,238741,246084,250086,835735.667,748664.667,788033.667,567343.667,600469.667,615513.667,152604.333,255086.333,230554.333
7 h ,-588.333,-3759.333,2874.667,612881,629135,742827,852693,863954,858454,245516.333,241074.333,227681.333,897935,964833,863558,330519.667,315985.667,255770.667,279003.667,242962.667,348376.667,835512.667,958060.667,856689.667,787533,776766,786433,98025.333,112413.333,213666.333,-9993,-9359,-2188,3407,3109,4431,3967,7023,1935,847469,853821,902403,551720.667,567849.667,515390.667,239965,247253,250870,836793.667,750658.667,787813.667,568498.667,601322.667,615086.667,149176.333,254068.333,229867.333
7 h 10 min,-522.333,-4117.333,2881.667,611809,620155,737560,852500,863776,858482,246739.333,240469.333,228162.333,888598,946338,824148,324634.667,310526.667,249953.667,277573.667,243292.667,347345.667,837754.667,956547.667,858188.667,768722,776821,775034,95994.333,109552.333,208936.333,-10327,-9592,-2059,3638,3357,4400,3855,6928,2237,829978,847262,895349,547801.667,561634.667,513602.667,239470,246744,250182,836560.667,751868.667,791168.667,568622.667,601267.667,614907.667,146578.333,254233.333,228203.333
7 h 20 min,-424.333,-3960.333,3033.667,612097,627168,747048,852473,861644,858880,243728.333,240249.333,228258.333,914780,956253,817122,321334.667,315339.667,248248.667,280240.667,246221.667,349723.667,833450.667,950978.667,854640.667,771816,791260,787492,96845.333,108873.333,208523.333,-9920,-9353,-1287,4273,4447,4748,3982,6213,2570,830335,848390,907285,550317.667,563614.667,521757.667,240117,246896,250416,825710.667,741211.667,809182.667,585041.667,618730.667,632069.667,146918.333,253559.333,233593.333
7 h 30 min,-207.333,-3847.333,3349.667,617501,628488,752507,853064,859527,860723,245997.333,240662.333,230060.333,931707,983892,860808,320454.667,313702.667,247299.667,280639.667,247293.667,350246.667,837451.667,950318.667,853884.667,801188,796760,806674,96560.333,108383.333,209239.333,-10289,-9658,-479,4123,4138,5011,4235,6847,2946,840731,864547,917529,551197.667,568042.667,524465.667,239443,247405,249247,824844.667,739767.667,811822.667,585714.667,621384.667,635190.667,148708.333,253738.333,233373.333
7 h 40 min,-152.333,-4537.333,3172.667,617845,629506,755862,854398,861039,859650,245749.333,240868.333,229991.333,927788,969426,832399,319051.667,310113.667,245429.667,281725.667,247995.667,351676.667,837960.667,951776.667,856991.667,789445,798300,801903,95541.333,107257.333,205883.333,-10256,-9718,-364,4198,4329,5083,4457,6522,3375,831751,857617,911905,555570.667,567519.667,529718.667,241038,246896,251475,827195.667,740647.667,811506.667,588712.667,619156.667,633361.667,147511.333,253284.333,233194.333
7 h 50 min,-80.333,-4219.333,3889.667,621310,632256,758915,854700,860338,859348,246437.333,240208.333,229111.333,933316,989736,863751,317236.667,308216.667,243875.667,281285.667,249466.667,351772.667,835691.667,951583.667,858366.667,806069,798451,810676,95196.333,106400.333,206062.333,-10270,-9717,465,4552,4738,5375,4550,6852,3176,847276,873210,921709,562652.667,571438.667,534834.667,240213,247363,251516,826013.667,743274.667,812234.667,589400.667,624506.667,633375.667,147386.333,253532.333,233181.333
8 h ,446.667,-3976.333,3845.667,622795,635735,760552,857987,864862,863363,246134.333,240717.333,231614.333,937359,986257,863256,316507.667,305617.667,242459.667,281368.667,249782.667,353560.667,839486.667,954664.667,861873.667,806083,801669,813096,94989.333,106945.333,205746.333,-9846,-9192,942,4826,5257,5342,4558,7050,3734,849875,871203,923470,562005.667,570737.667,532812.667,240364,247858,251860,827842.667,746712.667,815810.667,588258.667,621728.667,634777.667,147648.333,254151.333,233181.333
8 h 10 min,80.667,-4132.333,4022.667,621173,633329,761913,855800,864587,862579,247592.333,241390.333,231531.333,926496,981307,851430,313523.667,302426.667,239186.667,282220.667,249328.667,352639.667,837520.667,956740.667,861777.667,797035,801092,802260,94232.333,105466.333,204866.333,-10090,-9418,1081,5598,5257,5722,5033,7014,3865,842683,865070,920169,566529.667,572621.667,536195.667,241120,246758,251516,829409.667,747715.667,816140.667,589881.667,621659.667,635437.667,147785.333,254151.333,234129.333
8 h 20 min,531.667,-3435.333,4691.667,625271,640974,765433,856667,866993,864477,248280.333,242600.333,232452.333,941058,997986,884074,315682.667,303939.667,239874.667,282344.667,251804.667,354206.667,840119.667,958514.667,863317.667,813550,805464,815337,94672.333,106314.333,207300.333,-9857,-8795,2040,5237,5732,6457,5211,7114,4037,854440,875438,928434,573295.667,574271.667,537515.667,241409,247735,251764,827690.667,746602.667,818739.667,591806.667,625757.667,634296.667,148221.333,252899.333,233016.333
8 h 30 min,751.667,-3554.333,4234.667,630001,648688,774371,861081,868932,865990,248170.333,242105.333,232934.333,940027,992596,876319,315655.667,303898.667,240369.667,282028.667,253756.667,356228.667,842127.667,958926.667,861089.667,810855,804350,815764,95253.333,106275.333,207932.333,-9856,-8836,3029,5777,5757,6181,5478,7543,4666,858029,874352,926233,585505.667,581545.667,544500.667,241684,248505,252602,828007.667,747509.667,818959.667,592246.667,622924.667,634901.667,151429.333,253367.333,233662.333
8 h 40 min,739.667,-3373.333,3955.667,630083,642115,765048,860819,871944,869744,249957.333,243701.333,232411.333,905938,942089,815279,314307.667,291550.667,235762.667,283128.667,249961.667,353450.667,843818.667,965925.667,867634.667,782542,788358,787657,91571.333,105394.333,203174.333,-9607,-8757,2044,5811,5912,6589,5690,8154,4711,830390,845626,899392,580308.667,567437.667,531753.667,242124,248780,253166,846708.667,759390.667,799749.667,576556.667,606093.667,614302.667,149823.333,253628.333,229949.333
8 h 50 min,1214.667,-3180.333,4992.667,633274,657860,783625,862772,869854,868561,250095.333,243893.333,232356.333,936905,990795,867505,316260.667,303334.667,240630.667,284929.667,255406.667,357273.667,842168.667,962405.667,864444.667,809507,806069,812739,95284.333,106029.333,207162.333,-9535,-8596,4255,6295,6315,7127,5910,8015,5492,859033,872454,925752,602612.667,588778.667,551926.667,242028,247528,252644,831018.667,750603.667,821970.667,593621.667,622195.667,637624.667,156084.333,253848.333,234762.333
9 h ,1832.667,-2554.333,5002.667,643944,661408,788700,874900,880909,871036,251566.333,245282.333,232549.333,915220,965548,848391,317662.667,294272.667,240603.667,285356.667,255984.667,359019.667,842883.667,974038.667,872420.667,797558,789912,799139,92501.333,107569.333,204756.333,-9675,-8627,4191,6507,6677,7226,6309,7766,5431,842642,854358,903888,602804.667,578314.667,547058.667,242798,250663,254349,849444.667,761893.667,805263.667,578977.667,604828.667,619762.667,156987.333,256241.333,229014.333
9 h 10 min,1667.667,-2510.333,5865.667,642844,669810,796510,870802,878297,872494,252721.333,245736.333,233759.333,920872,975999,876745,318350.667,295826.667,240726.667,285177.667,254829.667,357286.667,844134.667,974272.667,871595.667,808324,795811,806028,94191.333,108515.333,208977.333,-9316,-8239,4910,6934,6621,7939,7080,8255,5128,862306,867036,911149,603340.667,587623.667,548502.667,241629,249055,253331,846790.667,762635.667,806707.667,580874.667,609091.667,618813.667,162054.333,255622.333,229922.333
9 h 20 min,2574.667,-1888.333,7028.667,641992,688896,811306,870789,873429,869427,251346.333,244471.333,235271.333,945981,1007860,906598,321403.667,305754.667,244907.667,286635.667,258101.667,360985.667,841494.667,965128.667,868528.667,821030,811102,820879,98443.333,109219.333,213886.333,-8904,-7603,6837,7150,6993,7692,6777,9034,7262,879467,883221,934388,613296.667,592725.667,559599.667,242523,249398,254734,835432.667,751634.667,825683.667,596110.667,626293.667,638119.667,169086.333,255649.333,236398.333
9 h 30 min,2985.667,-1533.333,6562.667,638430,690463,807483,866760,872370,870981,253147.333,245103.333,235395.333,939697,983823,857728,320949.667,305933.667,245718.667,286126.667,257139.667,358881.667,840683.667,966420.667,867937.667,802123,810442,813192,98629.333,109039.333,211824.333,-8644,-7265,7082,8020,7626,8508,7075,9045,7857,858414,868892,923896,606709.667,587816.667,550180.667,243362,250155,254156,835666.667,752528.667,827608.667,595244.667,623832.667,637858.667,169034.333,255113.333,234129.333
9 h 40 min,3089.667,-1109.333,6821.667,647643,692581,808487,880511,884897,876564,254220.333,247661.333,236330.333,921518,972382,877350,322461.667,299181.667,244494.667,286263.667,258858.667,359872.667,843832.667,977284.667,876971.667,808036,798383,807004,96424.333,109993.333,212057.333,-8482,-7194,7323,8149,7888,8706,8217,10316,7763,867902,868081,915838,615455.667,592353.667,553947.667,243211,252465,257126,849774.667,767200.667,810639.667,583844.667,609600.667,621962.667,172103.333,256144.333,230458.333
9 h 50 min,3127.667,-763.333,6137.667,643477,691316,795506,875904,881734,875780,256145.333,248953.333,235684.333,907341,953846,827421,322173.667,297834.667,244247.667,286690.667,256286.667,360229.667,839775.667,976239.667,877342.667,789431,796870,795234,96048.333,110209.333,209885.333,-8199,-7086,7807,9104,8551,9978,8200,10335,8073,843811,852570,909609,604000.667,580308.667,544239.667,243211,251915,257071,849472.667,768094.667,809897.667,583349.667,607523.667,621590.667,169937.333,256117.333,230760.333
10 h ,4554.667,-465.333,7655.667,646392,706387,817136,871682,876179,872494,254674.333,247358.333,237815.333,951687,1000819,896450,323988.667,309329.667,248303.667,288477.667,260687.667,360655.667,841384.667,969789.667,874056.667,826159,814279,829446,100613.333,111935.333,216513.333,-7778,-6596,9979,9631,9640,10021,8344,11013,9864,873128,881873,935337,614355.667,593068.667,556670.667,244984,250581,255449,836202.667,756887.667,827237.667,599864.667,630473.667,640979.667,178095.333,255663.333,237155.333
10 h 10 min,4849.667,624.667,9154.667,649046,712066,822169,870074,880538,875780,254591.333,247647.333,237045.333,951591,997258,897138,324249.667,310154.667,249898.667,288752.667,261402.667,362305.667,840971.667,971893.667,873905.667,823519,813825,825898,102053.333,111860.333,217187.333,-7375,-5722,11013,10179,8946,10067,9135,10992,10374,878601,882355,932531,617696.667,596492.667,562074.667,245053,251654,256645,837618.667,758166.667,825146.667,600070.667,630446.667,640635.667,179676.333,258221.333,236948.333
10 h 20 min,5365.667,1073.667,9723.667,647836,717305,825236,871284,880180,872288,255760.333,247963.333,238530.333,954933,1010018,915660,327013.667,310141.667,250985.667,289178.667,262172.667,362223.667,842580.667,970023.667,875665.667,828731,816424,831893,102548.333,113615.333,220308.333,-7376,-5512,12078,10661,9896,10574,9403,11815,11421,883207,883785,935680,621368.667,599036.667,562789.667,246043,252547,256219,839200.667,759720.667,827512.667,602050.667,629415.667,643097.667,187060.333,257423.333,236948.333
10 h 30 min,5735.667,680.667,8275.667,650380,702743,804142,877829,886918,879232,259418.333,250603.333,238200.333,914670,951220,826706,324799.667,299979.667,246488.667,293235.667,260247.667,364643.667,841260.667,987336.667,884479.667,790338,799455,799070,99500.333,113291.333,213336.333,-6899,-5387,11106,11466,11239,12375,10027,11791,9869,847716,855128,907381,608263.667,585162.667,547691.667,245039,254349,258405,856430.667,771312.667,808810.667,588712.667,613244.667,625427.667,176685.333,257410.333,231613.333
10 h 40 min,6794.667,1653.667,11062.667,650118,720289,826019,874969,880112,878778,257575.333,249600.333,238819.333,957834,1009276,915908,326820.667,313111.667,251713.667,291984.667,263313.667,366046.667,841824.667,977902.667,877494.667,829611,821800,832622,103282.333,112958.333,221339.333,-6509,-4479,14252,12161,11687,12401,10779,12393,12464,887044,888501,939242,620735.667,599559.667,565182.667,247019,253070,258226,839887.667,762346.667,831843.667,606231.667,633045.667,642230.667,187913.333,257671.333,238062.333
10 h 50 min,7102.667,2142.667,10373.667,649885,706964,807524,878517,884746,880758,260064.333,251869.333,238709.333,920624,968078,853094,325308.667,302592.667,248633.667,291159.667,260907.667,362278.667,845894.667,986772.667,884025.667,803470,802879,807926,100638.333,114577.333,216018.333,-6455,-4292,13242,12977,12387,13862,11829,13568,12751,860133,863310,918753,610133.667,591212.667,552806.667,246016,254087,260042,855398.667,775918.667,814407.667,592274.667,614509.667,626238.667,178880.333,258977.333,234267.333
11 h ,8054.667,2726.667,12251.667,651095,721348,821097,878214,880566,878764,258386.333,249971.333,239672.333,956968,1011531,917860,327673.667,313936.667,253033.667,294294.667,264702.667,364959.667,846829.667,977559.667,880244.667,833324,821030,832361,105594.333,114382.333,225822.333,-5947,-4047,15868,14256,13144,14176,11738,13420,13233,898952,892723,941469,617146.667,603822.667,565787.667,247625,254184,259148,840355.667,762566.667,832283.667,605818.667,634557.667,643110.667,184049.333,258895.333,239795.333
11 h 10 min,8619.667,3097.667,11817.667,652470,716948,816352,874804,880029,880015,258854.333,252996.333,242064.333,952746,985996,869457,327934.667,314060.667,252140.667,294858.667,265279.667,368328.667,846046.667,979291.667,881523.667,814155,819394,822818,105218.333,116519.333,222481.333,-5754,-3545,16334,15334,13862,14689,12161,13234,14458,871656,873513,931129,611013.667,591858.667,554896.667,248037,254899,260550,843229.667,762896.667,828680.667,606671.667,638146.667,642340.667,186359.333,259802.333,240193.333
11 h 20 min,10351.667,3660.667,13951.667,653474,720963,820643,876853,883893,882518,260353.333,253106.333,242105.333,961588,1014707,930552,327673.667,316452.667,254395.667,296700.667,264317.667,366857.667,849635.667,977669.667,880079.667,832980,824124,838178,106661.333,116175.333,227637.333,-5090,-2860,18149,16005,14732,15494,12646,14656,16408,899694,889601,944962,615194.667,599586.667,564384.667,248752,256288,260468,842032.667,765358.667,827113.667,608843.667,636496.667,644637.667,188532.333,261095.333,239877.333
11 h 30 min,11575.667,5029.667,15535.667,659359,712836,813905,879795,886932,884883,262498.333,254866.333,242545.333,933935,999210,931927,326202.667,306648.667,252415.667,293826.667,264633.667,364877.667,854200.667,988669.667,886611.667,827397,810291,822405,104313.333,117892.333,232010.333,-5009,-2197,17582,15428,14174,16092,14376,15589,16358,900987,882588,929506,617737.667,599861.667,561263.667,248697,256741,262365,858313.667,775410.667,816483.667,596619.667,618208.667,626802.667,188394.333,260270.333,236550.333
11 h 40 min,11270.667,4518.667,14086.667,652649,702083,795300,874611,885365,886025,264203.333,254550.333,241954.333,928847,966194,862018,324799.667,306772.667,250668.667,294940.667,260453.667,364437.667,852371.667,991516.667,888082.667,807073,806674,812601,104183.333,117593.333,224351.333,-4219,-1832,17407,17747,16562,17740,14231,15644,16948,869401,865757,917873,596630.667,583539.667,545504.667,249000,256728,261114,859675.667,776922.667,815383.667,595973.667,617809.667,626444.667,178612.333,262882.333,236412.333
11 h 50 min,10985.667,4627.667,15992.667,662068,706607,802753,880469,888871,886616,263804.333,256131.333,243563.333,935283,1006416,926661,323974.667,308697.667,250421.667,297044.667,264454.667,367270.667,853664.667,984585.667,887614.667,834740,811583,825252,105610.333,117556.333,230429.333,-4353,-1954,17900,17933,17067,17579,15249,15769,16811,900409,888652,935309,604427.667,596864.667,555721.667,250361,258075,263108,860486.667,779315.667,816497.667,597155.667,621054.667,628823.667,179931.333,262924.333,237141.333
12 h ,13667.667,5926.667,17089.667,650476,709110,805421,869400,881487,885213,264024.333,253436.333,244869.333,958673,998729,899860,325349.667,317731.667,252566.667,297580.667,263244.667,366197.667,854489.667,985355.667,885923.667,826421,826806,835606,108778.333,117325.333,229782.333,-3104,-363,20207,19527,18376,18915,15630,16674,19466,887429,883276,939723,599105.667,591336.667,552393.667,251007,255958,261829,845649.667,768328.667,830110.667,611057.667,640690.667,645599.667,180515.333,262841.333,243989.333
12 h 10 min,13442.667,6063.667,17605.667,655976,708381,806534,875354,883852,888376,264244.333,255829.333,246547.333,960832,1011792,923429,324373.667,317759.667,252222.667,300069.667,266049.667,369896.667,853402.667,985658.667,886088.667,833695,826159,837559,110249.333,118122.333,234843.333,-3162,-724,21482,20441,18895,19620,15639,16450,18936,896394,889890,943230,609019.667,600865.667,563284.667,252190,258584,262489,847505.667,771408.667,834305.667,613684.667,638050.667,648281.667,181521.333,263817.333,245020.333
12 h 20 min,15334.667,6944.667,19008.667,655371,700392,792839,878640,889531,889174,268713.333,257561.333,243948.333,931625,985418,899462,322929.667,308931.667,250778.667,298900.667,262144.667,366032.667,854984.667,997126.667,895535.667,818445,813811,819188,105741.333,118391.333,231680.333,-2621,832,20276,20878,19811,21697,16991,17740,20445,886026,875465,926220,596341.667,590305.667,548241.667,251035,259161,263809,866041.667,782588.667,818972.667,600895.667,620394.667,633636.667,178147.333,264684.333,239492.333
12 h 30 min,17351.667,9455.667,22650.667,654436,708491,803014,872398,881171,884691,266747.333,256778.333,247496.333,971021,1027743,957958,324840.667,318364.667,252360.667,298405.667,265651.667,364203.667,853430.667,986112.667,889457.667,851433,832608,851296,111194.333,120476.333,239119.333,-1754,1939,23157,22001,19538,21521,18095,18434,22677,909251,902555,952360,602502.667,603505.667,563463.667,254362,259230,264786,850737.667,774090.667,834552.667,616901.667,645448.667,649037.667,187239.333,265564.333,247316.333
12 h 40 min,17086.667,7811.667,20936.667,657791,705397,801777,876330,885942,888761,266981.333,257314.333,248252.333,968546,1022532,941347,323067.667,318171.667,251507.667,303039.667,265994.667,369360.667,853801.667,989687.667,890255.667,843485,831880,846002,109878.333,118719.333,237978.333,-1452,2563,24491,23851,21325,22407,18404,18748,23460,908041,898168,948977,603643.667,601676.667,560561.667,253909,260069,265006,850476.667,775052.667,834923.667,619033.667,644981.667,653795.667,184370.333,267874.333,247385.333
12 h 50 min,16784.667,8309.667,21311.667,656114,705122,804430,873305,884457,890989,268053.333,259638.333,248720.333,968491,1014694,925492,321609.667,319918.667,251920.667,306188.667,267053.667,371175.667,855217.667,990649.667,890777.667,836032,834300,843609,110713.333,120663.333,235668.333,-1552,938,24677,24749,22784,23034,18459,18522,24382,891279,893121,947314,598005.667,597634.667,558980.667,254954,261155,266147,851741.667,776358.667,837302.667,619597.667,642175.667,652956.667,181944.333,266788.333,247550.333
13 h ,17902.667,9233.667,22880.667,658891,703774,800071,873759,887908,892419,269222.333,259762.333,248115.333,974693,1030658,946311,319643.667,319423.667,249582.667,306408.667,268346.667,373884.667,854131.667,994458.667,893142.667,854431,832939,853427,111103.333,121180.333,239064.333,-1314,1875,25416,25210,23674,24402,19339,19902,25126,893850,899584,952621,589094.667,590703.667,551706.667,255683,262970,266834,851507.667,776743.667,836642.667,618593.667,645269.667,656311.667,184008.333,268176.333,248898.333
13 h 10 min,18354.667,9083.667,22953.667,659249,699952,794530,878283,887276,893216,269112.333,260202.333,249503.333,965081,1019878,928586,319051.667,319505.667,248248.667,307783.667,267892.667,372055.667,854049.667,992932.667,896649.667,840570,830065,841904,111703.333,120257.333,238390.333,211,3740,25400,27150,24664,25746,19554,19716,23896,899062,894111,950325,596492.667,597001.667,561111.667,256095,262778,266628,851851.667,778669.667,835900.667,617369.667,644389.667,655349.667,181153.333,270267.333,249090.333
13 h 20 min,21194.667,11725.667,25966.667,663636,691866,787324,885131,897355,897740,272825.333,261467.333,249256.333,947700,1014529,957779,316604.667,308683.667,246419.667,304538.667,268098.667,369470.667,855190.667,1002310.667,900554.667,842385,823863,837999,108986.333,121791.333,243959.333,986,5632,25530,29174,25970,27556,22291,20845,26488,914023,895762,935887,595585.667,598706.667,553769.667,255834,263947,269365,868984.667,786204.667,821571.667,608060.667,629937.667,637844.667,181205.333,271752.333,245859.333
