,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
1 h 40 min,284809.333,209495.333,241837.333,238358.333,184362.333,212768.333,92355,97884,99422,203117,252551,250585,231044.667,239927.667,205398.667,98568.667,105242.667,91870.667,294753.667,345755.667,273604.667,240026,225505,217722,92220.333,101186.333,91867.333,10437.667,11020.667,7723.667,6815,11201,8652,9221.667,11310.667,6632.667,-2385.333,-3685.333,-4156.333,-3859,-4066,-3493,-3853,-1222,-5274
1 h 50 min,327780.333,245633.333,273423.333,278346.333,219244.333,248121.333,106378,113283,114440,240931,313935,297420,277618.667,283682.667,235884.667,116277.667,125406.667,108438.667,350375.667,402408.667,332774.667,278446,261972,254217,108319.333,121141.333,109400.333,11824.667,12754.667,9090.667,8283,13237,11092,12140.667,13164.667,9183.667,-1860.333,-3728.333,-3968.333,-2923,-3173,-2737,-2424,-63,-4678
2 h ,379126.333,297941.333,319763.333,320382.333,255753.333,283433.333,123348,132468,131801,279695,360426,343678,315653.667,320974.667,274923.667,136242.667,148041.667,127688.667,404719.667,459942.667,375498.667,341713,304999,296116,128874.333,141140.333,127904.333,15033.667,16558.667,12024.667,10600,16104,13609,14407.667,15867.667,10957.667,-1486.333,-3277.333,-3228.333,-2723,-3033,-2290,-2050,490,-4130
2 h 10 min,439121.333,349397.333,379167.333,370614.333,296620.333,324590.333,142681,154244,154687,331412,401885,382992,352395.667,354925.667,329569.667,162049.667,173993.667,151790.667,469293.667,524736.667,440155.667,399604,350995,336571,147102.333,160973.333,145952.333,20295.667,21145.667,16131.667,14859,19579,17792,17332.667,19478.667,14127.667,-307.333,-2296.333,-2463.333,-1969,-1992,-1540,-1703,869,-3138
2 h 20 min,486369.333,385768.333,426058.333,403410.333,330530.333,354182.333,162011,172481,172894,387447,462623,439398,409640.667,401994.667,364936.667,180406.667,197278.667,171012.667,522110.667,582366.667,485244.667,478493,392468,382127,163236.333,178286.333,163730.333,23583.667,23105.667,18390.667,16451,21895,19310,20431.667,22320.667,17133.667,-261.333,-2348.333,-2193.333,-1450,-1338,-1017,-1232,1058,-3330
2 h 30 min,547120.333,436384.333,479067.333,451111.333,376265.333,396342.333,185262,196976,198172,445668,518135,489973,465784.667,439039.667,409200.667,213628.667,228809.667,201761.667,595952.667,660471.667,547246.667,545968,447719,426749,189974.333,205609.333,182372.333,27014.667,25629.667,21714.667,20196,24695,22694,23211.667,24751.667,20063.667,102.667,-1678.333,-1776.333,-721,-777,-703,-426,1976,-2798
2 h 40 min,621320.333,494221.333,556773.333,511478.333,428477.333,442132.333,209806,224890,225825,497550,566359,534911,514600.667,465482.667,464671.667,248019.667,264836.667,231999.667,674373.667,739318.667,625241.667,599982,506614,473818,210463.333,228889.333,208332.333,32123.667,31439.667,26917.667,24212,29380,27141,27128.667,29339.667,22785.667,1073.667,-675.333,-1122.333,-444,-311,-37,-202,2327,-1906
2 h 50 min,682195.333,546281.333,616576.333,561654.333,472755.333,489050.333,229621,247139,246809,552333,622064,587370,566289.667,501922.667,515728.667,272784.667,290055.667,258415.667,755420.667,815512.667,689182.667,659839,554288,524462,231488.333,249612.333,231240.333,35711.667,35719.667,29617.667,27424,32143,30275,30933.667,32371.667,26116.667,1650.667,-353.333,-751.333,61,-190,634,393,2657,-1022
3 h ,737968.333,596018.333,672885.333,606235.333,514434.333,528707.333,249449,267532,269498,602538,671924,635237,613936.667,539640.667,563237.667,296573.667,316718.667,280677.667,833869.667,884183.667,747445.667,711515,596462,565770,251826.333,269482.333,252967.333,37991.667,39141.667,32109.667,29148,34961,32505,34077.667,36008.667,28201.667,1628.667,617.667,-344.333,108,473,698,330,3012,-848
3 h 10 min,786055.333,642180.333,721673.333,651159.333,552579.333,566907.333,268302,287154,288392,647228,723806,680079,656908.667,569892.667,611791.667,318712.667,342639.667,302569.667,906680.667,947781.667,809351.667,755036,643242,607737,270444.333,288925.333,271310.333,41642.667,42878.667,35338.667,32014,38136,35636,36649.667,39135.667,30972.667,2316.667,1124.667,394.667,395,882,1169,1005,3857,-126
